[00:00:00 - 00:06:44]:  Esta semana Ricardo Arouspreira declara-se arrendado.
[00:06:44 - 00:20:00]:  João Miguel Taváres confessa-se vetado e Pedro Mexia sente-se elegível.
[00:20:00 - 00:23:20]:  Está arredido o Governo de Sombra.
[00:23:20 - 00:56:40]:  [Música]
[00:56:40 - 01:11:40]:  Agora vem vocês a um bem-vindos no final de uma semana, em que ficamos a saber que é mais fácil arrendar casa em Barcelona ou em Berlin do que Lisboa,
[01:11:40 - 01:18:20]:  uma semana dominada pelo debate sobre a legalização de eutanasia.
[01:18:20 - 01:36:40]:  Vamos falar disso, damos os temas mais adiante neste Governo de Sombra, mas antes as acusações de um alto dirigente de origem venezuelano ao reino de Portugal,
[01:36:40 - 01:50:00]:  depois de uma viagem de Juan Guaidote, Lisboa, para caracas e para nozenda. Aqui nós dizmos mal de saber.
[01:50:00 - 02:05:00]:  Quando tiver a lista do passageiro, não decida por alguma parte, não é mais Juan Gerardo Guaidó Manque.
[02:05:00 - 02:10:00]:  Há outro, mas não é mais Juan Gerardo Guaidó Manque.
[02:10:00 - 02:21:40]:  Os portugueses, eu acredito que nós somos pendeus. Os dois anos de alíneo, eu acredito que nós somos pendeus.
[02:21:40 - 02:38:20]:  E seu embajador foi para lá. Foi para lá. E nós temos que calarmos isso porque nós somos como se nós mais...
[02:38:20 - 02:55:00]:  Se nós nos decidas, enviaram um desarrollo. E eles são os reinos, se guardam quando o reino é Portugal.
[02:55:00 - 03:10:00]:  Eu estou avinhando isso. Eu sei que é isso. Eu acredito que eu posso mandar, não é outro país, não é outro reino, não é outro reino.
[03:10:00 - 03:25:00]:  Fique sem este nome. Este senhor se chama "Deuas dada o cabelho" e é o presidente da Assembleia Constituinte da Venezuela,
[03:25:00 - 03:36:40]:  composta exclusivamente por apoiantes de Nicolás Maduro. O que valoriza mais neste intervenção? Recardaro-os Pereira. A forma ao contioso.
[03:36:40 - 03:55:00]:  O Carlos, a forma também é contioso, se não permite, não é? E realmente eu acho que este vídeo é especialmente elocoente.
[03:55:00 - 04:10:00]:  Portanto, nós temos um... Eu não sei, este senhor é de alguma forma dirigente de Venezuela, não estou...
[04:10:00 - 04:15:00]:  É um número de origem. Um número de origem, eu estou habituado a ver os dirigentes.
[04:15:00 - 04:30:00]:  A Venezuela nos vestida descua com o que ele faz de treinamento amarelo, que usa a blita tanto a dirigir a Venezuela como a orientar o passo de ferreira.
[04:30:00 - 04:45:00]:  E, portanto, o facto de ele se apresentar aqui com este um espécie de rotão da Casa Playboy, tem outro sabor de qualquer modo.
[04:45:00 - 04:58:20]:  Eu acredito que ele está correto que o nosso rei Dom Marcelo primeiro e a TAP, com o Espíram...
[04:58:20 - 05:10:00]:  A TAC, sim, é o Diz ATAQ. Com o Espíram para levar... como é que se é mais polisivo, usávamos de Venezuela.
[05:10:00 - 05:25:00]:  Eu tenho relações muito íntimas com a TAP. Não são essas, porque até porque é uma companhia era, mas os meus pais eram os dois da TAP.
[05:25:00 - 05:40:00]:  Também tem os portais polisivos, mas não custa acreditar. Acho que é uma das inclinações mais habituais da TAP.
[05:40:00 - 05:48:20]:  Aliás, as assistentes do Borgo, que são me dizer, duas portas sobre as asas, duas na reta guarda.
[05:48:20 - 05:56:40]:  E o C4 deve ser arrumado nos compartimentos ou por baixo da cabeça.
[05:56:40 - 06:00:00]:  É essa porta que estou assim.
[06:00:00 - 06:15:00]:  Estados postaram a usar este caso, o João Miguel Tabares, ou de ser daquilo, este TAG, que estava na mesa em letras grandes e gordas.
[06:15:00 - 06:18:20]:  O que é que aqui não se fala mal de chave?
[06:18:20 - 06:30:00]:  Aqui não se fala mal. Eu acho que não este agarmos este TAG, orgulhosamente, já, ao longo deste programa.
[06:30:00 - 06:41:40]:  Mas de atenção, eu estou um bocadinho com um Ricardo, mas não para que se um roupão que eu pareço com um camuflado, eu não consigo olhar para mais nada.
[06:41:40 - 06:58:20]:  Eu não vejo mais nada, se não o que eu magnifique camuflado. E o reino Portugal parece bem atenção.
[06:58:20 - 07:15:00]:  É porque é revolução Bolivarguiana. É da altura.
[07:15:00 - 07:36:40]:  O reino Portugal não parece ele, mas é justamente a de Paléola da Gora.
[07:36:40 - 07:51:40]:  E a partir dos anos, nós ficaram notícias a... Não, nós ficaram notícias avenosvelas. Não sei, eu não sei o que tem para aquele vídeo, não sei o que tem.
[07:51:40 - 07:58:20]:  Pensa que ele vê que ele refera avenosvela como um país em vias de desarrorio.
[07:58:20 - 08:06:40]:  Mas avenosvela está muito longe do desarrorio, como toda a gente tem visto nos últimos tempos.
[08:06:40 - 08:16:40]:  O resto é o lado de Patusco do Estég, o lado de Patusco do Estég, o lado de Patusco do Estég, e as intervenções.
[08:16:40 - 08:36:40]:  -Tamos a falar do número 2, de um número 1. -O anterior número 1 já falecido.
[08:36:40 - 08:50:00]:  -Porvias de um pacarito tiquitito. -É, pareceu de um pacarito tiquitito, como é o disso. E era o chave, não vale a pena.
[08:50:00 - 09:05:00]:  -Espender muito mais. -E este situação está a criar a tensão diplomática entre Portugal e Portugal.
[09:05:00 - 09:25:00]:  E avenosvela começou com uma viagem esta semana do auto-proplamado, presidente davenosvela, Ranguaydo, adversário inimigo, político do atual regime.
[09:25:00 - 09:41:40]:  Ranguaydo passou por Lisboa Caminho de Caracas, a chegada a capital de Venezuela, a regime acusou um familiar de guardado transportados polusivos.
[09:41:40 - 10:01:40]:  -O que parece? Numa lanterna, que a família guardado e isto terem sido plantadas na bagagem que levava. O presidente está a sabete de constituinte, este senhor que já vimos.
[10:01:40 - 10:11:40]:  Não culpa, só o passageiro culpa também é a companhia éria, que ele nem sabe como se chama.
[10:11:40 - 10:28:20]:  A linha de éria não são nem conoscentorrones, na linha de éria. Na linha de éria, como se chama, é que se chama?
[10:28:20 - 10:41:40]:  Não são nem conoscentorrones, e tendo a fazer uma averigação, porque todos permitiam a linha de éria.
[10:41:40 - 11:05:00]:  -Era uma estreita, como se chama, ele tem um colírio, ou tem um colírio aberto e ele se decomissa. Se não me entira, ele se decomissa, mas ele não pode levar um colírio aberto.
[11:05:00 - 11:15:00]:  Então, ele deixa que me ete estas coisas, a conta de que permitiram que trajeira como se chama, "mum".
[11:15:00 - 11:36:40]:  -Ahora quando o tem bem, o que mais é que ela irá ir a hora toda a via, desvão? -E ainda não está na altura, diz o senhor de hoje dado o cabelho fazendo um pouco mais de suspens sobre as acusações.
[11:36:40 - 11:48:20]:  Em todo caso, conseguiu perceber o Ricardo Arospreira, o que eram aqueles biblôs em cima da mesa?
[11:48:20 - 11:56:40]:  Até me parece que havia lá uma moca de rio maior. -Via assim, senhor. -Via com certeza.
[11:56:40 - 12:08:20]:  -E se pensar que era que o objeto crime, mas por os vídeos da Alnão, não? -Ele é o lanternas. -São lanternas.
[12:08:20 - 12:25:00]:  -Ele... Moca nem se quer, parece mesmo uma das de rio maior, parece uma moca de troll da floresta. Parece mesmo uma coisa de... -Isso feliz, tanto.
[12:25:00 - 12:45:00]:  -Tro aglodido, assim. Eu vi, são bostinhos, a boste é um busto e alguns bostinhos, a moca, que eu acho que quando está a falar, quando está a desenvolver argumentos políticos,
[12:45:00 - 12:55:00]:  -Iro que é para um boteiro, a moca, a frega, e a praé. -Presse um trailer do Bruno Leste. -Pas dizer, que é que é uma moca.
[12:55:00 - 13:08:20]:  -Torna os os argumentos mais persuasivos, acho que eu estou a falar, vocês podem adriuos meus argumentos, se não adrirem. Podemos falar do tremaneno.
[13:08:20 - 13:23:20]:  -Eu tenho também aqui o material a minha frente. E, por tanto, havia a moca e já acho que, peraí, parece que, em olha, um frasquinho da aftershave porção.
[13:23:20 - 13:38:20]:  -Seria colirio? -Noscalar é colirio para exemplificar que, de fato, aquilo é proibido, e, assim, não é nenhum penderro.
[13:38:20 - 13:48:20]:  -Mas nós não somos nascentes torrões. -Não, não, não, não, não somos.
[13:48:20 - 13:58:20]:  -Ve algo, acho que, se de credibilidade, nessas acusações de regime do Zuelano, em que... -Aquelas acusações...
[13:58:20 - 14:10:00]:  -Aparece-se envolvidas, a minha outra. -Aparece-se, em que, tem uns polisivos, em lanternas, e levaram para um Zuelano.
[14:10:00 - 14:20:00]:  -O Sossou foi aqueles polisivos que faltavam nas caixas de tempo, mas não vai joder.
[14:20:00 - 14:28:20]:  -Oa, tem justificação, Portugal estogue que, a mente, não entre os polisivos, em lá de nenhum.
[14:28:20 - 14:36:40]:  -Os ladões é que, se entre o dozen em sitios portugueses, pague-a-lo vários polisivos de lá.
[14:36:40 - 14:48:20]:  -Portanto, claramente, ali o senhor cabelo não estava apagado. -Dais vici-se, a tuta da política, porque tem que estar...
[14:48:20 - 14:51:40]:  -É, está. -No tempo dos reis.
[14:51:40 - 15:03:20]:  -O que é que precisa mostrar mais da capacidade da mexeria? -É, seria da edade da situação, seria da vitilmática, ou...
[15:03:20 - 15:16:40]:  -Os pete patúscolo da figura. -Os pete patúscolo que está tudo dito, não vale a pena insistir, sabou, o pete patúscolo, mas na parte séria...
[15:16:40 - 15:35:00]:  -A uma parte séria. -A uma parte séria, a parte séria era que essa acusação só teria alguma credibilidade, se Portugal tivesse, número 1, o magnitude diferente do resto, por exemplo, de União Europeia,
[15:35:00 - 15:55:00]:  e número 2, o magnitude particularmente agressiva a relação à regime do Maduro. Olha, Portugal não só não teve, teve uma posição igual à de União Europeia, e não teve nem pode ter uma...
[15:55:00 - 16:00:00]:  -Tudo agressiva, porque a uma regra de comunidade... -Portugueses lá.
[16:00:00 - 16:13:20]:  -Nós pode dizer que Portugal tenha tenha sido um agente... Espanha tivesse sido muito mais e tem governos esquerda. Tence muito mais frontal, não é?
[16:13:20 - 16:28:20]:  -E o que a Espanhola foi encontrado com o Guai da União Europeia? -Portanto não há sequer sustentação admitindo que há uma parte séria, além das mocas e dessas coisas.
[16:28:20 - 16:31:40]:  -E dos... -Este é... -Esque isto é carregado.
[16:31:40 - 16:43:20]:  Vamos ver que evolução traz este caso, o governo português, entretanto, já...
[16:43:20 - 17:05:00]:  -Como só pode dizer que as acreditações não têm nenhum sentido, depois, entretanto, anunciou que vai abrir um inquérito para apuramento dos factos.
[17:05:00 - 17:28:20]:  Vamos então passar do este período, antes de ordem do dia, à distribuição de pastas, e começando pelo João Miguel Tavars, que quer ser, em Sintonia, com o debate do momento,
[17:28:20 - 17:38:20]:  o ministro de EU-Tanácia, com certezas, ou sobretudo, com dúvidas, em este respeito, o João Miguel Tavars.
[17:38:20 - 17:53:20]:  -Não, sou a substância do tema, tenho bastante dúvidas sobre o processo político e a forma que a meu está se acondizida. Não, aí tem bastante certezas.
[17:53:20 - 18:10:00]:  -E não estou assim muito contente com isso. -E as certezas têm a ver com os projetos que estão em discussão?
[18:10:00 - 18:20:00]:  -Sim, acho que não tanto com os projetos que estão em discussão, mas aquela questão sobre a legitimidade política dos testes.
[18:20:00 - 18:23:20]:  -Dá, se não, é a política. -Soba que estão do referenda...
[18:23:20 - 18:38:20]:  -Javamos aí. Suo debate está de regresso na próxima quinta-feira, são discutidos no Parlamento do 5 projetos de lei paralelização da EU-Tanácia,
[18:38:20 - 19:01:40]:  a propostas legislativas do PS, do Bloco de Esquerda, do Pan dos Verdes e da iniciativa liberal, o PSD, da liberdade de votar os seus deputados, o PCP, o CDS, e o Chega vão votar contra as propostas em cima da mesa.
[19:01:40 - 19:21:40]:  -A dois anos o projeto no mesmo sentido foi chumbado por apenas cinco votos, mas há, entretanto, também é vontada manifestada pela EGRA gecatólica de que esta santo seja elevado a referendo.
[19:21:40 - 19:41:40]:  -Cloca-se portanto uma questão prévia antes do tema de fundo, o Parlamento tem ou não, legitimidade para legislar este respeito, os homigalta-vários, acha que não tem?
