[00:00:00 - 00:13:08]:  Esta semana, Ricardo Arouspreira confessa-se a Chatado, peda-me-se a declara-se sucegado
[00:13:08 - 00:21:32]:  e João Miguel Taváres sente insuportávelmente monotomático.
[00:21:32 - 00:25:32]:  Está reunido o Governo Sombra.
[00:25:32 - 00:58:52]:  [Música]
[00:58:52 - 01:08:00]:  Para a Viva vocês são bem-vindos no final da semana em que foi renovado por mais 15 dias
[01:08:00 - 01:18:32]:  o estado de emergência e Ricardo Arouspreira decidiu desta vez levá-lo tão arrisca que ficou em casa.
[01:18:32 - 01:25:20]:  Não me diga que começou a sentir um pingo no nariz Ricardo.
[01:25:20 - 01:30:20]:  Não, Carlos, não foi mais...
[01:30:20 - 01:41:32]:  É uma razão mais prosaica do que isso foi alguém que tem alguns sintomas, foi fazer o teste
[01:41:32 - 01:49:36]:  como estamos asperem aos resultados do teste para a manhã para o caso de dar positivo.
[01:49:36 - 01:54:08]:  Não queria estar aí a contaminar os meus amigos.
[01:54:08 - 02:01:20]:  Mas até que não o gê resolve.
[02:01:20 - 02:04:40]:  Exatamente.
[02:04:40 - 02:10:00]:  Esperemos que a banda larga também ajuda.
[02:10:00 - 02:18:48]:  Nesses 15 dias, o que é que deu por si a fazer que não fazia antes?
[02:18:48 - 02:23:36]:  A fazer que fazia, eu acho que continuo a fazer tudo.
[02:23:36 - 02:32:08]:  Às vezes mais intensamente, tipo o avé mais alôe, vou mais vezes para o lixarro, o que aquilo.
[02:32:08 - 02:34:28]:  Enche mais de preça.
[02:34:28 - 02:46:08]:  Mas esse caso é que começa a notar mais quando me toco na cara.
[02:46:08 - 02:50:20]:  Quando me toco?
[02:50:20 - 02:55:20]:  Nunca tinha reparado.
[02:55:20 - 03:04:00]:  Nunca tinha reparado como mexia tanto na cara e agora cada vez de repente costa o nariz
[03:04:00 - 03:08:36]:  e nota "ai, eu estou de coçado na guia e estou".
[03:08:36 - 03:10:16]:  Aqui é pecado.
[03:10:16 - 03:11:56]:  Ai, que é pecado.
[03:11:56 - 03:18:16]:  Nós tivemos em casa confinados e sem contatos.
[03:18:16 - 03:23:56]:  Depois de levarmos os meus melavadas e desinfeitarmos, podemos?
[03:23:56 - 03:27:44]:  Mas é que nós vamos falar nisso mais à frente.
[03:27:44 - 03:32:48]:  A vida de cada pessoa é bastante diferente uma da outra.
[03:32:48 - 03:38:20]:  E o absarco ainda tem que fazer algumas cheidas furtivas.
[03:38:20 - 03:41:52]:  Por que o suficiente da ininação...
[03:41:52 - 03:46:12]:  Neste programa é o João Miguel Davar.
[03:46:12 - 03:50:12]:  Quer dizer, por isso você viu outro, mas o outro ficou em casa.
[03:50:12 - 03:55:16]:  Eu não sabia que você não traça e ficou em casa.
[03:55:16 - 03:58:36]:  Eu não posso seguir.
[03:58:36 - 04:01:56]:  Mas enfim, lá está.
[04:01:56 - 04:06:16]:  Mas se correr, o bem hoje em dia é chato de penhar.
[04:06:16 - 04:11:00]:  Se se apanharmos e correr, o bem parece que o acorde já vai vir que alguém para poder
[04:11:00 - 04:18:04]:  mexermos na rua e a gente vai adorar daquela que alguém me viu.
[04:18:04 - 04:20:52]:  Tive-me convido e um trepa-sei.
[04:20:52 - 04:22:32]:  Vai ser um...
[04:22:32 - 04:24:12]:  Vai ser um...
[04:24:12 - 04:31:04]:  Exatamente, como os alcólics anónimos, como que as pessoas cabandonaram, deixaram de formar,
[04:31:04 - 04:38:24]:  deixaram de ver e nós vemos de dar contigo a certeza de dizer...
[04:38:24 - 04:40:04]:  O trepa-seamos aqui.
[04:40:04 - 04:46:36]:  O que é o motivo para cumprir a quarentena pedermixia?
[04:46:36 - 04:51:00]:  Muito contigo de motivação, é uma vez...
[04:51:00 - 04:53:12]:  É muito contigo de os dioses.
[04:53:12 - 04:57:08]:  As autoridades são de uma não ficar em casa.
[04:57:08 - 05:02:20]:  O Estado de Cretas está bem mergência e fica em casa.
[05:02:20 - 05:06:00]:  Não tem assim grandes estados da alma quanto é isso.
[05:06:00 - 05:09:20]:  E o que é que o motivo é...
[05:09:20 - 05:12:24]:  O que é que o motivo é mesmo a coisa...
