[00:00:00 - 00:11:08]:  Esta semana recartera aos prédios sentidos apoiado. João Miguel Tavares sentidos muito só.
[00:11:08 - 00:21:08]:  E Pedro Mexia declara-se supremo. Está reenalhido do Governo Sombra.
[00:21:08 - 00:52:48]:  [Música]
[00:52:48 - 01:12:08]:  Para a Viva vocês são bem-vindos no final de uma semana em que o Parlamento aprovou na generalidade o orçamento de suplementar uma aprovação com mais afestensões do que votos favoráveis. Só o PS votou a favor.
[01:12:08 - 01:24:38]:  Daqui a pouco falaremos do post centeno e da nova era de lião, antes o Ricardo Raúse Pereira quer ser ministro da Champions.
[01:24:38 - 01:27:48]:  - Rejuvi-lo. - Ricardo Raúse Pereira.
[01:27:48 - 01:56:08]:  - Como é que eu poderia não? Só não rejuvi-lei mais por sermos o país em fitrião da fase final da Champions porque eu sabia que já eram os países, que têm a fábrica, que produz os atacadores dos sapatos, de uma sagista da cunhada do Messi.
[01:56:08 - 02:21:08]:  - E se já não tinha enchido com um juvi-lo, o que é o seu juvi-lo? - O que é o português do Obama?
[02:21:08 - 02:24:28]:  - O que é o português do Obama? - O que é o português do Obama?
[02:24:28 - 02:32:48]:  - Eu lembro na altura do festejo do que é o português do Obama.
[02:32:48 - 02:49:28]:  Eu imaginei o que seria se ele tivesse arranjado um pastor alman e o Jornais al mês. Um pastor alman! Tenção! Nunca na vida!
[02:49:28 - 03:02:48]:  - Mas nós temos esta capacidade, nos enxergias, mano. - Se manifestou o seu juvi-lo depois de saber Portugal vai receber a fase final da Champions.
[03:02:48 - 03:12:48]:  - Manifestou-se com vontade reprimível para produzir decacila-vos-eróicos.
[03:12:48 - 03:21:08]:  - Fica um alegre. - Fica um alegre, só que a Champions não rima com nada.
[03:21:08 - 03:32:48]:  - Então tive-lhe a batalhar com o meu viscundo de Castelans. - Já não sei.
[03:32:48 - 03:41:08]:  - Castelans não é o que é isso? - E tive-lhe não sei nada.
[03:41:08 - 03:51:08]:  - Mas a vontade que eu tinha era compor outro país. - Mas eu já tinha...
[03:51:08 - 04:01:08]:  - Eu como bem fiquista, como é óbvio, fico muito orgulhoso por bem-fica ter ganho uma taça dos campeões em Berna e o tremamos ter dano.
[04:01:08 - 04:19:28]:  - Não consigo imaginar o orgulho dos suíços e dos holandeses por ter encido eles a ser os amphitriões.
[04:19:28 - 04:36:08]:  - Eles ainda hoje não é falar nisso, acho que sim. - Em Blaine, não encontrar o mais alto nível entre as principais figuras do Estado, não faltou o entusiasmo.
[04:36:08 - 04:47:48]:  - Foi tal, o entusiasmo que eu acabei por saber por ele e não pelo presente a afaderação portugosa de Portugal, a certa altura ou que se passava.
[04:47:48 - 05:09:28]:  - O que é natural mostra realmente o relacionamento institucional de órgãos de soberania, mas mostra-la que, de facto, o senhor primeiro lista estava tão entusiasmo, enquanto o presente da afaderação portugosa de Futomol.
[05:09:28 - 05:29:28]:  - Ser a marca portugal, ser a marca portugal, aquela que vence e aquela que se vai afirmar, nesse mês crucial de agosto.
[05:29:28 - 05:52:48]:  - Durante mais de 8 estudias, não tem preço. - O entusiasmo presidencial, a falar do entusiasmo do primeiro ministro com a perspectiva de termos um agosto cheio de bola em Lisboa.
[05:52:48 - 06:17:48]:  - Então, e como que estão os seus níveis do orgulho-patrio depois disso? - Já conseguiu, entretanto, nesta pausa ao ouvir o presidente da República e encontrar os décacila que possam ajudar a celebrar melhor esta circunstança?
[06:17:48 - 06:47:48]:  - Atenção, eu tinha me falado sobre isto, os meus níveis do orgulho-patrio tinham subido para até cumes e depois baixaram um bocadinho com a nossa correda conversa, ouviu o presidente a falar através na marca portugal e na maneira como isto vai e neste momento tenho de mudar de calças.
[06:47:48 - 06:57:48]:  - Não, já não vai ser... Foi outra vez, foi outra vez para muito alto e isto ir fora de pé.
[06:57:48 - 07:07:48]:  - Mas não é bom nos confinarmos da marca portugal. - O Carlos esta com esta sobre a marca portugal.
[07:07:48 - 07:22:48]:  - Portugal tem, né? Esta marca portugal, e a maneira como a marca... - Não, mas na marca, não é?
[07:22:48 - 07:36:08]:  - Não, a dinamar de Portugal. - Não, a dinamar de Portugal como país que não devem ser emocionado e não devem entrar.
[07:36:08 - 08:01:08]:  - Este tipo de entusiasmo faz-me sempre lembrar aquele ponto de célder da canção de Lisboa em que as tias do Vasquinho dizem "Ela até sabe o que é o mastóideo".
[08:01:08 - 08:09:28]:  - O externo ao telhado é o mastóideo? - O tutorial é a verviu umaquilo apenas para mastóideo.
[08:09:28 - 08:17:48]:  - E é isto, eu acho que não estamos a ver. - Somente com um cicloteio da comédia.
[08:17:48 - 08:27:48]:  - E neste momento, acho que estamos a viver um momento mastóideo. E eu até trouxe, eu gosto muito isto porque...
[08:27:48 - 08:39:28]:  - Porque eu sou um frenta, tenho aqui um livre em de Manuel de Barros, precisamente chamava tratado geral das grandezas do ínfimo.
[08:39:28 - 08:52:48]:  - E eu gosto de sempre o rastei, sempre a perciei, Manuel de Barros faz isso muitas vezes, de descobrir a digabilidade do ínfimo.
[08:52:48 - 09:14:28]:  E realmente toda esta comissão por causa por sermos o senhorio da final para a Liga dos campeões parece-me, parece-me digno de entrar no tratado das grandezas do ínfimo.
[09:14:28 - 09:27:48]:  - O que é que pareceu o facto de ter estado mais individualidade na serimónea para anunciar a Champions de Lisboa,
[09:27:48 - 09:41:08]:  do que nas comorações oficiais do 10 de junho? - Este pergunta é muito pertinente Carlos. Ele é tão pertinente que eu acho que valeu apenda a não escontarmos.
[09:41:08 - 09:49:28]:  - Porque fala apenas nos contamos, e se... - Quando as pessoas lá estavam? - Não, só os importantes.
[09:49:28 - 09:52:48]:  - Eu pontei. Eu sou a... - Eu sei.
[09:52:48 - 10:01:08]:  - E a até ficaram muito bonitas no plano, mas vamos ver.
[10:01:08 - 10:21:08]:  Tínhamos presidente da República, Primeiro Ministro, presidente da Assembleia da República, portanto logo aí, as três principais figuras do Estado português,
[10:21:08 - 10:34:28]:  depois tínhamos o senhor Mendina, presidente da Câmara de Lisboa, tínhamos o presidente da Fragação Portuguesa de Futebol, que na verdade era o único que fazia sentido estar ali.
[10:34:28 - 10:46:08]:  Mas e depois, esse é um que estava um primeiro naqueles, naquilo primeiro plano com cinco pessoas, mas se presentava via mais nas laterais.
[10:46:08 - 11:02:48]:  A via, três ministros, o Ministro da Saúde, a Ministra da Saúde, o Ministro da Edecação, que talvez se estaga preocupada onde é cada vez que fazemos iguais mil de continuos em casa,
[11:02:48 - 11:14:28]:  mas ainda em ter sentido a discutir a Jocos de Futebol, tínhamos um ministro da Econemia e ainda não tínhamos o secretário de Estado do deporte.
[11:14:28 - 11:26:08]:  Mas todos estivaram mérito, porque o presidente disse que isso foi mérito, realmente a federação esteve muito bem, mas foi mérito.
[11:26:08 - 11:41:08]:  O primeiro ministro foi mérito, o ministro da Econemia, foi mérito de ministro da Saúde, foi mérito do secretário de Estado do deporte.
[11:41:08 - 12:01:08]:  Mas o primeiro ministro fez questão de felicitar todos os portugueses, porque todos os portugueses têm mérito e foram todos os portugueses que tornaram possivel de trazer eles boas em agosto, as oito melhores equipes europeias de Futebol.
[12:01:08 - 12:21:08]:  Foi os forços de todos, enorme de Chipplina, com que todos achataram as normas de confinamento, têm praticadas normas de sensibilmente social,
[12:21:08 - 12:37:48]:  as normas de proteção individual, que permitiram diferenciar Portugal e a forma como Portugal conseguiu controlar esta pandemia.
[12:37:48 - 12:44:28]:  É também um prêmio morcido aos profissionais de saúde.
[12:44:28 - 12:56:08]:  Primeiro ministro, dedicar a champion de salos profissionais de saúde, parece-lhe um prêmio morcido, como diz o prêmio de ministro João Maradona.
[12:56:08 - 13:07:48]:  O caso de tudo isto, já respira-lhe em casa. Não sei o que é que é mais maravilhoso.
[13:07:48 - 13:16:08]:  O João Miguel, mas depois de fazer uma pergunta da área de emissual, já chegou lá a casa.
[13:16:08 - 13:22:48]:  Essa é a quem é aquela pessoa que é mais fácil nele fazer com ela.
[13:22:48 - 13:36:08]:  Já chegou lá a casa, algum destintivo em relação a este prêmio para os profissionais de saúde.
