[00:00:00 - 00:05:40]:  Esta semana as homenagalta Vars declara-se acredito.
[00:05:40 - 00:16:32]:  Pedro Moxia quer ser tutuólogo e Ricardo Aospreira sente a 20 mil pés.
[00:16:32 - 00:21:32]:  Está a reina do Governo Sombra.
[00:21:32 - 00:51:32]:  [Música]
[00:51:32 - 01:16:32]:  Viva vocês um bem-vindos no final de uma semana em que a região de Lisboa foi obrigada a dar um passo atrás no desconfinamento da que a pouco avaliamos as imposições do Governo na tentativa de controlar a pandemia com o país a três velocidades.
[01:16:32 - 01:28:12]:  Mas antes em sólita ou menagem de Bolsonaro aos mortos por Covid no Brasil.
[01:28:12 - 01:44:52]:  Nós campos estavam homenagem aos que se foram vítima do Corano-Avírus. Então pedi para o Juço que toque a Awe Maria para a gente ouçam.
[01:44:52 - 02:23:12]:  [Música]
[02:23:12 - 02:39:52]:  [Música]
[02:39:52 - 03:28:12]:  [Música]
[03:28:12 - 03:49:52]:  Obrigado, Juço. Um momento musical com o alto patrocinado presente para a Zelaia já que me ouvido a Awe Maria de Chobert em Sanfona, Ricardo Aospreira.
[03:49:52 - 03:58:12]:  Não, e a sensação que ele não era ouvido. Porque se atenção.
[03:58:12 - 04:14:52]:  Se você não se conhece, ele vai cantar os parabéns a você. Eu acreditava que esta música pode ser Awe Maria de Chobert como os parabéns a você.
[04:14:52 - 04:43:12]:  Mas não diz que são pessoas, para ser homenagem muito bonita é um gato morto. Isso é sempre até porque o homenagem reproduz aquilo que o sonho de gatos que estão dentro.
[04:43:12 - 05:14:52]:  Com o que é o homem? Não é um homem qualquer, não é um pedinto que estava tocar na esquina de uma rua do Rio de Janeiro. É o Sanfonaeiro, chama Gilson Machado e é o presidente da agência para a promoção do turismo do Brasil.
[05:14:52 - 05:46:32]:  Como é que avalia os méritos musicales e artísticos destratistas? Magnífico, magnífico. Eu acho que para qualquer brasileiro com que ir acima de ser, deve ter aquela mesma sensação do que ser um romano do que tem emvasão dos barbaros.
[05:46:32 - 06:14:52]:  É esta sensação, e nós olhamos para aquilo e pensamos o que é que aconteceu. Eu já esta semana tinha sido notícia porque participou num debate em que se condando, vou sonar desse que o Brasil não podia se especializar se o turismo gai.
[06:14:52 - 06:29:52]:  Embora, depois acrescentado, eu não tenho nada contra quem usa seu orifício rugoso infra-lombar para fazer sexo.
[06:29:52 - 06:44:52]:  Mas isso é atenção. É uma boa brífraza. Mas isso aí eu digui a quente, a descrição do ano e ela tocarava a amiga Chua, eu vou para a descrição do ano.
[06:44:52 - 06:59:52]:  Tem mais talento de palavras. E achei mais compensador e até musicalmente mais agradável a brífra sobre o olho do rabo.
[06:59:52 - 07:09:52]:  Eu sou que estou cansado da ser uma brúsa de arrecadência, mas eu não.
[07:09:52 - 07:31:32]:  O que significa que atribui para termecia o facto desse ser o primeiro ato público de Bolsonaro em homenagem aos mortos no Brasil por COVID-19? Já são mais de 55 mil.
[07:31:32 - 07:53:12]:  Acho que está ao nível da preocupação que ele tem demonstrado. Se fosse um chefe de Estado, preocupado com Chua de Considado, seria um, que é algo de uma missa de arrec.
[07:53:12 - 08:11:32]:  40 salvas de canhão, assim é umação forna. É o nacional sanfonismo, é a ideologia, bolsa da lista. E de facta gente vê isto. Isso fica embraçada.
[08:11:32 - 08:34:52]:  Este é um chefe de Estado. E este é um chefe de Estado em um país que não é uma micro-república com 500 mil habitantes. É um dos grandes países do mundo, em termos de não só da população e da dimensão.
