[00:00:00 - 00:13:48]:  Esta semana João Miguel Tavarres confessa-se de Barreto Enfiado. Pedra-mexia de Clara Gafado,
[00:13:48 - 00:26:56]:  a propósito de Pudroz Gaffa, e Ricardo Raúges Pereira sente-se de drank por causa do drink.
[00:26:56 - 00:30:56]:  Está reunido o governo de sombra.
[00:30:56 - 01:02:36]:  [Música]
[01:02:36 - 01:20:56]:  Para a vida vocês vão bem-vindos no final de uma semana em que a sí que primeiro e depois a TV i anunciaram a intenção de acabar com os programas futbolísticos de confronto entre adeptos de porto,
[01:20:56 - 01:32:36]:  bem-fique a esporting, uma semana também em que caiu mal um convite da ministra da Cultura para um drink de fim de tarde.
[01:32:36 - 01:44:16]:  Vamos falar disso mais adiante neste governo sombra em que Ricardo Raúges Pereira quer ser ministro da novidade.
[01:44:16 - 01:57:36]:  Não há grandes novidades Carlos, nós temos a ficar com aquilo que me parece.
[01:57:36 - 02:04:16]:  Em quando sociedade está a desenvolver o cálulo do novo banco.
[02:04:16 - 02:14:16]:  Vamos aparecer de coisas e a gente já não sente porque aquilo vai bater no cálulo.
[02:14:16 - 02:29:16]:  Quero falar de uma investigação do jornal público ao maior negócio imobiliario em Portugal nos últimos anos e segundo o maior da Peníso Lebréria.
[02:29:16 - 02:35:56]:  Traça de uma boa compra, uma boa compra parece ter sido.
[02:35:56 - 02:39:16]:  E uma boa venda?
[02:39:16 - 02:42:36]:  Boa venda já está indo de vidas.
[02:42:36 - 02:55:56]:  A rotagem do Paul Pena, que é um jornalista que faz mesmo o jornalismo, que é o que são o da...
[02:55:56 - 03:02:36]:  A rotagem do Paul Pena diz o seguinte...
[03:02:36 - 03:09:16]:  Não, que façam jornalismo de investigação mas que são jornalismo mais com o peito em pela classe.
[03:09:16 - 03:12:36]:  Descula, descula, descula.
[03:12:36 - 03:19:16]:  E são não praticantes, não é?
[03:19:16 - 03:22:36]:  O que acontece?
[03:22:36 - 03:25:56]:  O que conseguiu ser no momento ofensivo.
[03:25:56 - 03:29:16]:  Agora, tudo offende?
[03:29:16 - 03:32:36]:  O homem não está a fazer jornalismo neste momento.
[03:32:36 - 03:35:56]:  O homem não está a fazer jornalismo neste momento.
[03:35:56 - 03:39:16]:  O homem não está a fazer jornalismo neste momento.
[03:39:16 - 03:42:36]:  O homem não está a fazer jornalismo neste momento.
[03:42:36 - 03:52:36]:  O que Carlos, eu tive, como se pôs uma pensada no negócio e de repente fica com o que é mesmo.
[03:52:36 - 03:59:16]:  Mas dá para o que é mesmo essas pessoas.
[03:59:16 - 04:02:36]:  Chamado do banco bom, que é tudo o fundamento do beste.
[04:02:36 - 04:05:56]:  Exato, vendeu...
[04:05:56 - 04:05:56]:  Melhores de imóveis.
[04:05:56 - 04:07:36]:  Melhores de imóveis.
[04:07:36 - 04:15:56]:  No único lote, por um preço muito inferior ao preço, por qual eles estavam avaliados.
[04:15:56 - 04:17:36]:  Exato.
[04:17:36 - 04:27:36]:  Sabe-se que emprestei o dinheiro ao comprador, mas não sabe quem comprou.
[04:27:36 - 04:29:16]:  Exato, né?
[04:29:16 - 04:30:56]:  É isso, né?
[04:30:56 - 04:32:36]:  Não foi o Ricardo, comprou.
[04:32:36 - 04:37:36]:  Não fui eu, eu me calho um estes negócios com o novo banco.
[04:37:36 - 04:42:36]:  Se calhar, vê-la um apartamento que foi comprar de seu dinheiro.
[04:42:36 - 04:44:16]:  É possível.
[04:44:16 - 04:47:36]:  É possível que sim ou mais.
[04:47:36 - 04:49:16]:  Mas não fui eu.
[04:49:16 - 04:54:16]:  Eu tive o pôs uma pensada no negócio e como eu tenho dificuldade neste tema,
[04:54:16 - 04:59:16]:  eu tentei resumir da seguinte maneira.
