[00:00:00 - 00:09:54]:  Esta semana, Ricardo Aoros Pereira ainda em confinamento sente uma semirretta.
[00:09:54 - 00:23:28]:  João Miguel Tavares confessa-se de "Mucrata" e Pedro Mestia declara que "Cupa Edu Camões".
[00:23:28 - 00:27:48]:  Está a reunião do Governo Sombra.
[00:27:48 - 00:58:56]:  [Música]
[00:58:56 - 01:07:56]:  Para viver vocês um bem-vindos, no final de uma semana, em que os números da pandemia voltaram a bater recordes,
[01:07:56 - 01:16:16]:  e com o Ricardo Aoros Pereira ainda em isolamento embora não esteja infectado.
[01:16:16 - 01:22:40]:  O que está a fazer esse regresso a março? Ricardo Aoros Pereira.
[01:22:40 - 01:26:34]:  Péssimo, Carlos. Péssimo, estou farto.
[01:26:34 - 01:27:46]:  Farto.
[01:27:46 - 01:30:04]:  Este é pior do que março.
[01:30:04 - 01:35:22]:  Porque março ainda se podia ir aos supermercados.
[01:35:22 - 01:56:02]:  Neste momento, a perspectiva de poder ir aos supermercados parece-se que ela dedo dos presos que estão na solitária direi só dar um salto-tinho lá ao patio.
[01:56:02 - 02:15:06]:  Estim na maneira que não perde muito porque, nesse pódio, sair do conselho, nem é que ficar aí na sua zona.
[02:15:06 - 02:27:44]:  Carlos, eu ouvi dizer isso, ouvi dizer que não se pode sair do conselho, mas depois o papá diz que não se pode sair do conselho.
[02:27:44 - 02:37:02]:  Mas a mamãe diz que é só uma recomendação, por isso não tenho certeza a gravada.
[02:37:02 - 02:42:18]:  É uma recomendação agravada.
[02:42:18 - 02:45:38]:  Parece que sim, parece que é gravada.
[02:45:38 - 02:53:52]:  Acho que sim, o vídeo já é que é a recomendação agravada. Não sei o que é que é uma recomendação agravada, mas é agravada.
[02:53:52 - 03:01:48]:  Isso é isso, sim. Eu acho que implica tal tal, não é?
[03:01:48 - 03:15:54]:  Bem, daqui a pouco falaremos da pandemia, tentando adicionar o que poderá sair este sábado da reunião extraordinária do conselho de nistros.
[03:15:54 - 03:29:54]:  Pra já distribuímos pastas com o João Miguel Tavarza, querer ser desta vez, nistro do menos é mais que ritmética essa João Miguel Tavarra.
[03:29:54 - 03:34:30]:  Então isto é agitmética para lamentar, não é?
[03:34:30 - 03:57:02]:  Quer falar da votação do orçamento, que foi aprovado na generalidade, apesar de se terem levantado no emície de círculo de sombento, mais deputados contra do que a favor quer explicar a estas contas.
[03:57:02 - 04:12:02]:  Havia uma peça da renaxência bastante engraçada sobre este tema, que é... portanto, não, nós sabemos que o orçamento passou, mesmo ali arrasquinha,
[04:12:02 - 04:43:22]:  mas passou porque as bancadas votam em bloco, mas quando se for com contágas, cabecas que estavam, efetivamente, na Assembleia da República, o orçamento chumou, porque faltou apenas um portado do PSD, mas faltaram um sete de portados do PS.
[04:43:22 - 04:49:04]:  - Estão em confinamento? - Deputam com o licar da ospreira.
[04:49:04 - 04:58:48]:  Ou seja, o bicho ainda precisa, mas não gosta das cegras, já referaram, né? Portanto, há de tacou a esquerda de forma muito hipófica.
[04:58:48 - 05:08:24]:  - Desarda ver menos votantes na sala, na favor, o orçamento da personalidade... - Pasou de uma qualidade.
[05:08:24 - 05:25:20]:  - Entra nos políticos do facto de marquente, foi o voto contra do bloco de esquerda, com as explicações que fizeram o primeiro ministro da bancada do Governo, rir literalmente a agregalhada.
[05:27:00 - 05:50:28]:  - Senhor Primeiro Ministro, façam os jogos políticos que quiser, acus nos ameaços nos aplauda a quem nos insulta. O bloco não mudará de voz.
[05:50:28 - 06:13:24]:  - António, eu gosto divertido com o discurso de Catarina de Martins, parece que esta situação está consumada e que a rotura, de facto, é inutra passável ou ainda haverá recuno isto.
[06:13:24 - 06:38:04]:  - Eu tenho muitas dúvidas que divertido seja a palavra certa. A mim parece ser mais um riso daquilo de riso lembra-me de asienas antes de se propagarem para dar uma medida no antílope, não é um riso distinvento, é a mais do gênero,
[06:38:04 - 06:52:52]:  que é o estressal de toda. - Principalmente quando o principal de tal vez não seja a melhor promoção.
