[00:00:00 - 00:12:52]:  Esta semana, Pedro Mexia sentiu um pouco chino. João Miguel Tavares declara-se mal examinado
[00:12:52 - 00:21:46]:  e Ricardo Raúche Pereira, veso no papel de sacarrolhas.
[00:21:46 - 00:26:32]:  Está reunido do Governo Sombra.
[00:26:32 - 00:59:52]:  [Música]
[00:59:52 - 01:06:04]:  Araviva, vocês vão bem vindos no final da semana em que Marcelo Velsoz anunciou
[01:06:04 - 01:16:28]:  o finalmente grande surpresa, que candidato a continuar em Bulei e em que se percebeu com
[01:16:28 - 01:23:26]:  polêmica à mistura, que há problemas no ensino de matemática, tem mas que vemos
[01:23:26 - 01:31:56]:  de desenvolver daqui a pouco neste governo Sombra, mas antes o Ricardo Raúche Pereira quer
[01:31:56 - 01:38:50]:  ser ministro do botão e para que vai servir o botão.
[01:38:50 - 01:40:50]:  Ricardo Raúche Pereira.
[01:40:50 - 01:50:36]:  Eu vou perguntar Carlos. Eu refiro naquele botão de pânico que, aparentemente, que se
[01:50:36 - 02:05:24]:  responder ou ponderou ser instalado numa sala do CF para que um cidadão que esteja a ser
[02:05:24 - 02:12:24]:  espancado possa dizer, olha, se o que valha é fazer o favor de parar de um espancado
[02:12:24 - 02:21:08]:  durante um minuto, só para eu cargar no botão para o denunciar.
[02:21:08 - 02:29:16]:  Isso faz sentido porque quando as autoridades nos estão a espancar, não há nada como chamar
[02:29:16 - 02:30:56]:  as autoridades.
[02:30:56 - 02:40:04]:  Estamos a falar do botão de pânico, o botão chamado o botão de pânico previsto,
[02:40:04 - 02:47:32]:  no novo regulamento para as instalações onde são datidos para o CF temporariamente
[02:47:32 - 02:58:12]:  cidadãos estrangeiros, posso concluir que também está preocupado, portanto com aquilo que
[02:58:12 - 03:06:20]:  se passa nesse tipo de instalações onde foi mortar pânico a cada um cidadão perniano.
[03:06:20 - 03:13:32]:  Estou assim, Carlos, eu vou querer falar sobre preocupações, sobre intensidade de preocupações,
[03:13:32 - 03:16:24]:  mas quero deixar já claro que também estou preocupado.
[03:16:24 - 03:22:48]:  Então tenho uma mensagem, de boas vindas para si do Ministro de Eduardo Cabrita.
[03:22:48 - 04:09:52]:  Muito obrigado.
[04:09:52 - 04:17:48]:  Um ministro da administração interna queixar-se ter estado sozinho ao longo dos últimos
[04:17:48 - 04:27:12]:  nove meses, para no caso do cidadão o caraniano morte por inspectores do CF no aeroporto de Lisboa,
[04:27:12 - 04:35:48]:  que tipo de consolo recarderá-los para a era que está disponível para oferecer ao ministro
[04:35:48 - 04:37:28]:  Eduardo Cabrita.
[04:37:28 - 04:46:12]:  Carlos, eu acho que a necessidade de consolo do Eduardo Cabrita é impossível de satisfazer
[04:46:12 - 04:50:00]:  porque ele sofreu realmente muito.
[04:50:00 - 04:59:04]:  Ele sofreu muito, vimos um homem a solidão dele, a solidão dele quando...
[04:59:04 - 05:02:04]:  Eu há aqui coisas engraçadas.
[05:02:04 - 05:10:52]:  Primeiro é a solidão destoomen que esteva bater-se pelos direitos humanos durante nove meses,
[05:10:52 - 05:24:56]:  nove meses durante os quais ele não demitiu a diretora do CF, não pagou a traslobação do desgraçado
[05:24:56 - 05:29:28]:  e não iluminizou a viúva nesses nove meses.
[05:29:28 - 05:31:36]:  Mas esteve muito bem.
[05:31:36 - 05:36:04]:  Quem esteve muito mal, o Nuno Rogero.
[05:36:04 - 05:59:16]:  Tô de dê o Nuno Rogero porque pelos vistos comentadores neste momento decorreram um campeonato,
[05:59:16 - 06:11:04]:  e o ministro participa neste campeonato do obscenidade dizendo que sou eu que um
[06:11:04 - 06:37:20]:  nome é do Ambit das Funções do Ministro da Administração Internana.
[06:37:20 - 06:48:56]:  É do Presidente de República, é do Governo, é do Organismo Espúlico, etc.
[06:48:56 - 07:08:24]:  É exatamente isso, além disso, entre 60 pessoas que estão a tentar fazer o exercício,
[07:08:24 - 07:16:52]:  espero que a gente não tenha que ir a recuperar as imagens ainda de março, porque o felizmente
[07:16:52 - 07:24:08]:  o Governo sombra não entrompeu e foi uma coisa que foi.
[07:24:08 - 07:32:00]:  Houve vários programas e programas de comentário que interromperam durante uma ou duas
[07:32:00 - 07:42:52]:  semanas, precisamente na sequência das notícias sobre a morte deste cidadão o craniano.
[07:42:52 - 07:51:28]:  Nós não entrompeemos, e portanto falamos de altura, falamos depois, falamos no mês passado,
[07:51:28 - 07:55:36]:  mas isso, o que que se interessa?
[07:55:36 - 07:57:36]:  O que que se interessa?
[07:57:36 - 08:02:04]:  Para quem fazer essa prova de vida?
[08:02:04 - 08:05:04]:  Isso não interessa nada.
[08:05:04 - 08:11:48]:  O que interessa é este senhor que é o ministro da Administração Internana?
[08:11:48 - 08:13:28]:  O documento dos comuns.
[08:13:28 - 08:17:12]:  O Ele está a dizer, chupa em comentadores.
[08:17:12 - 08:26:56]:  Eu sempre fui ocupado para bens, muitos para bens, mas não teria sido giro aproveitar
[08:26:56 - 08:34:04]:  essa preocupação para pagar, indenizar e demitir.
[08:34:04 - 08:35:44]:  Eu quero.
[08:35:44 - 08:37:24]:  Eu sou cenário.
[08:37:24 - 08:39:04]:  Eu sou um problema, né?
[08:39:04 - 08:48:00]:  Eu sou um apoio seguinte, que todos os comentadores apresentem a sua admissão, porque
[08:48:00 - 08:51:52]:  eles tiveram um apoio de um lugar à disposição.
[08:51:52 - 08:56:28]:  Marcos menos apoio a um lugar a disposição, toda a gente apoio a um lugar a disposição.
[08:56:28 - 08:58:08]:  Vamos fazer isso nós aqui?
[08:58:08 - 08:59:48]:  Nós também.
[08:59:48 - 09:02:20]:  O ministro não, teve muito bem.
[09:02:20 - 09:10:32]:  Entretanto, oito meses depois do assassinato deste cidadão ocraniano, as mãos de aumento do
[09:10:32 - 09:19:40]:  cef, a diretora do serviço dos estrangeiros e fronteiras, deixou o cargo.
[09:19:40 - 09:32:24]:  Será que alguém se sentiu obrigável neste processo pedra-mexia ativar o botão de panico
[09:32:24 - 09:34:04]:  político?
[09:34:04 - 09:43:08]:  Bem, toda a gente, porque realmente, nós vimos este, esta conversa de imprensa, só é comparável
[09:43:08 - 09:55:04]:  a reação post-encos do ministro da defesa da altura, quando, com aquela ex-ipisora das
[09:55:04 - 10:02:16]:  armas que tinham recuperado armas amais e munições e não sequer mais.
[10:02:16 - 10:06:12]:  Esta já tinha sido penoso comunicado.
[10:06:12 - 10:16:48]:  O comunicado foi aliás logo criticado pela atual líder parlamentar do PS, que aliás
[10:16:48 - 10:25:08]:  fez logo bastante declarações bastante abrasivas sobre as preocupações com direitos
[10:25:08 - 10:33:28]:  de nada.
[10:33:28 - 10:45:56]:  E não só, não fez várias coisas que o Ricardo já anunciou, como as coisas que fez
[10:45:56 - 10:49:12]:  era só que faltava que não fizesse.
[10:49:12 - 10:52:32]:  Foi ordenado em quere.
[10:52:32 - 10:57:36]:  Para bem, ainda bem, não sabia não pular.
[10:57:36 - 11:00:32]:  Há uma restruturação em curso.
[11:00:32 - 11:04:16]:  Olá, Tim, ainda bem, que há uma restruturação em curso.
[11:04:16 - 11:16:00]:  A questão do botão de pânico, para além de ser, afinaldo o botão de pânico, segundo
[11:16:00 - 11:26:00]:  as pessoas que foram habidas nos últimos dias, não ser precisamente para esta finalidade,
[11:26:00 - 11:37:48]:  né, ver com pessoas que sentem mal a coisa de gênero, dá uma confiança na instituição,
[11:37:48 - 11:44:16]:  na detesa, aqui torturam-se pessoas, portanto, tem aqui o botãozinho.
[11:44:16 - 11:56:16]:  E sobretudo, uma intervenção atempada e importante da Provedora de Justiça, agora
[11:56:16 - 12:02:36]:  o ministro pede rapidês na decisão da ininização.
[12:02:36 - 12:06:12]:  A Provedora de Justiça tinha falado as escadas todas.
[12:06:12 - 12:08:40]:  Até começar a Europa aí, acadamento.
[12:08:40 - 12:10:20]:  Exatamente.
[12:10:20 - 12:23:40]:  Na asistencia da ver a ciência jurida é que há estas pessoas de haver em várias línguas
[12:23:40 - 12:31:28]:  formulares para as pessoas saberem os seus direitos, é a questão daqueles quartos isolados
[12:31:28 - 12:40:24]:  e o potencial de prevericação que isso tem, para não é como se ninguém tivesse alertado
[12:40:24 - 12:47:40]:  atempadamente, agora, dizer, depois desse tema ter sido o tema da semana, meramente com
[12:47:40 - 12:53:48]:  as entrevistas da viúva do cidadão que foi morto.
[12:53:48 - 13:02:00]:  De repente o ministro de "ai, finalmente acordaram, ele é que finalmente acordou".
[13:02:00 - 13:09:00]:  E é que o
[13:09:00 - 13:19:40]:  governo decidiu entretanto indominizar a família do cidadão assassinado.
[13:19:40 - 13:26:56]:  Como é que entende João Miguel Tavarzo, o facto de, ao fim de nove meses, ainda melhor representante
[13:26:56 - 13:37:00]:  do Estado, do Brutuguês, ter feito-se que era um proceonema a família da vítima?
[13:37:00 - 13:43:56]:  Entende construção de facção, pelo menos a única pessoa que deve ter achado isso normal, é
[13:43:56 - 13:47:16]:  Eduardo Cabrita.
[13:47:16 - 13:57:16]:  O Eduardo Cabrita, na verdade, está a dizer uma certa verdade quando ele está a dizer,
[13:57:16 - 14:01:32]:  que finalmente só agora é que vocês acordaram.
[14:01:32 - 14:08:08]:  É verdade, ou seja, só agora é que como são públicas.
[14:08:08 - 14:50:08]:  de insinuciriedades cardinistas,
[14:50:08 - 14:58:48]:  que é o que aconteceu agora, até porque a medida que o tempo passou, e a medida que a senhora viuva,
[14:58:48 - 15:05:08]:  dava entre vistas, passava, disse "olha, foi o que paguei de dois mil e dois centros".
[15:05:08 - 15:15:28]:  A presidão do Porto da Cinta, e quando tudo diz "eu não subi o pão, eu subi o pão, eu subi o pão",
[15:15:28 - 15:48:48]:  não foi porque o Céu foi o que aconteceu, porque depois a partir daqui foi alto, o opcinho.
[15:48:48 - 16:12:28]:  Se há uma realidade como um todo, que enquanto se estema, se venha a concluir, que não funcionou,
[16:12:28 - 16:30:28]:  não funciona, e não é em casa isolados, globalmente não funciona, então tem que ser substituída por outra.
[16:30:28 - 16:43:48]:  E quem protagonizou a passada, provavelmente não tem condições para protagonizar a futura?
[16:43:48 - 16:53:48]:  O presidente da República espera a disclarcimentos sobre o funcionamento do CF, viu nessas palavras,
[16:53:48 - 17:07:08]:  João Miguel Tavars, uma ultratórdia de uma linha vermelha, quantas condições políticas que e do ardo que abri-te tem para continuar no cargo?
[17:07:08 - 17:25:28]:  Sim, eu diria que vi algumas traçada linhas vermelhas, mas por outro lado só quer dizer que nós não passamos essas imagens, mas talvez temos pressa que recarga-se para agarça-se no domingo,
[17:25:28 - 17:40:28]:  que, mas, João, está aqui a ser profundamente malagredeci de relação a Dr. Breguita, mas profundamente ingrato em relação a Dr. Breguita.
[17:40:28 - 17:42:08]:  Mas vamos falar disso.
[17:42:08 - 17:43:48]:  Exatamente.
[17:43:48 - 17:52:08]:  E isso convém ser sublunhado nós, vamos falar disso mais à frente, e que tem a ver com...
[17:52:08 - 17:57:08]:  Estás a dizer que vamos falar nós aqui para falar do domingo.
[17:57:08 - 18:15:28]:  Que tem a ver que, diretamente, com as declarações em relação ao passado de Dr. Breguita entre 2017 e 2020, e de como ele salvo o peixe?
[18:15:28 - 18:23:48]:  O primeiro ministro já veio declarar que uma tenta total confiança em do ardo que abri-te,
[18:23:48 - 18:38:48]:  que é algo para o leismo entre esta situação e aquilo que aconteceu em 2017 com constância o urbano de sua antecessora de cabrita?
[18:38:48 - 18:48:48]:  Sim, quer dizer, de ter a vida alguns dos paralelos, não me diden que o discurso parece muito parecido, né?
[18:48:48 - 18:58:48]:  Relativamente o senhor ministro esteve muito bem, aguenta o senhor ministro bravo, se calhar é melhor sair.
[18:58:48 - 19:08:48]:  Só falta neste momento ainda não temos a parte do se calhar é melhor sair, mas tudo indica que vamos ter a parte do se calhar é melhor sair.
[19:08:48 - 19:17:08]:  Eu acho que o Carlos aqui o cif, o cif, e as estrangeiros em fronteiras.
[19:17:08 - 19:25:28]:  Eu espero que esse seja o novo nome, só assim é que sentendo um botão de pânico, né?
[19:25:28 - 19:38:48]:  Se a gente forado, vocês vão ser torturados pela mafia, talvez eles só não podem lá um botão de pânico, porque diremos não é do espírito de eles,
[19:38:48 - 20:00:28]:  termos uma palavra chave para eles pararem de Colmasarico, mas só se justifica assim com esse o serviço e as estrangeiros em fronteiras mudar do nome.
[20:00:28 - 20:05:28]:  E a história de nem sequer ter sido feito um colfoneima?
[20:05:28 - 20:22:08]:  Eu creio que tem a ver com o facto de uma vez que passaram, não, é aquela coisa, vai passando o tempo, pagando onde isso não, altura, também já não desgei bom ano,
[20:22:08 - 20:33:48]:  se calhar não vai agora em março que vou desjar e depois perde já, não vou agora, imagina que é o Marcelo, agora não te for a dizer, tome o cheirando,
[20:33:48 - 20:43:48]:  ah já casou outra vez, ah já, não é que eu ia lidar os pesamos pelo seu antigo anterior marido,
[20:43:48 - 20:53:48]:  mas tanto as as semeiras já seguiu com a sua vida, por acaso não seguiu coitada que estava bastante perturbada, comprehensively,
[20:53:48 - 21:07:08]:  mas nove meses depois, realmente, já é mais ofensivo do que nos dão compro a função um colfoneima para a senhora.
[21:07:08 - 21:20:28]:  Então, entregamos ao Ricardo Arroz, era o espreiro, a pasta de ministro do botão, quando o ópido era moxia, quer ser esta semana, ministro do transfer,
[21:20:28 - 21:30:28]:  que, afinal não se confirma, que é final, não ovo transfer, e não se confirma o transfer, porque o antigo anterior, o mesmo ministro do ano,
[21:30:28 - 21:45:28]:  o custo disse uma coisa que realmente é muito bem pensado, que quem governa é o governo, que é realmente filosofia política, da boa,
