[00:00:00 - 00:07:52]:  Neste ano, gostar de terminar para além da pandemia e recardar a hoje-preira, esteve
[00:07:52 - 00:13:00]:  atento aos canceladores implacáveis.
[00:13:00 - 00:22:56]:  Pedro Muxia preocupou-se com as demucraturas na União Europeia e João Miguel Tavárez
[00:22:56 - 00:32:48]:  viviu em quieto com aquila que chama a expansão da República Socialista Portuguesa.
[00:32:48 - 00:42:12]:  Está reconhecendo o Governo Sombra desta vez com um convidado especial para a missão
[00:42:12 - 00:52:12]:  de balanço ano, desta ano, da graça, de 2020.
[01:25:32 - 01:37:20]:  Para ver, vocês vão bem-vindos para esta, que é a última missão de 2020 do Governo Sombra,
[01:37:20 - 01:48:44]:  uma missão em que vamos fazer um balanço desta ano, no ámulo, com um convidado especial,
[01:48:44 - 01:58:24]:  o deputado Sergio Sousa Pinto, um deputado socialista em contra a mão com a linha oficial
[01:58:24 - 02:04:20]:  do seu próprio partido, seja bem-vindo o senhor deputado.
[02:04:20 - 02:09:00]:  Muito obrigado por ter acentado o nosso convite.
[02:09:00 - 02:19:48]:  O que só foi o aspecto mais penoso deste ano de pandemia e de situação anormal em que
[02:19:48 - 02:22:48]:  todos estamos morbilhados?
[02:22:48 - 02:24:28]:  Dapandemia.
[02:24:28 - 02:32:04]:  Fue, foram os consequências diretas da pandemia, a reclusão forçada, porque é diferente
[02:32:04 - 02:40:32]:  que estamos em casa voluntariamente e o Brasil está em casa, estamos em casa, é que
[02:40:32 - 02:45:32]:  um propena domiciliar e professores pandémicas não é?
[02:45:32 - 02:54:32]:  Para si que é um leitor, imagino que não traci de apesar de tudo um grande turmente.
[02:54:32 - 02:57:52]:  Sem preleitura.
[02:57:52 - 03:06:12]:  Não gosto de ser obrigado ao ler quando matece, não porque são prohibidas sobre as alternativas
[03:06:12 - 03:09:32]:  na vida, não é só ler felizmente.
[03:09:32 - 03:16:12]:  É como que o verso do pessoal há de prazer, ter um livro pra ler e não fazer.
[03:16:12 - 03:17:52]:  É de prazer.
[03:17:52 - 03:19:32]:  É importante.
[03:19:32 - 03:24:32]:  A coisa é muito diferente, de facto, quando é a proabrigação.
