[00:00:00 - 00:05:52]:  Esta semana, Ricardo Arouspreira declara-se fluido.
[00:05:52 - 00:18:16]:  João Miguel Tavarres confessa-se arguido e Pedro Mexia sente-se independente.
[00:18:16 - 00:23:16]:  Está reunido com o Governo Sombra.
[00:23:16 - 00:53:16]:  [Música]
[00:53:16 - 00:59:56]:  Viva, sejam bem-vindos no final da semana em que ficamos a saber
[00:59:56 - 01:04:56]:  que vamos continuar confinados pelo menos por mais um mês.
[01:04:56 - 01:11:36]:  Embora a Estéja também é perto, é a possibilidade de confinamento se prolongar
[01:11:36 - 01:16:36]:  depois da paz, ou seja, para lá do dia 4 de abril.
[01:16:36 - 01:23:16]:  De que pouco falaremos de nova versão do estado de emergência,
[01:23:16 - 01:31:36]:  mas por agora, o Ricardo Arouspreira, a quem cobe desta vez manter-se à distância,
[01:31:36 - 01:36:36]:  quer ser ministro da defesa da saúde.
[01:36:36 - 01:41:36]:  Fardado a civil, Ricardo Arouspreira.
[01:41:36 - 01:46:36]:  Estou as duas coisas cá, estou a fardada a civil.
[01:46:36 - 01:53:16]:  Estou civil, por isso estou com a minha farda de civil, que é o costume.
[01:53:16 - 01:58:16]:  É uma camisa branca e um pautó, como é que se chama isto?
[01:58:16 - 02:04:56]:  Neste caso quer falar da nova liderança do plano de vacinação,
[02:04:56 - 02:16:36]:  que agora parece estar a correr bem, o único problema é não haver vacinas em quantidade suficiente.
[02:16:36 - 02:26:36]:  Estamos no momento da estrangulamento de disponibilidades vacinas.
[02:26:36 - 02:36:36]:  Não é um problema nem da distribuição, nem da sua administração que não tem sido perturbada,
[02:36:36 - 02:44:56]:  mas sim a disponibilidade que o Portugal tem da cinas.
[02:44:56 - 02:51:36]:  O vice-almeirante Govei e Meldo, novo coordinador da TASC,
[02:51:36 - 02:58:16]:  que for-se para a vacinação de camuflado com uniforme opracional,
[02:58:16 - 03:08:16]:  veni isto Ricardo Arouspreira à prova de que estamos mesmo em guerra com o vírus.
[03:08:16 - 03:13:16]:  O Carlos e o acompanhem sem grande interesse.
[03:13:16 - 03:19:56]:  Deve dizer, o debate sobre a farda do vice-almeirante.
[03:19:56 - 03:26:36]:  Eu acho que em ultimanal, dizem uma discussão do ámbito da moda.
[03:26:36 - 03:36:36]:  Eu não tenho muito interesse nela, não subçalta aí, não disse, "Todas não parece um militar, eu estive militar!"
[03:36:36 - 03:44:56]:  Não aconteceu, não foi uma coisa que subçaltaça.
[03:44:56 - 03:48:16]:  Eu registro que o que é...
[03:48:16 - 03:56:36]:  Se eu tivesse a proceder em fermeira marota, talvez eu tivesse alguma,
[03:56:36 - 03:59:56]:  algumas coisas a dizer sobre o assunto.
[03:59:56 - 04:04:56]:  Agora com uma farda de militar, tenho enquanto que é militar,
[04:04:56 - 04:09:56]:  a minha reação foi exatamente esta.
[04:09:56 - 04:19:56]:  É uma distencial com a substituição de um civil,
[04:19:56 - 04:23:16]:  do anterior número 1 da TASC FORCE,
[04:23:16 - 04:33:16]:  pelo então número 2 e atual, líder da TASC FORCE.
[04:33:16 - 04:41:36]:  Eu acho que o Commodado essencial não teve haver com a substituição de um civil por um militar.
[04:41:36 - 04:53:16]:  Tem uma pessoa por outra, acho que o Commodado essencial foi...
[04:53:16 - 05:01:36]:  Nós tentávamos a viver aqui, um período... Foi exatamente como Carlos resumiu,
[05:01:36 - 05:11:36]:  que é quando a vacina falhou o plano, porque sobraram vacinas e não havia uma lista definida de suplentes,
[05:11:36 - 05:18:16]:  porque quando a vacina falhou o plano, e agora que se aperfeiçoou o plano, não há vacinas.
[05:18:16 - 05:24:56]:  É uma questão de se incorrenizarmos as duas, e eu acho que conseguimos fazer isto.
[05:24:56 - 05:33:16]:  Agora, o Commodado essencial, parece que foi duas coisas, acho eu.
[05:33:16 - 05:43:16]:  O discurso sobre a vacinação indivíga, que deixou de ser uma imodilidade só por alguns,
[05:43:16 - 05:48:16]:  e para ser uma coisa que é realmente importante fiscalizar,
[05:48:16 - 05:53:16]:  para não haver expertos a passar a frente das pessoas.
[05:53:16 - 05:58:16]:  E foi o do ponto de vista do funcionamento,
[05:58:16 - 06:04:56]:  porque neste momento, a estrutura apressional,
[06:04:56 - 06:13:16]:  tem o dooproduzilemente que tinha, e se parecem simpático.
[06:13:16 - 06:23:16]:  É, neste momento, não se nota que o senhor vice-almitante tirando pela farda, não se nota que ele é militar.
[06:23:16 - 06:28:16]:  Porra, mas naquele sentido de um militar é autoritário.
[06:28:16 - 06:31:36]:  O senhor não parece autoritário.
[06:31:36 - 06:38:16]:  Eu até tenho alguma simpatia pelo linguagem, digamos...
[06:38:16 - 06:43:16]:  -Castrânsica. -Este trance, assim, do senhor vice-almitante,
[06:43:16 - 06:48:16]:  porque ele está me dando um combate, um combate aqui com o vírus,
[06:48:16 - 06:56:36]:  e eu quero libertar a economia, como tem o Iberta, uma praia,
[06:56:36 - 07:04:56]:  e, portanto, se eu mandasse, punho ao senhor vice-almitante,
[07:04:56 - 07:08:16]:  comandar estas operações no quartel da pontinha.
[07:08:16 - 07:14:56]:  Só para termos aquele cheirinho, a 25 de abril.
[07:14:56 - 07:19:56]:  Parece de fazer diferença, João Miguel Tavar,
[07:19:56 - 07:24:56]:  do facto de estar agora um militar no comandas operações.
[07:24:56 - 07:34:56]:  Há quem diga que não sendo alguém ligado à política,
[07:34:56 - 07:39:56]:  à menos resistência, diga-se.
[07:39:56 - 07:46:36]:  Entre as pessoas que te seguem, isso fomos nós próprios no nosso último programa,
[07:46:36 - 07:53:16]:  onde já referimos as vantagens da substituição do Francisco,
[07:53:16 - 07:56:36]:  escramos por um militar aqui.
[07:56:36 - 08:08:16]:  Mas é se isso é lógica que se deves entender outras tipos de estruturas desta natureza.
[08:08:16 - 08:14:56]:  Ou seja, é ser melhor ter um militar para não haver alguém ligado a vida política.
[08:14:56 - 08:19:56]:  Não há muito este problema.
[08:19:56 - 08:26:36]:  O que acontece é que nós sabemos que há coisas que um militar em princípio eu não foreram.
[08:26:36 - 08:31:36]:  É um especial fetichismo pelos militares,
[08:31:36 - 08:36:36]:  mas é a ideia de que um militar não vai fazer piadas políticas,
[08:36:36 - 08:41:36]:  como fez o entro-occurnador, de certeza que não vai fazer.
[08:41:36 - 08:44:56]:  É importante isso.
[08:44:56 - 08:53:16]:  E quando derrar a culpa não será de uma quagela ligação partidária,
[08:53:16 - 08:58:16]:  é aqui quando houve alguém, uma verga idora, numa câmera,
[08:58:16 - 09:06:36]:  que aproveitou a sobra de uma vacina e, afinal, hora do PS, do PSD,
