[00:00:00 - 00:14:48]:  Esta semana, Ricardo Raul's Pereira sentes pesado João Miguel Tavares de Clara S. Em Pussado
[00:14:48 - 00:21:32]:  e Pedro Mexia confessa-se uma figurinha repetida.
[00:21:32 - 00:25:32]:  Está reunido o Governo de Sombra.
[00:25:32 - 00:58:52]:  [Música]
[00:58:52 - 01:10:32]:  Viva vocês, já bem-vindos, na semana em que ficamos a conhecer o plano de desconfinamento a conta gotas que temos por afriente.
[01:10:32 - 01:23:52]:  Vamos falar disso daqui a pouco neste Governo de Sombra, em que vamos falar também do Precaus Liberal na candidatura a Câmara de Lisboa
[01:23:52 - 01:28:52]:  e do Regresso Político de Lula da Silva.
[01:28:52 - 01:38:52]:  Mas por agora, o Ricardo Raul's Pereira quer ser ministro do Previlejo e quem são os provlogados em causa de Ricardo Raul's Pereira.
[01:38:52 - 01:58:52]:  O Carlos hoje temos a felicidade da palavra "previlejo" ser bem aplicada porque hoje em dia fala "previlejo" propósito de nada, as vezes a propósito de direitos que umas pessoas têm e outras não infelizmente.
[01:58:52 - 02:07:12]:  - Mas aqui são mesmo provlogiados. - Aqui são mesmo provlogiados, são aristocratas e portanto são mesmo, desta vez são mesmo provlogiados.
[02:07:12 - 02:15:32]:  - É, aquela entrevista, então bem-vindar para saber a farmalha. - Não, sei a certo.
[02:15:32 - 02:37:12]:  - Eu era recomoçado, eu gosto muito de... Quando eras notícias sobre a celebridade se juntam com notícias sobre a realesa e ainda assim domina um telégor naís, porque de facto há aqui alguma importância política nisto?
[02:37:12 - 02:58:52]:  - Fica muito sede de fãs. - Está tudo reunido. Então todos os fatores reunidos quer falar da entrevista, a entrevista que foi notícia em todo mundo, as acusações de racismo dos duques de sessex, a Casa Real Britânica.
[02:58:52 - 03:23:52]:  - Como é que a sua costela republicana está acompanhar esta novela monarco? - Como entender esse carlos até porque há um promenor que acho que isto que apoia a generalidade do público português, que é a entrevista, foi programada na CBS, é assim que se chama-no, é na CBS.
[03:23:52 - 03:48:52]:  O programa que deu imediatamente antes foi o Sixty Minute, cuja história principal era sobre trabalhadores que por causa da pandemia perderam tudo, empregaram de seta e estão a viverem tendas e nos seus próprios carros.
[03:48:52 - 03:57:12]:  E a seguir, devém em dois aristocratas milionários e dizem, nós também não temos nada bem para.
[03:57:12 - 04:15:32]:  - Vamos poder ver os aristocratas e essa entrevista na Cica, noito domingo, depois do Ricardo, ainda bem. - É ainda bem.
[04:15:32 - 04:37:12]:  - Depois da estreia de Luomir, a entrevista do óper aos duques de sessex. - Eu, nesse caso, não quero estragar a surpresa porque há muitos momentos altos, eu vou só falar de dois ou três, há um momento em que...
[04:37:12 - 05:07:12]:  Quer dizer, a queixa fundamental, há uma queixa fundamental de raçismo, que quer dizer, é surpreendente, no sentido de que, por um lado, ainda me lembro da altura, que este duque, este mesmo duque era racista, porque há festas que...
[05:07:12 - 05:32:12]:  Há festas que uma braçadeira nasi e era apanhada em vídeos, a chamar Paci, um companheiro da tropa, Paquistanes, mas isso foi há dois anos, agora ele é vítima.
[05:32:12 - 05:53:52]:  E, portanto, o que aconteceu foi essa acusação de racismo, é relatada, uma conversa, o Harry teve uma conversa lá no palácio, em que ele perguntaram qual seria a cor do bebê.
[05:53:52 - 06:07:12]:  E é curioso porque, depois, a oura pergunta, quem foi essa pessoa? O nome não, normalmente quando se faz uma acusação, convém dizer o nome do acusado.
[06:07:12 - 06:13:52]:  E eles dizem, não, não vamos dizer porque isso seria muito danoso para a pessoa.
[06:13:52 - 06:30:32]:  E então assim, não é nada danoso, fica toda a gente sob suspeita, a ouro pra no dia seguinte, diz-se, tenho autorização para revelar que não foi, nem a reenha, nem o seu marido.
[06:30:32 - 06:48:52]:  E, portanto, agora, podemos todos julgar ao clube do racismo. Começará a advenir, para mim foi o professor Plano, na Biblio Teca, Coé Anuward. Foi ele que prepotrou.
[06:48:52 - 06:53:52]:  De resto, quer dizer, é...
[06:53:52 - 07:00:32]:  Vai estar, portanto, mais sintenizado com a casa real...
[07:00:32 - 07:03:52]:  Não, não, eu não estou se perguntando...
[07:03:52 - 07:07:12]:  Não, eu adoro a colar de mim, eu adoro a estas caixosos.
[07:07:12 - 07:13:52]:  Não, não, eu adoro a maneira como se conheçam que estáis do lado da casa real ou dos caixosos.
[07:13:52 - 07:25:32]:  Eu quero que todos se lixem, eu estou morrificando, porque este é isto, o caráter estudo, eu fico por polexico a ideia de...
[07:25:32 - 07:45:32]:  Então, eu vou integrar uma família com GIs extensia, acenta precisamente na noção de discriminação, uma vez que eles ernam o poder é editariamente e discriminem, não me paga.
[07:45:32 - 07:57:12]:  Eu estava tão contente por beneficiar dessa discriminação, e apresenta-me uma outra discriminação lateral.
[07:57:12 - 08:08:52]:  Mas há outras coisas engraçadas, por exemplo, quando o Profácio de uma pergunta, que achou que qualquer um de nós faria ela,
[08:08:52 - 08:23:52]:  perguntar a sua altezas real, se ela não tinha uma ideia de que que ele ia ser assim, e ela disse "não, eu não fazia não sabia, não sabia, nunca pus o nome do meu marido, não vou...
[08:23:52 - 08:27:12]:  É, seu favoria é um muito favorito, né?
[08:27:12 - 08:37:12]:  Nunca pus o nome do meu marido, no Google, cuitadinha, ela não acompanhou a história recente em inglês, não viu filmes, nem séries...
[08:37:12 - 08:40:32]:  Tá falar de Meghan Markle?
[08:40:32 - 08:45:32]:  É assim, da sua altezas reala do queza, e ela...
[08:45:32 - 08:52:12]:  Mas ainda é a altezas real, pode ter renunciado, ter renunciado e altargos?
[08:52:12 - 09:00:32]:  Ela é sua altezas real, mas não pode usar esse cetítulo, mas é sua altezas real.
[09:00:32 - 09:23:52]:  E, portanto, é curioso porque ela não sabia de nada, ela é impossível dizer, realmente não conheça minha só gra, ou isso dizer que aconteceu qualquer coisa, mas não tenho bem ideia de que será.
[09:23:52 - 09:28:52]:  É, ela é isso, não diz, mas quer dizer...
[09:28:52 - 09:33:52]:  Por conta da rave, ela disse que sempre foi muito bem tratada pela reinha.
[09:33:52 - 09:47:12]:  Sim, pois, exato, mas... mas não, a só gra dela não é rinha, a só gra dela é Diana, ela...
[09:47:12 - 09:48:52]:  Apes de sim, ela não...
[09:48:52 - 09:50:32]:  Ela não...
[09:50:32 - 09:52:12]:  A reina é a rola.
[09:52:12 - 09:55:32]:  É a rola, a só gra não estar lá.
[09:55:32 - 09:57:12]:  Ela, por isso que era...
[09:57:12 - 10:00:32]:  Podia ter perguntado o que aconteceu à minha só gra.
[10:00:32 - 10:12:12]:  Talvez ele tivesse explicado duas outras coisas sobre o funcionamento da casa real, a ser a altura ela diz, estava a sentir mal, então fui aos recursos humanos.
[10:12:12 - 10:18:52]:  É a girar uma família que tem recursos humanos, tem um departamento para o sumanho.
[10:18:52 - 10:22:12]:  Mas, havia...
[10:22:12 - 10:28:52]:  É só uma coisa, só não querendo estregar a surpresa, mas há um momento para mim...
[10:28:52 - 10:50:32]:  Enfim, eu fiquei como vídeo que foi quando a Oprah ele perguntou-se quente, falou-se a certa altura, foi evito pela imprensa que a Kate, que é a melhor do outro príncipe,
[10:50:32 - 11:00:32]:  que tinha feito chorar por alturas do teu casamento e diz ela muito conduída.
[11:00:32 - 11:05:32]:  Aliás, o que tu fiz? Estou chorando a Kate e ela diz, não, não foi o contrário.
[11:05:32 - 11:25:32]:  E realmente, portanto, foi a Kate que ia fechurar a ela, algo que a imprensa pode investigar, devido a uma desavensa acerca dos vestidos das damas do honor que levavam as flores.
[11:25:32 - 11:33:52]:  A Kate tachava aquelas e deviam ir de colas e a Megan achava que não.
[11:33:52 - 11:35:32]:  O que você...
[11:35:32 - 11:38:52]:  E a que temporada do Decral, né, que isto vai aparecer?
[11:38:52 - 11:42:12]:  Não sei, mas tão ansioso.
[11:42:12 - 11:43:52]:  Estou ansioso.
[11:43:52 - 11:45:32]:  Eu...
[11:45:32 - 11:47:12]:  É, se...
[11:47:12 - 11:48:52]:  Não sei se...
[11:48:52 - 11:50:32]:  Se você quer avaltar ao princípio, o que?
[11:50:32 - 12:00:32]:  No meio de uma pandemia, destruidora da vida toda a gente, a 2 aristocratos milionários que dizem.
[12:00:32 - 12:05:32]:  Ó, e eu, que também estou aqui...
[12:05:32 - 12:23:52]:  O caso, em que mudou a família real britânica, é o ponto de reenhecer a reagido a entrevista, o avon comunicado, em que o Palácio de Buckingham reconhece serem preocupantes as acoloções de racismo.
[12:23:52 - 12:35:32]:  Será suficiente para fazer a refecer os ánimos a esta respeito de pedramencia?
[12:35:32 - 12:48:52]:  Não queria comentar este caso de... de... de aeste laboridade, de uma das quais, porque ia ser chef de estado, até porque respeito a vida do Kanye, ou é a cede, que me cardaxem.
[12:48:52 - 12:52:12]:  São... são...
[12:52:12 - 12:53:52]:  pessoas respeitáveis.
[12:53:52 - 13:00:32]:  Mas realmente, é por si é uma lata de graçada toda esta entrevista.
[13:00:32 - 13:12:12]:  Para já, entre as muitas coisas que Megan Marco podia ter aprendido, era alguma coisa sobre a vida da sogra.
[13:12:12 - 13:33:52]:  É justamente da preciza Diana e com algumas coisas boas que podia ter derrida a vela, pelos vistas herdoa, esta ideia de se fingir, como Diana fazia frequentemente, mais parva do que era.
[13:33:52 - 13:37:12]:  Não era parva nenhuma, e é isso também, não é?
[13:37:12 - 13:40:32]:  Quando a latisse na entrevista que...
[13:40:32 - 13:52:12]:  Via a realesa como uma forma de celebridade e não percebia que havia estas, sem mais ou menos como...
[13:52:12 - 14:00:32]:  tipo chegar a primeiro ministro e dizer "estou a ser criticado no jornal".
[14:00:32 - 14:10:32]:  O que é que está a acontecer? Um árbitro de dizer "estou a reforir, sem a minha projeunidade, o que é que se passa aqui?"
[14:10:32 - 14:35:32]:  Claro que se ela viu sério, não é preciso acompanhar a imprensa, basta ver séries e perceber que com a parte boa, que é a parte das festimentes, e do imobiliário, o resto da vida das famílias regais é horrível.
[14:35:32 - 14:43:52]:  E é um microclima absolutamente inóspito.
[14:43:52 - 14:50:32]:  E, portanto, não há duvida nenhuma, coisa diferente são as aquestas pessoas de racismo.
[14:50:32 - 15:12:12]:  As aquestas pessoas de racismo são praticamente, são séries e a nota da casa real do Palácio da Bequenha é muito boa, acho que são cinco linhas, como a frase maravilhosa que é "Recollections May vary"
[15:12:12 - 15:15:32]:  - da gente... - As morias.
[15:15:32 - 15:18:52]:  - Está calada a mentirosa. - Às vezes, em ganhão?
[15:18:52 - 15:45:32]:  Mas largar aquilo depois de dizer em duas etapas que não foi a rainha, acho que é uma algação grave que deve ser investigada no sentido de a rainha, é chefe de estado de milhões de não-brancos, tanto nas ilhas britânicas como na Coma Noel.
[15:45:32 - 16:03:52]:  Agora, realmente é preciso, é preciso muito alate essa ideia de pessoas que até há muito pouco tempo, queriam fazer parte do jogo, depois decidiram não fazer parte do jogo,
[16:03:52 - 16:22:12]:  mas ao mesmo tempo, usando o planeamento, no caso de eu, essa é a celebridade que adevia exclusivamente da família em que nasceu, ela era atriz, é para outra via.
[16:22:12 - 16:50:32]:  E depois de fazer esta maneira absolutamente universal de tratar as coisas, para citar uma frase que o Ricardo cita muito de Ertorsimedo, não estava uns esperando, que o Citace Ruiz-Semedo, Ertorsimedo, o Ertorsimedo dizia que o Jocobo Olnose perguntava se ele queria ver um bom espetáculo,
[16:50:32 - 17:13:52]:  não quero que o Enféque agadre enquanto queram-me uns espetáculo voar a obra. E de facto agora é ir à ropa das pessoas, acho que a melhor maneira de resolver a sua vida, incluindo algações que são conjugais familiares, a acessão de racismo, uma acessão política e grave.
[17:13:52 - 17:32:12]:  O resto são, ai é minha, a minha mulher não sei de queio, não sei quem disse uma coisa, desagradável, vamos falar para milhões de pessoas, muito bem bravo, a certa altura ela diz a a obra.
