[00:00:00 - 00:09:52]:  Esta semana, Ricardo Arouspreira confessa-se apto. João Miguel Pavarge de Clara's
[00:09:52 - 00:21:46]:  "Diligenciado" com sucesso e "Pedro Mexia" "Centes" ou "Centas" nos faa.
[00:21:46 - 00:26:32]:  Está arredido que vejam no sombra.
[00:26:32 - 00:56:32]:  [Música]
[00:56:32 - 01:03:36]:  Para a vida sejam bem-vindos, no dia em que a acusação do operação Marquea
[01:03:36 - 01:12:40]:  foi arrasada pelojuiz ivroz, que considera que o trabalho do Ministério Público
[01:12:40 - 01:24:56]:  não primou pelo rigor dos 189 crimes que estavam em causa só sobreviveram 17
[01:24:56 - 01:33:20]:  e todas as acusações de corrupção caíram embora tenha sido dito pelojuiz
[01:33:20 - 01:42:00]:  que sócrates foi colompizo, só que esse crime de corrupção já prescreveu.
[01:42:00 - 01:47:44]:  Evidentemente, é este o tema central deste Governo Sombra
[01:47:44 - 01:57:28]:  com todos os ministérios dedicados ao despacho do Tribunal Central de Instrução Criminal
[01:57:28 - 02:04:40]:  e como o Ricardo Raúes Pereira acrescer ministro das garantias
[02:04:40 - 02:16:24]:  e uma grande tia que temos o Ricardo Raúes Pereira é que provavelmente isto ainda está no intervalo apenas.
[02:16:24 - 02:19:52]:  Exatamente, exatamente.
[02:19:52 - 02:31:12]:  Eu fiz uma pesquisa rápida por títulos de notícias.
[02:31:12 - 02:39:52]:  Este é hoje juiz a razô a acusação do operação Marquea
[02:39:52 - 02:52:48]:  depois de 20 de febrero de 2019, Tribunal da Raza e Ivorosa sobre travão aos dados bancários.
[02:52:48 - 03:03:36]:  11 de octubre de 2017, defesa de sócrates a raza despacho da acusação
[03:03:36 - 03:12:00]:  e 3 de febrero de 2016, o Rosário Teixeira raza sócrates.
[03:12:00 - 03:15:36]:  Em principios de caso... - Se é verrasa, o mar é raza.
[03:15:36 - 03:26:16]:  Já toda a gente terrasou e foi errasada, o basicamente o que é ver é quem é que vai errasar por último.
[03:26:16 - 03:32:24]:  - A raza melhor. - A raza melhor.
[03:32:24 - 03:44:40]:  Agora parece-me evidente que alguém aqui, nós próprios já vamos estar errasados com o ento de raio.
[03:44:40 - 03:46:56]:  Sim, eu ou moro.
[03:46:56 - 03:50:00]:  Exatamente, provavelmente.
[03:50:00 - 03:54:40]:  - Exatamente, é importante. - E 7,002 anos, o nosso estudo de vida.
[03:54:40 - 04:02:24]:  - Deixe que sócrates foi preso. - Foi preso há 16 anos.
[04:02:24 - 04:18:32]:  - É, sério. - Nozumembro de 2014, 16 anos e meia até agora. - Mas isso começou a ser investigado. Muito antes disso, não. Não muito antes disso, mas sim.
[04:18:32 - 04:22:24]:  - A gente disse. - Até se agarquem a ter o guia, há tempo mais.
[04:22:24 - 04:30:48]:  É por causa das histórias dos processos administrativos. - Sim. - Deposamente de cada cento de seu idade. - Sim.
[04:30:48 - 04:42:08]:  Sim, como acompanhado porque não percebe nada direito. E aqui alguém que também não percebe. Não é possível.
[04:42:08 - 04:57:04]:  Entra a rosa de tê cheira e rosa alguém que não percebe nada direito. Porque, em princípio, se isso fosse um caso prático ou pedra ajuda-me.
[04:57:04 - 05:08:16]:  Se isso fosse um caso prático, não é uma universidade. E um aluno disse-se. Nada disse para escrever-o.
[05:08:16 - 05:19:52]:  Vamos avançar para o julgamento. E outra aluno disse-se. Tudo isto já para escrever-o. Não avançar nada. Não podiam passar os dois.
[05:19:52 - 05:26:48]:  - Passavam os dois. - Só que aqui há a... - Tem de edad fundamentação.
[05:26:48 - 05:33:28]:  - A inauguração da prova, etc. - E sem mamargem sempre do subjetividade.
[05:33:28 - 05:57:28]:  E que grau de gravidade é que atribui a afirmação dos juíches e rosa depois de ter falado as pesquições de não acompanhar a acusação do Ministério Público de Corrupção.
[05:57:28 - 06:14:48]:  Mesmo assim, os juíches e rosa diz que os exácrater foi corrompido porque Carlos Santos Silva e um milhão e 700 mil euros só que já prescriviam.
[06:14:48 - 06:21:28]:  - É, porque eu... - Mas é... - A sua pergunta, Carlos... - É gravidado. - O grau de gravidade.
[06:21:28 - 06:29:48]:  - O grau de gravidade. - O grau de gravidade. De pela primeira vez, na história de Portugal, a ver um juíche.
[06:29:48 - 06:34:48]:  - É isso. - É isso. Que um primeiro ministro foi corrompido.
[06:34:48 - 06:41:28]:  - Isso é assim tão grave. - Não sei.
[06:41:28 - 06:58:08]:  Acaba para ser um lugar mais grave porque o juíche, em causa, é uma pessoa que o orgulho em causa também respeita e considera independente.
[06:58:08 - 07:04:48]:  - Ele disse a um juíche que o respeito e considera independente. Quem é? É o ivorosa.
[07:04:48 - 07:16:28]:  E é esse juíche, esse juíche, que na leitura do acorde do julgamento do Rosário de Teixeira...
[07:16:28 - 07:24:48]:  - De os pastos. - De os pastos do acorde do julgamento do Rosário de Teixeira que nós ouvimos hoje.
[07:24:48 - 07:34:48]:  É esse juíche que o orgulho de ilogia que diz de passagem.
[07:34:48 - 07:49:48]:  - É verdade. - E o senhor foi de facto corrompido e se já prescreveu, mas vai ajulamento pela facto de...
[07:49:48 - 07:58:08]:  - Pelo banquement de capitais. - Essa ainda não prescreveu.
[07:58:08 - 08:09:48]:  Nesse que é importante que é uma consequência da corrupção de ter de facto existido para antístos. É só que a de sair e diz.
[08:09:48 - 08:14:48]:  - Ah, ganhei. - Eu não percebo o jogo.
[08:14:48 - 08:29:48]:  - Que é o parque de que elas corridam este fórmulo em que está mesmo toda correm bem, que vai afegante. Já está mesmo com a meta-avista, mas de tempo se não ultima curva.
[08:29:48 - 08:38:08]:  Só que ninguém o avisou, porque ele seiu no carro convencido ainda e que ele seiu do carro convencido.
[08:38:08 - 08:44:48]:  Só que a distância é a razão para cantar a vitória, como foi a já cedo tribunal, Pedro Machia.
[08:44:48 - 08:54:48]:  Só do ponto de vista, quantitativo, porque o pessoal de 31 é que os ações passarem indiciar de por seis.
[08:54:48 - 09:13:08]:  Eu acho que boa parte das pessoas tinha a convicção, não só pela dificuldade da prova em geral, da dificuldade da prova de corrupção.
[09:13:08 - 09:24:48]:  Quero pelo estúrial do ivo-coz, inclusive, pela prova de confiança, que os dações só crédios.
[09:24:48 - 09:33:08]:  Por a confiança que os dações já são dos positonêus, mas, enfim, isso é uma parta anodótica.
[09:33:08 - 09:44:48]:  Mas toda a gente achava, ou muita gente achava, eu realmente achava que a corrupção seria a primeira coisa a ir à vida.
[09:44:48 - 09:49:48]:  E, surpreendentemente, é que eu vou entrar pela porta do cavalo.
[09:49:48 - 09:58:08]:  Claro que é uma corrupção que já escreveu, mas que foi indito com todas as letras e com...
[09:58:08 - 10:03:08]:  E pra isso foi muito surpreendente, e desse ponto de vista.
[10:03:08 - 10:08:08]:  Até foi usado o vermercado já...
[10:08:08 - 10:11:28]:  Exatamente, por vermercado já.
[10:11:28 - 10:13:08]:  É o vermercado, por vermercado.
[10:13:08 - 10:33:08]:  E, portanto, os é só, o creche pode estar contente, no sentido em que o que assistimos a esta tarde foi um arrasar, justamente, um turpeviamento.
[10:33:08 - 10:36:28]:  Existe a palavra turpe, o verbo turpe...
[10:36:28 - 10:38:08]:  Existe a palavra turpeviamento.
[10:38:08 - 10:39:48]:  Existe a palavra turpeviamento.
[10:39:48 - 10:58:08]:  De toda a investigação, e das questões pequenas, das questões grandes, a que ela que ivorosa chamou "incuerença, especulação e fantasia".
[10:58:08 - 11:06:28]:  Parece um workshop de escrita criativa.
[11:06:28 - 11:21:28]:  E, portanto, desse ponto de vista assim, agora, não deixou ser pronunciada aquela palavra e aquela acusação.
[11:21:28 - 11:33:08]:  O facto de estar prescrito do ponto de vista da mancha que fica associada a ajudar a sua operação.
[11:33:08 - 11:43:08]:  Isto é, estamos a meio do intervalo ainda, possivelmente, tanto quanto foi anunciado o recurso para a relação.
[11:43:08 - 11:48:08]:  E, depois, ainda, aquela coisa que é o julgamento.
[11:48:08 - 11:53:08]:  E, só depois, enfim...
[11:53:08 - 12:03:08]:  E, portanto, nós estamos aqui, as pessoas hoje, tiveram todas a reagir como se estivesse decidido...
[12:03:08 - 12:16:28]:  Fosos, não está, e, portanto, acho que é normal de 31-16 e com o ataque ao trabalho mistério público, sim.
[12:16:28 - 12:29:48]:  Mas essa mancha fica, sobretudo, se, além da questão da sua ou anurabilidade, pranta-láia...
[12:29:48 - 12:41:28]:  E tudo isso, os assagratos também têm, como ele deixa sempre entender, vão estar a ter um futuro político.
[12:41:28 - 12:53:08]:  E, agora, essas declarações não permitem ter futuro político, impenementas, questões, meramente legais.
[12:53:08 - 12:56:28]:  Eu disse que é uma questão que tem como ele próprio.
[12:56:28 - 13:01:28]:  É como não há nel e Portugal.
[13:01:28 - 13:09:48]:  Depois do que vimos hoje ainda consideras, vamos me gravar, como escreveu a dia,
[13:09:48 - 13:16:28]:  que a acusação do Ministério público é muito sólida.
[13:16:28 - 13:26:28]:  Eu não sei se tudo recordava, provavelmente não te lembra, como é que se chamava o título desse estigo?
[13:26:28 - 13:36:28]:  O título do Estigueira é fácil ser corrupto, é muito difícil provar a corrupção.
[13:36:28 - 13:49:48]:  Portanto, eu acho que todos os indícios que estão na acusação são, de facto, indícios muito sólidos,
[13:49:48 - 14:01:28]:  mas, de facto, a solidêis esbarra em algo que ainda é mais sólida e que é dificuldade de provar coisas em função
[14:01:28 - 14:06:28]:  daquilo que é o leiportuguesa, não podia respeitar a corrupção.
[14:06:28 - 14:11:28]:  E isso é que é muita sustador.
[14:11:28 - 14:19:48]:  Repara, aquilo que pode estar há a acontecer, neste caso.
[14:19:48 - 14:34:48]:  É, nós temos a sensação que as coisas aconteceram assim, mas o que aconteceu assim não pode ser provado.
[14:34:48 - 14:54:48]:  Todos aqueles circuitos infinindáveis, que estão muito bem solidificados na acusação, todos aqueles circuitos infinindáveis de circulação do dinheiro pelas várias contas,
[14:54:48 - 15:06:28]:  e que depois de muitos e muitos salteintes que o Ministério público teve e nem se cuidou em conseguir levantar,
[15:06:28 - 15:18:08]:  vão parar desde de recarque salgado até recarque antílvoa, depois dárem três voltas ao sete voltas ao planeta.
[15:18:08 - 15:28:08]:  E, portanto, qualquer pessoa olha para aquilo e dizem "amem, isto está muito estranha, pela coincidência das datas".
[15:28:08 - 15:33:08]:  Tudo aquilo é altamente estranho.
[15:33:08 - 15:43:08]:  E, portanto, todos confieis que aquilo foi mesmo, mas sim, mas não é que a parte de provar para além qualquer dúvida, resolve,
[15:43:08 - 15:49:48]:  sobretudo, quando a pania zoom juíste está em meio de piquinhas como ivorosa,
[15:49:48 - 16:01:28]:  mas, e depois acontece o contrário, que é, e esse é que foi, de repente, o coelho que ivorosa, tem ouda criatola,
[16:01:28 - 16:11:28]:  é um coelho muito esquisito, não é brinquen que nem fal puder, é um outro tipo de coelho bizarro,
[16:11:28 - 16:18:08]:  porque, porque aquilo que ivorosa sugera é,
[16:18:08 - 16:23:08]:  é aquilo que eu consigo provar isto.
[16:23:08 - 16:33:08]:  E, de certa forma, o ivorosa diz assim, diz assim, "amem, isto está muito fácil provar".
[16:33:08 - 16:44:48]:  Então, ver, estas transferências todas de dinheiro entre estas entregas de dinheiro, entre caras de antílva e já só,
[16:44:48 - 16:53:08]:  que isto está tudo muito fácil de provar, e como é que isto se prove? Bom, isto é bem que a mente que apita, achá bem porquê.
