[00:00:00 - 00:13:20]:  Esta semana a Pedermostia considera-se revisto João Miguel Tavars de Clara Centenario
[00:13:20 - 00:20:00]:  e Ricardo Arouspreira, cento-se premiado.
[00:20:00 - 00:23:20]:  Está reunido com o Governo de Sombra.
[00:23:20 - 00:53:20]:  [Música]
[00:53:20 - 01:10:00]:  Viva vocês são bem-vindos no final de uma semana em que o país tomou consciência das condições de vida de milhares de trabalhadores de estrangeiros na Costa Alente Jana.
[01:10:00 - 01:23:20]:  De que pouco falaremos disso e da polêmica com a requisição civil para o reeligimento de migrantes em situação de risco sanitário.
[01:23:20 - 01:28:20]:  Mas antes o Ricardo Arouspreira quer ser ministro do "eu também".
[01:28:20 - 01:38:20]:  Como é que recebeu a chegada a Portugal de tradução portuguesa do movimento mito Ricardo Arouspreira?
[01:38:20 - 01:48:20]:  Eu queria falar precisamente sobre isso, Carlos, sobre a chegada a metrô-de-po-literal ao metrô-de-oção adaptável.
[01:48:20 - 02:05:00]:  O mito não parece uma tradução acertada, que estão em a chegada, o meu problema é que o acertado é que o mito chegou a protogalar.
[02:05:00 - 02:25:00]:  Estes são textos desta últimos dias, público. Agora que o mito chegou a protogalar, expresso, o movimento mito chegou a protogalar.
[02:25:00 - 02:30:00]:  O movimento internacional chega agora a abertamente a protogalar.
[02:30:00 - 02:38:20]:  Visão, venha aí o mito à protoguesa, público. Por este dia o mito chegou a finalmente a protogalar.
[02:38:20 - 02:50:00]:  Foi. Cada frase, cada page não tem duas fases. Não, a respeito do ambiente. É tão mais.
[02:50:00 - 03:18:20]:  A minha questão é foi, e chegou agora, é que a sensação que eu tenho, é que estes estarmos a dizer a atenção, chegou o meu movimento mito a protogal, com nomes e não sei aqui, a sensação que eu tenho que há três anos já tinha chegado, mas pessoas não gostaram foi do nome.
[03:18:20 - 03:33:20]:  Mas há três anos em outubro 2018, o público dizia como Ronaldo entrou no furacão mito. O movimento chegou a protogalar há três anos.
[03:33:20 - 03:50:00]:  Mas esse caso do Ronaldo era no Estados Unidos. E com o nome, sim, mas aquilo. Mas que chegou a protogalar chegou. E esse é um dos problemas, é...
[03:50:00 - 04:08:20]:  Vamos embora. Se, senhora, isto ainda acabar, toda a gente está de acordo, vamos então a isso, até pessoas que dizem nomes, e pessoas dizem nomes. Não, nisso não gosto muito.
[04:08:20 - 04:26:40]:  Nisso não... ou mais, mais nomes. Vamos ver se os outros são melhores. Não, não parece... Atenção, esta história dá a três anos.
[04:26:40 - 04:46:40]:  Não estou a dizer que o que este no Ronaldo é culpado, num momento preto e mal, o que estou a dizer é que o texto de revista da Respiga, ele não sendo uma prova definitiva, era bastante preocupante e por tanto.
[04:46:40 - 05:01:40]:  Mas agora são casos de sociedade protogal, depois diversas denúncias, sem identificação do alugado agressor.
[05:01:40 - 05:23:20]:  Vamos ao rolista, João Named Marcos, que acusou um editor, Manuel Alberto Valente, ter tido uma relação a ela, um comportamento abusivo, relatando ela a uma situação que o visado nega.
[05:23:20 - 05:40:00]:  Como é que veu que cavar de treincheiras, e este respeito nas redes sociais, com manifestações de viamentos de solidariedade, para cada um dos protagonistas?
[05:40:00 - 05:56:40]:  Eu tenho dificuldade, não sei, há aqui um problema que é o seguinte, quando há acostações deste tipo.
[05:56:40 - 06:21:40]:  Eu pessoalmente, uma vez que não sou a juiz, nem presenciei, nem fui de Estimúnia, não tenho razões para adorivar da palavra de uma pessoa, mas não tenho razões para adorivar da palavra de outra.
[06:21:40 - 06:38:20]:  As pessoas dizem assim, claro que sim, presonção de inocência, mas por exemplo há casos de corrupção em que a gente forma um juiz. Não há dúvida.
[06:38:20 - 06:55:00]:  Isso não belisca a presonção da inocência, porque o acusado de corrupção, vamos sepore, continuar a ter no tribunal a sua presonção de inocência intacta.
[06:55:00 - 07:16:40]:  Mas são casos em que a gente ouve o próprio, o acusado, há de emitir coisas inadimissíveis, e sem ainda não acontecer neste âmbito do mito, essa é uma diferença essencial.
[07:16:40 - 07:30:00]:  Agora há uma coisa que é inagável, que é as mulheres, e diga as mulheres porque é sobretudo de mulheres que estamos a falar.
[07:30:00 - 07:55:00]:  Então fartas, fertinhas, e com muita razão, e com muita razão, e convém às vezes há uma tentação de dizer assim, pois é que isto antigamente era aceitável.
[07:55:00 - 08:16:40]:  Não, não, não, acho que não. Isso não é bem como as classes há boca de sino, que é antigamente usávices, mas agora nunca foi aceitável, chantagem sexual, que se não for atendida, prejudicar a carreira da pessoa, não é aceitável.
[08:16:40 - 08:35:00]:  O chantão é muito bom que isto aconteça, é óbvio que há coisas que a gente precisa de fazer, porque isto não pode e não encontra-se da pergunta.
[08:35:00 - 08:53:20]:  E isto, a gente, a gente, a dizer, tem a vida, falanges, que digamos algumas perspectivas divergentes, todos os acusados são culpados.
[08:53:20 - 09:05:00]:  Isso é uma, não me parece muito sensada, outras são todos inocentes, também não me parece muito sensado.
[09:05:00 - 09:15:00]:  Outra é, são todos culpados e chato quando o acusado é meu amigo, também não me parece especialmente sensado.
[09:15:00 - 09:33:20]:  E portanto, acho que tem de haver uma quarta opção que ataca o problema, que não tem sido atacada até agora, mas ainda assim garantindo que os direitos, todas as gente são respeitados.
[09:33:20 - 09:55:00]:  Por exemplo, por exemplo, que o sistema judicial não é fiável uma vez que, em casos que tem, e da tribunal, a justiça-se tem comportado muitas vezes de forma insatifatória.
[09:55:00 - 10:21:40]:  O certo, e mesmo quando não se comporta de forma satisfatória, há aqui um problema adicional que é um crime difícil e me deprovar, porque o criminoso é suficientemente idiota para deixar proscrito, o que... ou fazer o prente de estimunhas,
[10:21:40 - 10:38:20]:  ou então é muito difícil provar. Agora, há coisas que se podem fazer, acho eu, por exemplo, aumentar o prazo para as denúncias, por exemplo, é meio absurdo o prazo.
[10:38:20 - 11:05:00]:  - É cinco anos, né? - Sim, o prazo que tem de enquanto as especificidades de esse crime, agora essa é a questão, é, tem de enquanto as especificidades do crime, é evidente que tem de haver respostas que permitam que a impunidade não continue.
[11:05:00 - 11:21:40]:  - A companhia é de uma maior tabarra das exigências que têm vindo a público para que as mulheres que sequeixam, de casos da sédio, digam os nomes dos agressores.
[11:21:40 - 11:36:40]:  - Eu acho que a palavra exigência, em tudo o que diz, desbate este tipo de caso, é uma palavra demasiado complicada e que acho que não deve ser utilizada.
[11:36:40 - 11:51:40]:  Não veis exigência de coisa nenhuma, nem exigência para ficar calados, não existiga em provas, não sei tipo provas, não sei sentido judicial, nem exigência para falar, é quem não quer falar.
