[00:00:00 - 00:06:44]:  Essa semana a Ricardo Araús Pereira confessa-se em Inciso.
[00:06:44 - 00:20:00]:  João Miguel Tavárez de Clara se erre em Queciso e Pedro Mexia, Centro de Castigo.
[00:20:00 - 00:23:20]:  Está arreinizo governo de sombra?
[00:23:20 - 00:53:20]:  [Música]
[00:53:20 - 01:03:20]:  Para a vida vocês vão bem-vindos no final da semana em que o Ludo a Pedro dominou os passem diáticos
[01:03:20 - 01:13:20]:  e a interesseiração portuguesa mostrou com o empate preparado para voltar a vencer o euro.
[01:13:20 - 01:23:20]:  Mas para um tema não falar de bola, que é assunto para especialistas e começamos a estar arreinizando o Governo de sombra
[01:23:20 - 01:28:20]:  com um ministro de neutralidade.
[01:28:20 - 01:33:20]:  Ricardo Araús Pereira, que vira tudo daqui a encontra na neutralidade.
[01:33:20 - 01:40:00]:  Na neutralidade, às vezes a neutralidade vem contra viver tudo.
[01:40:00 - 01:46:40]:  Quando a neutralidade não é neutral, não encontra cinquenta.
[01:46:40 - 01:50:00]:  Não gosta que exame seus fisos?
[01:50:00 - 02:03:20]:  Quando o problema é o seguinte, se eu na rua vir, 10 pessoas apontapiar em uma velha e disseram,
[02:03:20 - 02:15:00]:  "eu neste caso vou ser neutral, eu não estou a ser neutral, estou objetivamente do lado das pessoas que estão apontapiadas a velha".
[02:15:00 - 02:30:00]:  Isto é propósito? Não de velhas, nem de pontapés, mas da decisão do Governo de Portugueses de não subscrever uma carta sobre o direito de LGBT na Unguria,
[02:30:00 - 02:40:00]:  uma carta que pedia uma atitude por parte da Comissão Europeia, depois do Parlamento Ungar, ter aprovado,
[02:40:00 - 02:53:20]:  a legilação considerada homofóbica. Três países não assinaram uma carta, o Governo de Portugueses decidificar de fora.
[02:53:20 - 03:05:00]:  Eu não me assinava o documento, porque nós estamos acreditando por conta de a presidência,
[03:05:00 - 03:18:20]:  então nós temos essa utilidade de neutralidade, mas se isso fosse só para mim, eu vou assinar isso, isso é claro.
[03:18:20 - 03:38:20]:  Se a pergunta é, o que é que o Estado português, o que é que o Governo português pensa, de legilação aprovada no Parlamento Ungar, a resposta é, pensa que ela indica.
[03:38:20 - 03:51:40]:  O Ministro dos Mugas Estrangeiros justificar a decisão comunicada pela Secretária de Estado dos Assuntos Europeus,
[03:51:40 - 04:03:20]:  é que é que dá mais valor Ricardo da Rôsupreira, a palavra do Ministro à Ascindatura Oficial, que não houve...
[04:03:20 - 04:06:40]:  Por parte do Estado português.
[04:06:40 - 04:16:40]:  As duas coisas, o Dome de Valorá Palavra do Ministro diz, é indigna, mas não suficientemente indigna,
[04:16:40 - 04:28:20]:  para nós pôrmos a nossa ascindatura, a indicar que ela é indigna. A questão é, por tanto, é uma questão de neutralidade,
[04:28:20 - 04:38:20]:  como já disse, é muito difícil, num caso, como este, considerar que é possível ser neutro,
[04:38:20 - 04:50:00]:  ou que a legar esta hipotética neutralidade compre o objetivo, ou seja, de ficar...
[04:50:00 - 05:06:40]:  Estamos apenas a assistir, imagino que a comunidade ao homosexual Ungara não identifica esta neutralidade como neutralidade.
[05:06:40 - 05:26:40]:  Mas agora a legar, por um íbio, a promoção da homossexualidade entre menores de 18, e eu acho isso importante,
[05:26:40 - 05:35:00]:  porque acho que já, todos já fomos ossos para a mercado e não queríamos terminar de produto,
[05:35:00 - 05:43:20]:  mas como estava a informação acabamos por trazer. E, portanto, realmente a promoção da homossexualidade...
[05:43:20 - 05:45:00]:  É, 3 e vez 2.
[05:45:00 - 05:56:40]:  Já também, pode haver isso, pode haver, acho que não sei que não seja... 3 é bolhada.
[05:56:40 - 06:01:40]:  Passeiro e pode não abrir isso, calhar é... aí, as problemas de promoções de...
[06:01:40 - 06:10:00]:  Leve duas estudomias, pago... pode haver, não sei se verá.
[06:10:00 - 06:21:40]:  Mas eu só quero ele leitar que tu estás a fazer a defesa de dar uma sexo led a homossexualidade dos anos 90,
[06:21:40 - 06:28:20]:  porque o problema da homossexualidade de século 21 é que é mais problemático.
[06:28:20 - 06:35:00]:  Eu acho que eu sou um pessoa antiga, né? Foi, eu atenção, mas eu sou uma pessoa antiga.
[06:35:00 - 06:46:40]:  E eu sou uma pessoa antiga, considero que ninguém é convencido a ser uma determinada orientação sexual,
