[00:00:00 - 00:06:44]:  Esta semana, Ricardo Aorzpreira declara-se terfro.
[00:06:44 - 00:18:24]:  João Miguel Taváres considera-se piloto e pedramxia sem-se seja lá em Socofor,
[00:18:24 - 00:21:44]:  Plata Formado.
[00:21:44 - 00:30:48]:  Está reunido o programa que o Juno-Mas estamos legalmente impedidos de dizer.
[00:30:48 - 00:41:32]:  Desta vez, uma vez mais fora do estúdio, no exéguer, o Instituto Superior de Economies
[00:41:32 - 00:45:12]:  estão de Universidade Lisboa.
[00:46:52 - 00:56:52]:  [Música]
[00:56:52 - 00:58:32]:  Bem.
[00:58:32 - 01:11:52]:  [Música]
[01:11:52 - 01:18:32]:  O programa cujo nombres estamos legalmente impedidos de dizer,
[01:18:32 - 01:26:52]:  tem o Patrocínio de Lexos, uma marca automóvel extraordinária,
[01:26:52 - 01:33:32]:  que não impede a utilização do seu nome neste podcast.
[01:33:32 - 01:40:12]:  Descobra mais ai, a mais em Stories.lexos.pt.
[01:40:12 - 01:43:32]:  [Música]
[01:43:32 - 01:51:52]:  Raviva, vocês vão bem-vindos. Estamos esta semana no Iseg, Lisboa, no ex-ramento
[01:51:52 - 01:58:32]:  da Conferência Nacional da Economia da Saúde.
[01:58:32 - 02:08:32]:  Já décima conferência promovida pela Sução Portuguesa da Economia da Saúde.
[02:08:32 - 02:15:12]:  E é uma conferência que já terminou,
[02:15:12 - 02:25:12]:  mas é, portanto, o momento de descontração, digamos assim, dos conferencistas,
[02:25:12 - 02:35:12]:  será que temos Ricardo Raúl-Expreira um menu de temas que possa corresponder
[02:35:12 - 02:40:12]:  a esse momento de relax?
[02:40:12 - 02:41:52]:  Acho que sim.
[02:41:52 - 02:43:32]:  Descontração?
[02:43:32 - 02:50:12]:  As reações que eu costumo ter sobre o nosso programa é que as pessoas entram
[02:50:12 - 02:56:52]:  num estado de descontração e relaxamento tal que terem a dormir.
[02:56:52 - 03:00:12]:  É um problema zente, assim, pois.
[03:00:12 - 03:05:12]:  E por isso, a hora normal que isso aconteça?
[03:05:12 - 03:13:32]:  Eu devo dizer que vinha às outras 16 conferências sobre a economia da Saúde.
[03:13:32 - 03:16:52]:  É, é importante, posso fazer quaisquer perguntas?
[03:16:52 - 03:26:52]:  Quer dizer, cerca desse assunto, um dos aspectos que está aqui na esta conferência
