[00:00:00 - 00:10:24]:  Esta semana, Ricardo Arouspreira sente-se comichoso por causa das comissões no Benfica.
[00:10:24 - 00:25:36]:  João Miguel Tavares declara-se eleitor e vacinado e pedre-me-sia com Fessa, soma a merda.
[00:25:36 - 00:36:00]:  Está reunido o programa que hoje o nome estamos legalmente impedidos de dizer.
[00:36:00 - 01:02:40]:  [Música]
[01:02:40 - 01:09:04]:  O programa cujo o nome estamos legalmente impedidos de dizer,
[01:09:04 - 01:17:28]:  tem o Patrocínio de Lexus, uma marca automóvel extraordinária,
[01:17:28 - 01:24:00]:  que não impede a utilização do seu nome neste podcast.
[01:24:00 - 01:34:00]:  Descobra mais ai, a mais em Starbeys.lexus.pt.
[01:34:00 - 01:42:40]:  Para a vida vocês são bem vindos no final da primeira semana de 2022,
[01:42:40 - 01:51:20]:  com os olhos postos nas eleições de D.30, mas também nos números recorrem fatados,
[01:51:20 - 02:00:40]:  um cenário que pode vir a ter repercussões eleitorais, impedindo muita gente ter votar,
[02:00:40 - 02:12:24]:  mas adiantaremos da pandemia e do tema que sorprendentemente ganhou um lugar de destaque
[02:12:24 - 02:21:36]:  nesta primeira semana de debates eleitorais, a questão da prisão perpetua,
[02:21:36 - 02:29:44]:  abolida em Portugal desde 1884, e agora subitamente notícia,
[02:29:44 - 02:40:00]:  antes por ai, nesta reunião em que teremos como prato principal, os 12 debates já realizados,
[02:40:00 - 02:50:00]:  vão ser 30 ao todo, na falta de 18, antes que começamos por alguns dos protagonistas
[02:50:00 - 02:56:56]:  com ambições eleitorais mais modestas e há direita.
[02:56:56 - 03:09:12]:  E por isso Ricardo Rauspreira quer ser mistro dos primos, como é que está harmonia familiar?
[03:09:12 - 03:10:52]:  Ricardo Rauspreira.
[03:10:52 - 03:18:24]:  Então, perceu-vos, os primos em causação o CDS, iniciativa liberal,
[03:18:24 - 03:26:56]:  e só, digamos, são aparentados ideologicamente, daí os primos não só por causa disso,
[03:26:56 - 03:35:36]:  mas também por causa daquele vídeo do Chican, vídeo muito, aquele vídeo Natalis,
[03:35:36 - 03:43:20]:  e o em que eles explicava, enfim, quem é que se assentar a mesa de Natal.
[03:43:20 - 03:46:40]:  -Ele acaba com a missãozinho. -É, uma missãozinho, hein?
[03:46:40 - 03:52:00]:  -Tem sido um dos greats, os hitos dos debates. -Tem sido falar muito.
[03:52:00 - 03:56:40]:  -Tem sido falar muito e bem, porque realmente a gente olha pro país,
[03:56:40 - 04:04:24]:  né, está a fase de crise grave, pandêmica, económica, etc.
[04:04:24 - 04:08:08]:  E qual é um dos grandes temas de que ele tem a se falar?
[04:08:08 - 04:13:44]:  Um vídeo de Natal, que o Chican fez.
[04:13:44 - 04:21:20]:  Se senhora, mas ali, são primos, eu tenho a impressão, eu, como sabe,
