[00:00:00 - 00:08:22]:  Esta semana pedram-me-se e atribuí-se à própria função de máquina do martelo.
[00:08:22 - 00:19:06]:  João Miguel Taváres declara-se "isquete" e, recadra-se para a era,
[00:19:06 - 00:26:56]:  Pascal Mente à distância, sente-se fantástico.
[00:26:56 - 00:36:50]:  Está reunido o programa que os os nomes estamos legalmente impedidos de dizer.
[00:36:50 - 01:06:50]:  [Música]
[01:06:50 - 01:15:40]:  Para a Viva vocês, abenhevindos, no final de uma semana em que os franceses repetiram o cenário da cinco anos,
[01:15:40 - 01:25:52]:  Macon e Le Pen vão voltarem a encontrar-se na segunda volta das presidenciais, daqui a pouco,
[01:25:52 - 01:35:08]:  vamos falar disso, e das incertezas que paeram não só sobre a política francesa,
[01:35:08 - 01:44:36]:  mas sobre a política europeia, isto na semana em que o Governo de Potebesa presenta o orçamento
[01:44:36 - 01:49:16]:  tardio deste ano de guerra.
[01:49:16 - 02:00:36]:  Mais adiante falaremos da guerra e do orçamento, mas antes também com implicações orçamentais,
[02:00:36 - 02:12:04]:  o Ricardo Raúx Pereira quer ser ministro do além, mas não é por estar à distância, Ricardo.
[02:12:04 - 02:16:28]:  Não é um feliz acaso.
[02:16:28 - 02:25:28]:  Caram-se, é um feliz acaso para a distância, é ministro do além porque ainda sobre o tempo
[02:25:28 - 02:29:08]:  é que os pessoas estavam de dar o além do FM.
[02:29:08 - 02:37:28]:  E agora essas pessoas não as merimas, não estão assim tão interessadas em dar o além do FM.
[02:37:28 - 02:39:28]:  Quero que se passem a sua área?
[02:39:28 - 02:48:08]:  O Bloco percebi que era retomar uma ideia do novo ministro da economia que provocou
[02:48:08 - 02:58:48]:  a ranger de dentes na semana passada a ideia de um imposto para lucros considerados recessivos,
[02:58:48 - 03:07:52]:  lucros que caem do céu às terambulhões, digamos assim, o ministro Costa e Silva já
[03:07:52 - 03:15:12]:  veem esclaro ser que a ideia não é para já, mas o Ricardo quer voltar a ela, porque
[03:15:12 - 03:27:40]:  entretanto deteto uma curiosa sintonia entre o ministro português e o FMI.
[03:27:40 - 03:31:00]:  Como é que entende essa identidade?
[03:31:00 - 03:32:40]:  Sim, é.
[03:32:40 - 03:37:40]:  É uma identidade curiosa.
[03:37:40 - 03:47:52]:  A ideia de facto do ministro provocou a ranger de dentes, que é uma coisa que as ideias
[03:47:52 - 03:54:00]:  deste do ministro têm a interesse a provocar sobre tudo aquele ranger de dentes que as
[03:54:00 - 04:03:56]:  pessoas fazem quando estão a dormir, porque é de facto e achar a petexata.
[04:03:56 - 04:08:32]:  Agora, uma é essa ideia curiosamente.
[04:08:32 - 04:24:08]:  O ministro foi além do governo e há pessoas que estavam gostar de ir além do FMI e não
[04:24:08 - 04:31:36]:  querem ir além do FMI ou nem sequer ir ao encontro do FMI.
[04:31:36 - 04:40:00]:  O que se passa é que essa ideia dos lucros recessivos, que estou vagando com o seu
[04:40:00 - 04:50:48]:  atratar, como se fosse a criminalização do lucro, porque é um lucro possível, mas porque
[04:50:48 - 05:00:48]:  é uma coisa simples, são pessoas que estão neste desambissão em presas, estão a beneficiar
[05:00:48 - 05:10:00]:  do facto das matérias primas energéticas, que estão aumentadas, estão por exemplo o gás
[05:10:00 - 05:19:12]:  natural e há empresas energéticas que não gastam dinheiro com o gás natural que beneficiam
[05:19:12 - 05:23:16]:  do aumento dos preços da energia.
[05:23:16 - 05:31:44]:  E, portanto, realmente é um bocadinho, digamos, não quer dizer "imoral", mas é qualquer
[05:31:44 - 05:44:08]:  coisa, esse lucro é beneficiando da situação atual da guerra.
[05:44:08 - 05:53:20]:  E, portanto, até o FMI, até o FMI que nós, como sabemos, não há truta, que não
[05:53:20 - 05:57:48]:  lucro FMI, até o FMI.
[05:57:48 - 06:01:20]:  -Citando-se a Mari Branco?
[06:01:20 - 06:03:00]:  -Exatamente.
