[00:00:00 - 00:11:36]:  Esta semana João Miguel Tavares declara-se energizado. Pedramxia, sente-se como prometido na
[00:11:36 - 00:23:12]:  semana passada estadual e Ricardo Boroas Pereira confessa-se, passa a publicidade um cliente
[00:23:12 - 00:33:36]:  sem casec. Está reunido o programa que o joenom estamos legalmente impedidos de dizer.
[00:33:36 - 01:05:30]:  [Música]
[01:05:30 - 01:15:28]:  Para a Viva, vocês vão bem-vindos no final de uma semana em que suéicos e filandeses formalizaram o pedido de
[01:15:28 - 01:25:44]:  a visão anato, com pute insurpreendentemente a sobear pro lado e a dizer que o alagamento aliança
[01:25:44 - 01:35:44]:  militar do acidente poderá não ser um problema. A vemos de falar disso daqui a pouco, mas antes,
[01:35:44 - 01:45:48]:  um assunto chato e importante. O Ricardo Boroas Pereira quer ser ministro de
[01:45:48 - 02:10:48]:  os Metadados. Agora que vai fazer com toda a gente que se abou assunto. Vou-vo, para já, sim, as pessoas que não mudaram de canal, que são umas três e vão tentar, peço que façam aquele truque dos palitos para ficar em
[02:10:48 - 02:33:48]:  com os olhos abertos durante a explicação. Os Metadados. Os Metadados. Os Metadados. Os Metadados. Espara-se ter se trollado uma embrolada de tamanho. Exato, não é? Não é? Envolhada é divertida. Os Metadados são chados.
[02:33:48 - 02:48:12]:  Nós temos que ser os Metadados. Os Metadados, o melhor ministro dos ditos. Exatamente. Os Laveiros. Os Metadados. Eu vou dizer o que é que são os Metadados.
[02:48:12 - 03:03:48]:  Não sei os Metadados. O que me parece que são, pelo que eu li, agora fazia uma chamada telefônica pro Carlos. Os dados são as coisas que eu lhe digo.
[03:03:48 - 03:22:08]:  Então Carlos, todos bem, estamos de magrinho. São os Dados. Os Metadados são os Metadados. Onde é que os torno, o momento tem que faça a chamada,
[03:22:08 - 03:35:28]:  quando é minuto dura a chamada, para quem é que o afí, os Metadados são esses Metadados, que às vezes ajudam numa investigação criminal.
[03:35:28 - 03:48:48]:  São esses dos dados, que às vezes provam pela geolocalização, onde é que estava terminada a pessoa, no dia em que foi cometido.
[03:48:48 - 03:58:48]:  E a única coisa que está enrada nisso é o às vezes, porque cada vez mais não é às vezes. É quase sempre. É quase sempre.
[03:58:48 - 04:15:28]:  Só que é para, isso tem um problema, não é? Que isso é envolvendo, na próxima maneira, como as coisas estão feitas, que é as empresas de telecomunicações, guardam este Metadados.
[04:15:28 - 04:33:48]:  Durante um ano, tem os Metadados durante um ano, e eles podem ser acedidos, desejávelmente, por...
[04:33:48 - 04:40:28]:  Mandados, não sei. Mandados, disse que eles desejaram menta da sugerir que todos...
[04:40:28 - 05:02:08]:  Também podem ser acedidos. Que há outras formas, sim. Que há outras maneiras. Eu percebo todos os argumentos, e li aquele colunista do público, que querê-ca-dóculos, que tenho que descansar mesmo sobre...
[05:02:08 - 05:08:48]:  Não sei que, está ajuda muito. A diversidade, a diversidade, a impunidade.
[05:08:48 - 05:27:08]:  O problema é que, quanto turismo, privacidade, diversos... O problema é que eu diria segurança, versos liberdade, porque privacidade é essencial para a liberdade.
