[00:00:00 - 00:11:40]:  Esta semana a Pedro Machia declara-se moroso João Miguel Tavares confessa-se mal em formado
[00:11:40 - 00:21:40]:  e Ricardo Oro Espreira esta Semarada Estância senta-se anão.
[00:21:40 - 00:30:00]:  Está reunido o programa que o Juno-Mos estamos legalmente impedidos de dizer.
[00:30:00 - 01:01:40]:  [Música]
[01:01:40 - 01:08:20]:  Para a Vive vocês vão bem-vindos no final de uma semana em que o Primeiro Ministro respondeu no Parlamento
[01:08:20 - 01:18:20]:  pela primeira vez desde o meio e absoluta comunista da saúde na Berlinda.
[01:18:20 - 01:28:20]:  Falaremos disso daqui a pouco e também entre outros temas candidentes das eleições francesas,
[01:28:20 - 01:41:40]:  mas antes o Ricardo Oro Espreira vai tomar pós-se mesmo à distância como o Ministro do 31 de julho.
[01:41:40 - 01:48:20]:  Para depois entrar a gosto do Ricardo.
[01:48:20 - 01:58:20]:  É uma surteu referência à obra poética de Joaquim Barreiro.
[01:58:20 - 02:05:00]:  Tevalírica popularamente aos escolher o tema?
[02:05:00 - 02:08:20]:  Tive-se em senhor.
[02:08:20 - 02:11:40]:  Eu era pastor.
[02:11:40 - 02:23:20]:  Eu estava com a parecia, quando eu toca a poesia, somos os...
[02:23:20 - 02:26:40]:  Estamos sempre...
[02:26:40 - 02:31:40]:  Temos a poesia muito à flor da pele, portanto, tanto como outro.
[02:31:40 - 02:38:20]:  Alguma vez conhecido publicamente que em Barreiro sou uma estreia?
[02:38:20 - 02:48:20]:  Não, eu acho que já tinha citado a ter neste mesmo programa em privado de sítio muitas vezes.
[02:48:20 - 02:56:40]:  Na outra dia citei o que o julgo ser um dos seus temas mais recentes.
[02:56:40 - 03:00:00]:  A história...
[03:00:00 - 03:10:00]:  Enfim, triste de um paroco que quer mudar de fregxia para...
[03:10:00 - 03:23:20]:  O que a Ana Costa está interessado e, portanto, quer ir para o paroco dela.
[03:23:20 - 03:28:20]:  Ela está quer ser...
[03:28:20 - 03:31:40]:  Por paroco na fregxia.
[03:31:40 - 03:38:20]:  É um dos favoritos lá de casa.
[03:38:20 - 03:50:00]:  É, então, nesse caso 31 de julho depois entrar a gosto, um mês cheio de prigos,
[03:50:00 - 03:55:00]:  a deverte, a diretor a geral da saúde.
[03:55:00 - 04:01:40]:  Eu que se me dizia que a pior coisa que nos pode acontecer é do isso seria a gosto.
[04:01:40 - 04:06:40]:  E porque também os nossos médicos não estão lá, também estão de ferias no outro cítio qualquer.
[04:06:40 - 04:13:20]:  Não estou a fazer nenhuma piada de mal gosto, quer deixar isto aqui bem claro.
[04:13:20 - 04:25:00]:  Tu constatar um facto que a gosto não é um bom mês para se ter accidentes e doenças.
[04:25:00 - 04:33:20]:  Se canem do isso seria agora ou então deixem isso lá mais para o outro ano
[04:33:20 - 04:38:20]:  e é preciso muito cuidar também com o menu.
[04:38:20 - 04:41:40]:  Com que eu se come?
[04:41:40 - 04:50:00]:  No verão há muito estoques em feções alimentais coletivas.
[04:50:00 - 04:56:40]:  Tradicionalmente em Portugal eu voo dizer uma coisa que é absolutamente verdadeira
[04:56:40 - 05:03:20]:  quando nós investigamos o grande que se possava, é uma calear o abrasse.
[05:03:20 - 05:10:00]:  Porque aqueles grandes convívios, picnicos, excursões,
[05:10:00 - 05:18:20]:  uma das coisas que é mais usada é uma calear o abrasse que está prefeito desde manhã
[05:18:20 - 05:23:20]:  e que depois leva uma ma...quece.
[05:23:20 - 05:30:00]:  Não chega a que será a temperatura suficiente e que leva o ovos.
