[00:00:00 - 00:09:20]:  Esta semana, Ricardo Aoros Pereira sentiu-se dispensado. João Miguel Taváres,
[00:09:20 - 00:20:00]:  de Clara, pacista e Pedro Boxia confessa-se farto e furioso.
[00:20:00 - 00:28:20]:  Está reunido o programa que o João Nomes está me legalmente impedidos de dizer.
[00:30:00 - 01:00:00]:  [Música]
[01:00:00 - 01:11:40]:  Ora, viva. Sejam bem-vindos. No final de uma semana, em que Putin decretou a lei marcial nas regiões ocranianas
[01:11:40 - 01:21:40]:  e legalmente ocupadas, e em que demonstrou a intenção de tentar quebrar a resistência ocraniana
[01:21:40 - 01:31:40]:  pela destruição da infraestrutura elétrica do país. Enquanto isso, moedas isto, passas daquilo
[01:31:40 - 01:41:40]:  costam em Monte Negra que lotro, a vidinha por cá continua. E a dela que vamos falar daqui a pouco,
[01:41:40 - 01:46:40]:  mas antes, a sopa de tomate.
[01:46:40 - 02:06:40]:  [Música]
[02:06:40 - 02:51:40]:  [Música]
[02:51:40 - 03:08:20]:  [Música]
[03:08:20 - 03:41:40]:  [Música]
[03:41:40 - 04:28:20]:  [Música]
[04:28:20 - 04:45:00]:  [Música]
[04:45:00 - 05:01:40]:  [Música]
[05:01:40 - 05:35:00]:  [Música]
[05:35:00 - 06:08:20]:  [Música]
[06:08:20 - 06:41:40]:  [Música]
[06:41:40 - 07:28:20]:  [Música]
[07:28:20 - 07:45:00]:  [Música]
[07:45:00 - 08:18:20]:  [Música]
[08:18:20 - 08:51:40]:  [Música]
[08:51:40 - 09:25:00]:  [Música]
[09:25:00 - 09:58:20]:  [Música]
[09:58:20 - 10:31:40]:  [Música]
[10:31:40 - 11:05:00]:  [Música]
[11:05:00 - 11:38:20]:  [Música]
[11:38:20 - 12:11:40]:  [Música]
[12:11:40 - 12:45:00]:  [Música]
[12:45:00 - 13:18:20]:  [Música]
[13:18:20 - 13:51:40]:  [Música]
[13:51:40 - 14:25:00]:  [Música]
[14:25:00 - 14:58:20]:  [Música]
[14:58:20 - 15:31:40]:  [Música]
[15:31:40 - 16:05:00]:  [Música]
[16:05:00 - 16:38:20]:  [Música]
[16:38:20 - 17:11:40]:  [Música]
[17:11:40 - 17:45:00]:  [Música]
[17:45:00 - 18:18:20]:  [Música]
[18:18:20 - 18:51:40]:  [Música]
[18:51:40 - 19:08:20]:  [Música]
[19:08:20 - 19:25:00]:  [Música]
[19:25:00 - 19:58:20]:  [Música]
[19:58:20 - 20:31:40]:  [Música]
[20:31:40 - 21:05:00]:  [Música]
[21:05:00 - 21:38:20]:  [Música]
[21:38:20 - 22:11:40]:  [Música]
[22:11:40 - 22:51:40]:  [Música]
[22:51:40 - 23:25:00]:  [Música]
[23:25:00 - 23:58:20]:  [Música]
[23:58:20 - 24:31:40]:  [Música]
[24:31:40 - 25:05:00]:  [Música]
[25:05:00 - 25:38:20]:  [Música]
[25:38:20 - 26:11:40]:  [Música]
[26:11:40 - 26:45:00]:  [Música]
[26:45:00 - 27:18:20]:  [Música]
[27:18:20 - 27:51:40]:  [Música]
[27:51:40 - 28:25:00]:  [Música]
[28:25:00 - 28:58:20]:  [Música]
[28:58:20 - 29:31:40]:  [Música]
[29:31:40 - 30:05:00]:  [Música]
[30:05:00 - 30:51:40]:  [Música]
[30:51:40 - 31:25:00]:  [Música]
[31:25:00 - 31:58:20]:  [Música]
[31:58:20 - 32:31:40]:  [Música]
[32:31:40 - 33:05:00]:  [Música]
[33:05:00 - 33:38:20]:  [Música]
[33:38:20 - 34:11:40]:  [Música]
[34:11:40 - 34:45:00]:  [Música]
[34:45:00 - 35:18:20]:  [Música]
[35:18:20 - 35:51:40]:  [Música]
[35:51:40 - 36:25:00]:  [Música]
[36:25:00 - 36:58:20]:  [Música]
[36:58:20 - 37:31:40]:  [Música]
[37:31:40 - 38:05:00]:  [Música]
[38:05:00 - 38:38:20]:  [Música]
[38:38:20 - 39:11:40]:  [Música]
[39:11:40 - 39:45:00]:  [Música]
[39:45:00 - 40:18:20]:  [Música]
[40:18:20 - 40:51:40]:  [Música]
[40:51:40 - 41:25:00]:  [Música]
[41:25:00 - 41:58:20]:  [Música]
[41:58:20 - 42:31:40]:  [Música]
[42:31:40 - 43:05:00]:  [Música]
[43:05:00 - 43:38:20]:  [Música]
[43:38:20 - 44:11:40]:  [Música]
[44:11:40 - 44:45:00]:  [Música]
[44:45:00 - 45:18:20]:  [Música]
[45:18:20 - 45:51:40]:  [Música]
[45:51:40 - 46:25:00]:  [Música]
[46:25:00 - 47:11:40]:  [Música]
[47:11:40 - 47:45:00]:  [Música]
[47:45:00 - 48:18:20]:  [Música]
[48:18:20 - 48:51:40]:  [Música]
[48:51:40 - 49:25:00]:  [Música]
[49:25:00 - 49:58:20]:  [Música]
[49:58:20 - 50:31:40]:  [Música]
[50:31:40 - 51:05:00]:  [Música]
[51:05:00 - 51:38:20]:  [Música]
[51:38:20 - 52:11:40]:  [Música]
[52:11:40 - 52:28:20]:  [Música]
[52:28:20 - 53:01:40]:  [Música]
[53:01:40 - 53:35:00]:  [Música]
[53:35:00 - 54:08:20]:  [Música]
[54:08:20 - 54:41:40]:  [Música]
[54:41:40 - 55:15:00]:  [Música]
[55:15:00 - 55:48:20]:  [Música]
[55:48:20 - 56:21:40]:  [Música]
[56:21:40 - 56:55:00]:  [Música]
[56:55:00 - 57:28:20]:  [Música]
[57:28:20 - 58:01:40]:  [Música]
[58:01:40 - 58:35:00]:  [Música]
[58:35:00 - 59:08:20]:  [Música]
[59:08:20 - 59:41:40]:  [Música]
[59:41:40 - 60:15:00]:  [Música]
[60:15:00 - 60:48:20]:  [Música]
[60:48:20 - 61:21:40]:  [Música]
[61:21:40 - 62:08:20]:  [Música]
[62:08:20 - 62:41:40]:  [Música]
[62:41:40 - 63:15:00]:  [Música]
[63:15:00 - 63:48:20]:  [Música]
[63:48:20 - 64:21:40]:  [Música]
[64:21:40 - 64:55:00]:  [Música]
[64:55:00 - 65:28:20]:  [Música]
[65:28:20 - 66:01:40]:  [Música]
[66:01:40 - 66:35:00]:  [Música]
[66:35:00 - 67:08:20]:  [Música]
[67:08:20 - 67:41:40]:  [Música]
[67:41:40 - 68:15:00]:  [Música]
[68:15:00 - 68:48:20]:  [Música]
[68:48:20 - 69:21:40]:  [Música]
[69:21:40 - 69:55:00]:  [Música]
[69:55:00 - 70:28:20]:  [Música]
[70:28:20 - 71:01:40]:  [Música]
[71:01:40 - 71:35:00]:  [Música]
[71:35:00 - 72:08:20]:  [Música]
[72:08:20 - 72:41:40]:  [Música]
[72:41:40 - 73:15:00]:  [Música]
[73:15:00 - 73:48:20]:  [Música]
[73:48:20 - 74:21:40]:  [Música]
[74:21:40 - 74:55:00]:  [Música]
[74:55:00 - 75:28:20]:  [Música]
[75:28:20 - 76:01:40]:  [Música]
[76:01:40 - 76:35:00]:  [Música]
[76:35:00 - 77:08:20]:  [Música]
[77:08:20 - 77:41:40]:  [Música]
[77:41:40 - 78:15:00]:  [Música]
[78:15:00 - 78:48:20]:  [Música]
[78:48:20 - 79:21:40]:  [Música]
[79:21:40 - 79:55:00]:  [Música]
[79:55:00 - 80:28:20]:  [Música]
[80:28:20 - 81:01:40]:  [Música]
[81:01:40 - 81:35:00]:  [Música]
[81:35:00 - 82:08:20]:  [Música]
[82:08:20 - 82:25:00]:  [Música]
[82:25:00 - 82:31:00]:  [Música]
