[00:00:00 - 00:07:48]:  Esta semana João Miguel Tavares declara-se politicamente confiante.
[00:07:48 - 00:20:28]:  Ricardo Maraú, o Espreira, desta vez à distância, quer-te-le chamar em Pedi e peda-me-sia,
[00:20:28 - 00:23:28]:  sem-se visto.
[00:23:28 - 00:33:04]:  Está reunido o programa que os nomes estamos legalmente impedidos de dizer.
[00:33:04 - 01:04:44]:  [Música]
[01:04:44 - 01:14:08]:  Araviva, sejam bem-vindos no final de uma semana marcada pela eleição de Lula da Silva,
[01:14:08 - 01:22:24]:  que vai voltar a ser presidente do Brasil, a pesar da manifesta de dificuldade do adversário,
[01:22:24 - 01:29:08]:  José Iro Bolsonaro e seus apoiantes, em engolira da rota.
[01:29:08 - 01:38:56]:  A vermos falar disso aqui há pouco disso de visto de gol de nomas das digitais e de membros
[01:38:56 - 01:43:16]:  do governo que não dão satisfações a ninguém.
[01:43:16 - 01:52:00]:  Mas antes o Ricardo Raú's Pereira há distância, como uma espécie de "noma da digital", quer-se
[01:52:00 - 02:02:56]:  ser ministro do BCE e que ingredientes, chefar a ojo, têm sua receita macroeconômica
[02:02:56 - 02:12:44]:  para cozinhar em flação e tornar combustível.
[02:12:44 - 02:25:28]:  Sim, Carlos, nós muito traseremos este tema macroeconômicos, um tema com fachina, macroeconmia
[02:25:28 - 02:30:44]:  e sobre o qual leitante.
[02:30:44 - 02:41:36]:  Na verdade, o que passa é o seguinte, eu sei de macroeconmia como não há partes pessoas,
[02:41:36 - 02:45:28]:  e quando dela não vem a carteira.
[02:45:28 - 02:54:40]:  É a mínima maneira de perceber para este, então, opção macroeconômica agrada, não não.
[02:54:40 - 03:02:40]:  E o que está a passar neste momento é o seguinte, o ex-autoridade dele para isso.
[03:02:40 - 03:12:44]:  Por exemplo, o senhor daqueles que têm um agargo, acham que as taxas de juridave aumentaram.
[03:12:44 - 03:26:08]:  O governo acha que não, entretanto, Mario Centeno, que foi partido da senhora largada.
[03:26:08 - 03:36:08]:  Eu também acho que as taxas de juridave aumentaram a questão.
