[00:00:00 - 00:10:18]:  Esta semana, Ricardo Raús Pereira declara-se com salvista João Miguel Taváres, com
[00:10:18 - 00:21:32]:  Fessas Aleste e Pedro Mexia, cento sem meios termos.
[00:21:32 - 00:28:48]:  Está reunido o programa que o Juno Homens está legalmente impedidos de dizer.
[00:28:48 - 01:00:28]:  [Música]
[01:00:28 - 01:09:48]:  Para a Viva, sejam bem-vindos no final de uma semana em que o Governo perdeu um secretário de Estado
[01:09:48 - 01:20:38]:  e em que ficamos a saber quem é Paulo Raimundo, o nome que daqui antes vamos passar a ouvir com frequência.
[01:20:38 - 01:33:58]:  Uma semana também em que Putin sofreu mais uma rota significativa na guerra que lançou contra a Ucrania
[01:33:58 - 01:44:48]:  e em que Joe Biden resistiu o melhor do que se previa a ameaça eleitoral das eleições intercalar no Estados Unidos.
[01:44:48 - 01:56:28]:  Este ser o seu tema se estarão em debate daqui a pouco mas antes o Ricardo Raús Pereira quer ser ministro da criatividade
[01:56:28 - 02:08:08]:  e quem é o criativo que está em causa. Pelo visto, pelo visto, pelo dia que não se diz pelo visto,
[02:08:08 - 02:21:28]:  pelo visto, é Marcelo do outro, é no Chiberdo Vida, é capaz de já não lembrar.
[02:21:28 - 02:23:08]:  Pelo visto.
[02:23:08 - 02:26:28]:  Pelo visto, é Marcelo do outro.
[02:26:28 - 02:39:48]:  Recordemos os facto, tudo começou com inusitado por chão d'orelias em público do presidente.
[02:39:48 - 02:46:28]:  A ministra da Coisão Territorial.
[02:46:28 - 03:01:28]:  Verdaremmente super infeliz para si será o dia em que o descubra que a taxa de inscrição dos fundos europeus não é aquela que deve ser.
[03:01:28 - 03:04:48]:  Nesse caso eu não lhe perdou.
[03:04:48 - 03:08:08]:  Não lhe perdou.
[03:08:08 - 03:16:28]:  E há milhares de distribuñas daquilo que eu estou a dizer nós.
[03:16:28 - 03:31:28]:  Milhares de distribuñas, ao mesmo milhões de distribuñas perceberam o que houve de inusitado na intervenção do presidente da República,
[03:31:28 - 03:38:08]:  mas amemestravizada, devaluizou e o primeiro ministro também.
[03:38:08 - 03:54:48]:  Cada um tem o seu estilo, cada um tem a sua forma de agir, cada um tem a sua forma de interpretar os poderes constitucionais.
[03:54:48 - 04:16:28]:  Eu acho que todos os poderes têm a perciada a forma como seu presidente republicá.
[04:16:28 - 04:26:28]:  Casta, Antonio Costa, a saudar a criatividade de Marcelo do Sousa,
[04:26:28 - 04:31:28]:  tomou a palavra criatividade à letra, Ricardo Raús Pereira.
[04:31:28 - 04:44:48]:  Eu acho que pode ter passado pela cabeça do mais alto magistrado da menação.
[04:44:48 - 04:49:48]:  Outras expressões não são exatamente sinólimas.
[04:49:48 - 04:51:28]:  No mais alto magistrado ou do...
[04:51:28 - 04:53:08]:  Sim, do primeiro ministro.
[04:53:08 - 04:56:28]:  Estava aqui arranjado a um conflito institucional.
[04:56:28 - 05:06:28]:  Exatamente. Não, o posa é com que interessa aqui, a maneira como o primeiro ministro qualifica aquelas declarações do presidente.
[05:06:28 - 05:14:48]:  Eu acho que o próprio presidente, por exemplo, ele disse que o ministro é verdadeiramente influir para si.
[05:14:48 - 05:23:08]:  Eu que descubro a senhora ministra e depois eu acho que ele pago o sente e este se calhar ficou um bocadinho pesado.
[05:23:08 - 05:34:48]:  E por isso eu vou dizer o resto de rir e ele está aqui me às destuunhas, mas continuou aquele tom pesadinho,
[05:34:48 - 05:36:28]:  não é de...
[05:36:28 - 05:39:48]:  Mas quando recriminação é do... eu que tapagne.
[05:39:48 - 05:41:28]:  Mas o...
[05:41:28 - 05:48:08]:  O Antonio Costa, a uma criatividade de presidente republicá será que eu...
[05:48:08 - 05:54:48]:  Está exatamente a dizer criatividade...
[05:54:48 - 05:58:08]:  Não, eu acho que é...
[05:58:08 - 06:04:48]:  É maneira políva...
[06:04:48 - 06:08:08]:  Olha a minha estatista.
[06:08:08 - 06:23:08]:  Olha a artista. É assim, ele optou pela criatividade, que é uma palavra do mesmo, digamos, do mesmo âmbito, do mesmo campo conceptual de artista.
[06:23:08 - 06:34:48]:  Em vez de dizer, esta artista disse, está com criatividade, se senhora, que é também uma coisa que as pessoas dizem quando, por exemplo, a gente põe uma música.
[06:34:48 - 06:39:48]:  E tu não gostas muito, é barulhante e tal.
[06:39:48 - 06:41:28]:  Então, o que é que achaste?
[06:41:28 - 06:49:48]:  Está com criatividade, se senhora, está agracado que a artista seja uma palavra ofensiva.
[06:49:48 - 06:56:28]:  É, sabe qual é outra que é ofensiva? É indivíduo. É este indivíduo.
[06:56:28 - 06:59:48]:  Sim, pois é uma coisa neutra, não é?
[06:59:48 - 07:01:28]:  Não é outra, não é?
[07:01:28 - 07:06:28]:  Mas artista ainda é melhor porque é supposed ser uma coisa positiva.
[07:06:28 - 07:13:08]:  E a criatividade costa... na resposta para seu olhar altura de Marcelo?
[07:13:08 - 07:24:48]:  A atenção não é a primeira vez que o Costa tenha criatividade de chamar coisas porcidas com criatividade,
[07:24:48 - 07:39:48]:  mas quando levam um releto ou quando os seus ministros levam um releto, ele faz sempre esta estratégia de dizer assim,
[07:39:48 - 07:56:28]:  "O meu primeiro ministro é preciso entendê-lo num encodramento, por encontrante, que realmente disse que, se calhar, está tudo muito atrasado, aquilo que nós estamos aplicando,
[07:56:28 - 08:01:28]:  mas é preciso entendê-lo dentro deste contexto, tem que elas já se tenham assim uma criatividade.
[08:01:28 - 08:21:28]:  Entretanto, nos preços, creio, nos preços desta semana, há uma notícia do alerta que há dentro do governo para as criatividade de Marcelo Bélgues Sosa
[08:21:28 - 08:31:28]:  e a sugestão de porém gel nos pulso. Acho que ajuda.
[08:31:28 - 08:56:28]:  Lembre-se do governo de porém gel nos pulso prente a criatividade do presidente da República.
[08:56:28 - 09:01:28]:  O exemplo que é um exemplo que é um remedio e fica às para certas maletas, mas, entre tanto, o centeno também foi criativo.
[09:01:28 - 09:04:48]:  Exatamente o mesmo tipo de criatividade.
[09:04:48 - 09:14:48]:  É uma relação relativamente à capacidade de execução dos fundos comunitários, como é que viu essas declarações de centeno?
[09:14:48 - 09:18:08]:  Veio, olha, está com criatividade também.
[09:18:08 - 09:28:08]:  Porque é mesmo, é o mesmo tipo, é uma criatividade que vai ter ao mesmo...
[09:28:08 - 09:34:48]:  Mas não na forma, só no quanto ao mesmo tipo de forma Marcelo.
[09:34:48 - 09:38:08]:  Não, isso é imbatível.
[09:38:08 - 09:51:28]:  Mas, assim, começa a haver demasiada criatividade a chamar a atenção para este ponto de governação.
[09:51:28 - 09:56:28]:  Não sei se isso é se calhar é preciso e buscar mais gelo.
[09:56:28 - 10:06:28]:  O que é que resulta deste episódio de Marcelo para a opinião pública?
[10:06:28 - 10:14:48]:  João Miguel Tavares, uma fragilização da ministra, ou a ideia de que...
[10:14:48 - 10:19:48]:  Estratou mais uma vez uma das chamadas Marcelo-lizes.
[10:19:48 - 10:29:48]:  Não sei se é uma Marcelo-lizes. A Marcelo-lizes é realmente a dada com qualquer coisa que é feita pelas costas, um indigente.
[10:29:48 - 10:34:48]:  É sobrevivente, mas direto não poderia ser.
[10:34:48 - 10:39:48]:  Sim, mas é uma Marcelo-lizes dizer, não me perdou.
[10:39:48 - 10:44:48]:  Mas vamos ver...
[10:44:48 - 10:48:08]:  O Ton é um Ton inusitado.
[10:48:08 - 10:58:08]:  Não, o Ton é... não só inusitado, como eu acho que há coisas que só são possíveis.
[10:58:08 - 11:01:28]:  Porque é Marcelo fazê-las.
[11:01:28 - 11:09:48]:  Estém impensáveis. Ou se cavar que tem essa só uma coisa, imagina o cavar que a dizia que não é o turga de sócletes.
[11:09:48 - 11:18:08]:  É que é impensável. Eu não estou certo que isso seja bom.
[11:18:08 - 11:24:48]:  Porque eu acho que isso não é espetacular para as instituições.
[11:24:48 - 11:34:48]:  Ou seja, se capa Marcelo e Paul Ego Marcelo faz de bem, mas a verde de determinadas críticas ao governo,
[11:34:48 - 11:39:48]:  que só podem ser verbalizadas de determinada forma.
[11:39:48 - 11:46:28]:  Porque é aquela pessoa que está a dizer... não sei bem o que é que nós.
[11:46:28 - 11:54:48]:  Nós fazemos isso no programa toda hora, de vez em quando. Ou cobram-nos uma coisa e é só o recardo que pode dizer isso.
[11:54:48 - 11:56:28]:  Sim, claro.
[11:56:28 - 12:01:28]:  É um arachucante, mas para saber o de pova.
[12:01:28 - 12:03:08]:  É o pova.
[12:03:08 - 12:06:28]:  Mas lá está. Eu concordo com isso.
[12:06:28 - 12:11:28]:  O problema é que o Marcelo e o Ricardo não têm bem a mesma profissão.
[12:11:28 - 12:16:28]:  É isso, não é? É ligeiramente diferente.
[12:16:28 - 12:19:48]:  Isso faz a diferença.
[12:19:48 - 12:28:08]:  É que o Ton, o que ele disse, foi muito respeitoso.
[12:28:08 - 12:31:28]:  É que ele disse que foi muito respeitoso e muito violento.
[12:31:28 - 12:38:08]:  Eu não seguia aceitar por ninguém. Eu percebo a história dos jelos no pulso.
[12:38:08 - 12:43:08]:  Porque qualquer outra pessoa que não Marcelo,
[12:43:08 - 12:49:48]:  quer dizer, tenha vinda a cavalagueia toda do Partido Socialista,
[12:49:48 - 12:59:48]:  e aí, quer dizer, em torno em costa, foi o mais contido possível sem...
[12:59:48 - 13:03:08]:  A mistrata disso conhecido com a amizade.
[13:03:08 - 13:08:08]:  Pô, este tinha dito, mas quer dizer, com um daqueles sorrisos,
[13:08:08 - 13:13:08]:  mais amarelios que dava para estrelar um ovo.
[13:13:08 - 13:14:48]:  Não.
[13:14:48 - 13:21:28]:  É impossível ela ter que regir de alguma maneira,
[13:21:28 - 13:26:28]:  que tal como o primeiro ministro tinha que regir de alguma maneira,
[13:26:28 - 13:34:48]:  e tinha um cassina lá que o ovo ali com a regoaça que não devia ter que ser dito daquela forma,
[13:34:48 - 13:43:08]:  mas sem muito ostensivamente entrar em rota de coluição com Marcelo.
[13:43:08 - 13:48:08]:  Deixamos só dizer isto. É evidente que os fundos,
[13:48:08 - 13:51:28]:  isso bate com o centeno, isso que são dos fundos,
[13:51:28 - 13:54:48]:  está, efetivamente, com um problema.
[13:54:48 - 14:01:28]:  Eu é que, ao fim desses anos todos, cada vez estão mais próximos,
[14:01:28 - 14:06:28]:  da tese daqueles que dizem que isto é o nosso novoro do Brasil,
[14:06:28 - 14:11:28]:  e que depois de passar da era que havia aqui isto,
