[00:00:00 - 00:06:20]:  Esta semana João Miguel Tavares soltou uma exclamação.
[00:06:20 - 00:24:20]:  Elase Ricardo Raús Pereira sentiu-se um pangolim e pedimos-se a Andou a meter dados no lixo.
[00:24:20 - 00:34:20]:  Está reunido o programa que o Jornal mostramos legalmente impedidos de dizer.
[00:34:20 - 01:17:40]:  Esta semana o Renault Etec assume a pasta do Cauching no sentido de ajuda e nosso preocupa se não sabe o que é Cauching.
[01:17:40 - 01:24:20]:  Porque muitos dos próprios Cauches também não sabem.
[01:24:20 - 01:32:40]:  Basicamente Cauching é o processo que ajuda as pessoas a vencer na vida.
[01:32:40 - 01:42:40]:  E há o Cauching financeiro, o emocional para dormir, para arranjar trabalho, para deixar o trabalho.
[01:42:40 - 01:51:00]:  Enfim, há Cauches especialistas em ajudá-lo em tudo e mais alguma coisa.
[01:51:00 - 02:01:00]:  Como o Papa que agora venha Portugal a ajudar milhares de jovens a desenvolver o seu Mindset espiritual.
[02:01:00 - 02:12:40]:  Ali, de branco, naquele grande palco, dar uma spread talk de fé e união.
[02:12:40 - 02:27:40]:  Ou então, como Renault Etec com 32 sistemas de ajuda à condição, um auténtico Cauching da Estrada.
[02:27:40 - 02:42:40]:  E pronto, resta-me dizer, assuma o volante da sua vida e tenho um shelante approach ao programa que se segue.
[02:42:40 - 02:56:00]:  A reviva seja um bem-vindos no final de uma semana em que a visita de Estado do presidente brasileiro,
[02:56:00 - 03:06:00]:  a Portugal, que é cada condicêrebro por altura do 25 de abril, agitou a política portuguesa.
[03:06:00 - 03:22:40]:  Uma semana também em que o bem-fica foi formalmente acusado de fraude fiscal e em que no vela do roubo da arma,
[03:22:40 - 03:37:40]:  tem mais um capítulo. Avem se falar de tudo isto neste reunião, mas antes o Ricardo Raul Espreira quer ser ministro da banda herada.
[03:37:40 - 03:41:00]:  E é como é que está a banda herada?
[03:41:00 - 03:44:20]:  -12 mil e quinhentes. -12 mil e quinhentes.
[03:44:20 - 03:51:00]:  -É que parece que o Caro ou um bom preço pro serviço prestado.
[03:51:00 - 04:02:40]:  Tenha em conta que eu acho que é caro. Sinceremente, acho que parece que o Caro é difícil avaliar o serviço prestado.
[04:02:40 - 04:17:40]:  -Mas acho que os resultados não foram excelentes. -Estamos a falar de uma nova investigação,
[04:17:40 - 04:27:40]:  a José Sócrates revelada a Placique, por causa de um contrato, que pose a alerta a Caixa Geral de Pósito,
[04:27:40 - 04:42:40]:  ministério público, Sócrates foi contratado em 2020 por um empresário fallido por 12.500 euros mensais.
[04:42:40 - 04:52:40]:  -Porque ele chama a banda herada? -Aderada porque é o costume, é 12 mil e quinhentes euros mensais,
[04:52:40 - 05:09:20]:  é o barrio, é a tarifa, porque já no outras empresas, entre hoje ele tinha desempenhado tarefas por 12.500 euros.
[05:09:20 - 05:16:00]:  -Tofagma, até mais 12.500? -É, era 12.500 euros.
[05:16:00 - 05:22:40]:  -E que quer de suspeito nessa história? -Nada, nada Caro.
[05:22:40 - 05:39:20]:  Estou lá ver, portanto, José Sócrates vive a lina iriceira numa casa que era no empresário Angolano,
[05:39:20 - 05:49:20]:  que entregou como pagamento para saldar uma dívida de umas salinas ao primeiro de José Sócrates,
[05:49:20 - 05:59:20]:  que por sua vez é empresta a Sócrates para ele viver lá. -E que estava fallido? -E que estava fallido.
[05:59:20 - 06:16:00]:  -Todas já só que a Sócrates vive lá e foi contratado por uma empresa duas na verdade, uma, que era um propriedade do senyor Adela e uma chave.
[06:16:00 - 06:39:20]:  O mero é uma empresa Luxemburgo, que não tenha atividade conhecida, nem site, nem contacto telefônico, tinha uma morada e já é bem bom, tinha uma morada.
[06:39:20 - 06:56:00]:  O Sócrates foi contratado para ser presidente do Conselho Consultivo Estratégico desta empresa, o pagamento vinha de uma outra empresa em Espenha,
[06:56:00 - 07:14:20]:  quem o contratou foi um diretor geral que já não está na empresa, chamávase Carlos Mendes, que foi o que disse o senhor Adela e uma chave ao juno listo da síquilize.
[07:14:20 - 07:26:00]:  Então quem é contratou foi diretor geral, quem é já não está na empresa, está bem mais como é que se chama ele? Carlos Mendes.
[07:26:00 - 07:39:20]:  -Eu acho que foi o primeiro cantor que ele ocorreu, mas, por um pouco, podia ter sido Fernando Tordo, podia ter sido o juno listo da síquilize.
[07:39:20 - 07:52:40]:  -Para isso você vai ser matorado, né? -Exato, o juno listo da síquilize, então que nunca se obviu falar daqueles senhores, não se conseguem localizar aqueles senhores.
[07:52:40 - 07:59:20]:  -E portanto, é porque deve haver oito milhões de caras mentes.
[07:59:20 - 08:22:40]:  -No final, no final de tudo, o juno listo também perguntou, José Socrates, olha o que é que é, é importante dizer que estas empresas estão falidas, além de não, por certo, não têm a tevidade conhecida tirando o facto de ter a incapacidade financeira para pagar um presidente do consulio consultivo.
[08:22:40 - 08:39:20]:  -Sotra testa. -Mas não se percebem para considerar o que, porque a tevidade das empresas não chega a ser, por isso, em princípio, se ele, só se ele a consuliu, se fechasse nos isto.
[08:39:20 - 08:56:00]:  -Se foi isso, é um bom serviço, não há dúvida, porque concretizou-se, mas acho caro, e se eu digo, existe de borbla.
[08:56:00 - 09:14:20]:  -E depois de juno, isto é perguntou, tentou falar com José Socrates para saber como é que isto é, enfim, por menor sobre isto, e ele disse que esta era vida privada.
[09:14:20 - 09:37:40]:  -Ora, as finanças não são vida privada, eu, porque senão, eu vou passar a responder a autoridade tributária da outra maneira, sou sempre que as finanças quiserem saber, eu digo, atenção que se é vida privada, que é boaça conversa.
[09:37:40 - 09:52:40]:  -A própria profissão, não é bem vida privada, pois não, talvez para agentes secretos, se for as longeantes secretos, o que que sou faz?
[09:52:40 - 10:06:00]:  -Não, sou contabilista, mas em princípio, não é vida privada.
