[00:00:00 - 00:18:00]:  Esta semana, Ricardo Araújo, Pereira, declara-se Araújo, Pedro Mexia, Cento capital e João Miguel
[00:18:00 - 00:24:56]:  Tavares confessa-se roto.
[00:24:56 - 00:33:20]:  Está reunido o Governo que o Juno, nos estamos legalmente impedidos de dizer sombra.
[00:33:20 - 01:11:20]:  Esta semana o Renault Etec assume a pasta do Couting no sentido de ajuda e nós preocupemos
[01:11:20 - 01:18:40]:  que é Couting, porque muitos dos próprios coutias também não sabem.
[01:18:40 - 01:22:00]:  Estou brincando.
[01:22:00 - 01:32:00]:  Couting é o processo que ajuda as pessoas a vencer na vida e há o Couting financeiro,
[01:32:00 - 01:38:40]:  emocional para dormir, para arranjar trabalho, para deixar o trabalho.
[01:38:40 - 01:47:00]:  Enfim, há coutias especialistas em ajudá-lo em tudo e mais alguma coisa.
[01:47:00 - 01:57:00]:  Como o Papa que agora venha Portugal ajudar milhares de jovens a desenvolver o seu Mindset espiritual?
[01:57:00 - 02:07:00]:  Ali, de branco, naquele grande palco, dar uma spread talk de fé e união.
[02:07:00 - 02:23:40]:  Ou então, como Renault Etec com 32 sistemas de ajuda a condição, um autentico Couting da estrada.
[02:23:40 - 02:27:00]:  E pronto.
[02:27:00 - 02:37:00]:  Restam-me dizer, assuma o volante da sua vida e tenho um Shlant approach ao programa que se segue.
[02:45:20 - 02:58:40]:  Para a vida sejam bem-vindos, no final de uma semana em que o governo, regional dos assores, ficou numa situação de tente não caias.
[02:58:40 - 03:12:00]:  E em que a hierarquia da igreja católica esteve na Berlinda, pelo modo como reagiu ao relatório sobre os abusos sexuais de padras.
[03:12:00 - 03:23:40]:  Vamos falar deste dos outros temas mais adiante, mas começamos brevemente pela entrevista em que o presidente da República
[03:23:40 - 03:37:00]:  descreveu a maioria do governo como recantada e cansada, embora repetindo uma vez mais que quer que a legilatura vá até ao fim.
[03:37:00 - 03:47:00]:  Qual foi para si Ricardo Raújpera, a nota dominante de entrevista de Marcelo do meu besoza?
[03:47:00 - 03:53:40]:  Eu vi a entrevista, uma pessoa chegou a fim e fica com a seguinte sensação.
[03:53:40 - 03:58:40]:  O presidente da República comunicou-nos o seguinte.
[03:58:40 - 04:07:00]:  O governo não é grande coisa e alternativa, não há. Muito boa noite.
[04:07:00 - 04:17:00]:  E pronto, e uma pessoa ganha num novo anime, fica...
[04:17:00 - 04:27:00]:  Sim, sim, não tenho dúvidas. Parece que me percebo bem...
[04:27:00 - 04:33:40]:  Por aqui é tanto tempo, não é? Se não estava isto.
[04:33:40 - 04:47:00]:  Qual é onde pareceu João Miguel Tavares ser nesta entrevista crítica mais contundente de Marcelo ao governo.
[04:47:00 - 04:57:00]:  A minha espécie de favorita foi da maioria recantada, porque ali...
[04:57:00 - 05:03:40]:  Agora ele tem de dito que também é de que vaque se ilva a segunda era recantada.
[05:03:40 - 05:07:00]:  Sim, ele disse nesta história.
