[00:00:00 - 00:06:20]:  Esta semana João Miguel Tavarres confessa-se zero.
[00:06:20 - 00:18:20]:  Pedro Mexia declara-se sem fundamento e Ricardo Oro Espereira sente-se roubado.
[00:18:20 - 00:30:00]:  Está reunido o programa que o Juno Amos estamos legalmente impedidos de dizer.
[00:31:40 - 01:05:00]:  Olá! Uma nova semana, uma nova pasta para o Renou Etec.
[01:05:00 - 01:15:00]:  Desta vez a pasta da autonomia que segundo o imano é a capacidade de agir de acordo com a própria razão,
[01:15:00 - 01:21:40]:  independentemente de influências externas. Para compreender melhor este conceito,
[01:21:40 - 01:30:00]:  recorte-se da polêmica com a nossa marinha e a missão de acompanhamento um navio ruso.
[01:30:00 - 01:40:00]:  Independentemente das ordens externas, agir o de acordo com a própria razão e vontade de ficar a fazer turismo naquela liga.
[01:40:00 - 01:48:20]:  O que me leva a perguntar, não seria melhor substituir as fragatas por hip-hop-srips e criar um trajeto
[01:48:20 - 01:51:40]:  que vai do museu da marinha até abasa ao feite?
[01:51:40 - 01:58:20]:  Turismo, porturismo e esse eu estado e negá-neavam os trocos.
[01:58:20 - 02:11:40]:  É, termos autonomia é muito bonito, mas há limites. Flizmente no que toca autonomia relacionada com mobilidade,
[02:11:40 - 02:26:40]:  é tudo muito mais simples. Pelo menos para o Renou Etec, que conta com 470 km de autonomia para não seguir ordens de ninguém.
[02:26:40 - 02:35:00]:  Outra coisa que também está a cheia de autonomia e boa disposição é o programa que se seca.
[02:35:00 - 02:38:20]:  Por isso, diviertas.
[02:43:20 - 02:56:40]:  Para a vivas sejam bem-vindos, no final de uma semana, em que deixou de ser cobrado iva, num cabaz de alimentos básicos,
[02:56:40 - 03:10:00]:  a semana também em que o governo decidiu aumentar os pensionistas e em que o PS estesou meio século de existência.
[03:10:00 - 03:25:00]:  O que leva o Ricardo Raus para dar a crescer ministro dos 50 e tem Ricardo alguma prenda para dar aos socielistas nesta ocasião?
[03:25:00 - 03:36:40]:  Não tenho convidado para festa e não somos amigos. Não sei o que consta para ir, mas nós nem esqueçamos amigos.
[03:36:40 - 03:43:20]:  Portanto, não acho que não me sento obrigada dar para ainda nenhuma.
[03:43:20 - 03:56:40]:  A festa socielista ficou marcada por um protesto do movimento da greve da ação climática.
[04:05:00 - 04:13:20]:  E não para.
[04:13:20 - 04:18:20]:  A loucação.
[04:18:20 - 04:31:40]:  É que também se vão sejar daqui a breve instantes os convainhos de Portugal.
[04:41:40 - 04:55:00]:  Um futuro com a história, um futuro com a história e três rabos.
[04:55:00 - 05:20:00]:  Uma ação de protesto com como uma outra que ficou selbra mais de 30 anos, talvez há já ainda quem se lembra,
[05:20:00 - 05:33:20]:  como é que o Valer Ricardo Raus para ir a esta prenda para os socielistas por estes descendentes da chamada geração rascar?
[05:33:20 - 05:40:00]:  Carlos, eu sou um velho apreciador da exvisão de rabos para ifeitos políticos.
[05:40:00 - 05:45:00]:  Mas isso não é a mesma coisa, Ricardo.
[05:45:00 - 05:46:40]:  Também é. Não, também.
[05:46:40 - 05:50:00]:  Não, também rabos de míadas não funcionam da mesma maneira.
[05:50:00 - 05:56:40]:  Não, não funciona porque a exvisão de rabos é externo.
[05:56:40 - 06:11:40]:  Eu acho que isto é o outro. Eu já explico a uma opção. Fasse forno. É um excelente protesto para refletir sobre rabos, porque de facto,
[06:11:40 - 06:33:20]:  o modo com uma exvisão do rabo anima uma festa informal, mas estraga uma serimânia, suena, os mesmos rabos com textos diferentes, resultados diferentes.
