[00:00:00 - 00:11:32]:  Esta semana João Miguel Tavaros de Clara Sementico, Ricardo Borous para a Era Centro Fox,
[00:11:32 - 00:18:28]:  e peda-me-se a pergunta "Ai é!"
[00:18:28 - 00:27:40]:  Está reunido o programa que o João não mostramos legalmente impedidos de dizer.
[00:27:40 - 01:06:00]:  [Música]
[01:06:00 - 01:09:16]:  Olá, daqui estamos nós.
[01:09:16 - 01:16:00]:  Esta semana o Renewitecte assume a pasta da distinção.
[01:16:00 - 01:23:24]:  Em consideração este sisma de se fazer em distinções anuais a qualquer coisa.
[01:23:24 - 01:30:52]:  Atenção, eu não sou contragalar do ar, o melhor escritor, o melhor restaurante,
[01:30:52 - 01:38:00]:  o melhor que a gente da sera. Não, o que eu não gosto é do sentimento de frustração,
[01:38:00 - 01:46:52]:  com que os outros que a gente da sera devem ficar, de ramando lágrimas, amantegadas, de tristeza.
[01:46:52 - 01:54:20]:  Por exemplo, acho que nós gostamos de saber que a Finlandia é o país mais feliz do mundo
[01:54:20 - 02:02:40]:  e que nós só ocupamos aqui em Quagésima sexta posição. Quer dizer, nós assumimos tristes.
[02:02:40 - 02:10:16]:  E com esta notícia ficamos aqui alegres, que falta de sensibilidade.
[02:10:16 - 02:18:00]:  Mas pronto, os filandeses têm todo o mérito. Assim como o Renewa Austrál,
[02:18:00 - 02:27:20]:  distinguido com outro félvulante de cristal 23 na categoria Cardoano.
[02:27:20 - 02:38:00]:  Também poderá, é o Renewa Austrál. Já o podcast que se segue, foi distinguido como mais ouvido.
[02:38:00 - 02:46:00]:  Seguimos com mais um episódio, então vá. Até a próxima.
[02:46:00 - 03:12:40]:  Para a Viva, seja um bem-vindos. No final da semana, em que se comemorou mais um aniversário do 25 de abril
[03:12:40 - 03:24:20]:  e em que o presidente brasileiro foi recebido na Assembleia da República numa sessão solén onde a solididade
[03:24:20 - 03:34:20]:  foi posta em causa pelas pateadas de doze deputados com os rostos tapados por cartados.
[03:34:20 - 03:47:40]:  De que, pouco falaremos disso e dos relatos e dos discursos, mas antes o Ricardo Raús Pereira quer ser ministro das 17 opções.
[03:47:40 - 03:54:20]:  Pareceram insuficientes ou ainda avrias passe para mais.
[03:54:20 - 04:02:40]:  Porém, que ainda as passe para mais. Car são as opções sobre localizações da aeroporto.
[04:02:40 - 04:14:20]:  Como sabe, onde bate muito recente. Nós estamos ainda começar, por isso é perfeitamente aceitável.
