[00:00:00 - 00:03:20]:  Bom, livros.
[00:03:20 - 00:14:20]:  Eu trago esta semana uma recolha de ensaios de Salmano Rusty, teste descrito entre dois mil
[00:14:20 - 00:17:20]:  e treta e dois mil e vinte.
[00:17:20 - 00:24:44]:  Literários, mas não exclusivamente sobre literatura, testes reunidos, sob um título
[00:24:44 - 00:34:00]:  sugestivo e muito apropriado neste tempo recente.
[00:34:00 - 00:36:40]:  Linguagens de da verdade.
[00:36:40 - 00:45:12]:  As questões de da verdade, da mentira, da ficção e da realidade são questões centrais
[00:45:12 - 00:53:32]:  quando nos entregamos à cerca do papel da literatura e da arte de contar histórias.
[00:53:32 - 01:01:56]:  Resti explica aliás como escreveu um conto infantil para o filme Mais Velho para responder
[01:01:56 - 01:06:28]:  a uma pergunta que ele fez a sarda altura.
[01:06:28 - 01:14:16]:  Qual é a utilidade de histórias que nem sequer são verdadeiras?
[01:14:16 - 01:23:28]:  Vivemos hoje infectados pelas chamadas Fake News e simultaneamente, talvez não por acaso,
[01:23:28 - 01:32:56]:  nota Salmano Rusty vivemos numa era de não ficção, mesmo em termos literários.
[01:32:56 - 01:43:04]:  Mas Salmano Rusty, um adepto de ficção pura e inventiva capaz de criar novas realidades
[01:43:04 - 01:53:04]:  por intermédia da palavra, defende que precisamos mais do que nunca de estimular o imaginário
[01:53:04 - 02:06:56]:  como forma de, e vou citar-lo, alcançar a verdade por meio de invenções que nos expliquem
[02:06:56 - 02:10:16]:  a nós mesmos.
[02:10:16 - 02:15:56]:  Mas este é apenas uma espécie de livro, além deste tipo de reflexões.
[02:15:56 - 02:26:48]:  Tem muitos outros assuntos, o livro tem diversos textos e tem este enquilador revela certamente
[02:26:48 - 02:29:16]:  um extraordinário leitor.
[02:29:16 - 02:35:04]:  Linguagens da verdade de Salmano Rusty edição Dung Shat.
[02:35:04 - 02:45:08]:  O Pedro Messia traz um livro de viagens que talvez seja sobretudo uma viagem no tempo.
[02:45:08 - 02:51:52]:  Sim, não é exatamente um livro de viagem no sentido, que nós hoje, tranquilo que nós
[02:51:52 - 02:57:32]:  hoje, nós damos a palavra, o André Agide, era um dos perspés escritos diferenciados,
[02:57:32 - 03:05:52]:  não é?
[03:05:52 - 03:10:56]:  Mas em 36 foi convidado e foi do Congresso dos Escritores Antifascistas e foi convidado
[03:10:56 - 03:17:00]:  para a ORS 1636, simpatizando com a causa.
[03:17:00 - 03:26:04]:  E ele vinha com a ideia, que era uma ideia lá está a bestrata, e depois viu algumas conquistas
[03:26:04 - 03:42:04]:  de revolução soviética, mas também várias episódios concretos de operação escreveu
[03:42:04 - 03:52:16]:  este livro e passou a ser de um companhão de ruta, um traidor e este livro junta, este livro
[03:52:16 - 04:02:04]:  e um mais pequeno onde ele responde às reações, das pessoas dizem que tem uma introdução
[04:02:04 - 04:14:28]:  do Paltuinhas que infelizmente morreu sentemente e que eram dos colonistas que eu lia com mais
[04:14:28 - 04:23:16]:  prazer, nem pra essa portuguesa e é uma pena tendo nos ter desaparecido.
[04:23:16 - 04:33:16]:  Os Homem Galtavares traz um dos bons livros que estão mais livrarias sobre Vladimir Putin.
[04:33:16 - 04:42:36]:  Sim, um dos bons livros, este tem uma vantagem que é muito curto, portanto, para quem
[04:42:36 - 04:51:04]:  tem que parecer, é um livro que tem pouco mais de 100 páginas, leste no instante e é um
[04:51:04 - 04:58:20]:  livro de marca galéótica, é um especial de inglês em questões russas, chamas de que
[04:58:20 - 05:06:20]:  temos que falar sobre Putin, de uma editora chamada catártica, e ele responde, é uma
[05:06:20 - 05:15:44]:  espécie de um, destes, um dos capítulos que contraguem certas ideias feitas sobre Putin,
[05:15:44 - 05:25:48]:  como Putin não pretende ressuscitar o RSS ou os inimigos de Putin nem todos acabam mortos.
[05:25:48 - 05:33:28]:  Não é nada para o Putin, bem para o contrário, mas é um livro equilibrado, e portanto,
[05:33:28 - 05:37:28]:  leste com a imés prazer e aprende-se muito sobre Putin.
[05:37:28 - 05:44:32]:  Temos de falar sobre Putin, o Ricardo Raúse Pereira tem 20 segundos para dizer porque
[05:44:32 - 05:47:52]:  é que fala a pena ler este...
[05:47:52 - 05:59:04]:  Não é um remanço de um dia, mas...
[05:59:04 - 06:07:52]:  O geno de artístico que nós temos entre nós, um grande cultura, que é Pedro Machia.
[06:07:52 - 06:19:22]:  É interessante este livro, é um livro em que, portanto, o reente de trabalho de cedo, na
[06:19:22 - 06:27:16]:  que ele ponto exáter entre a meia da dia, velhice, começar um dia, e depois de examinar
[06:27:16 - 06:35:16]:  assim próprio, para examinar esse período, incluindo e examinando o facto de escrever
[06:35:16 - 06:42:04]:  um diário, sempre com aquela prosa e repreensível do reente de trabalho, vocês não vão acreditar
[06:42:04 - 06:48:16]:  nisso porque tem uma página em que o reente de trabalho inuméria, todas as pessoas que foram
[06:48:16 - 06:53:32]:  presas doutoradas e mortas no campo de concentração do terra-faldo.
[06:53:32 - 07:04:12]:  O tempo vai ser com salvo, esquece de ter nada, nada, nenhum foi nenhuma.
[07:04:12 - 07:12:18]:  E a gente conclui, mas, de uma reunião semanal, de hoje é o 8 de liga, da mesma hora, ou
[07:12:18 - 07:18:32]:  a qualquer hora, entre o ano de podcast, Pedro Machia, João Miguel Tavárez e Ricardo
[07:18:32 - 07:38:30]:  Rússprega.
[07:38:30 - 08:16:46]:  [Música]
