[00:00:00 - 00:02:08]:  Hora muito bom dia!
[00:02:08 - 00:03:44]:  O botarde,
[00:03:44 - 00:05:12]:  ou boa noite,
[00:05:12 - 00:08:12]:  depende da hora que estiver a ouvir,
[00:08:12 - 00:12:56]:  aqui há espaço para tudo e todos a todas as horas.
[00:12:56 - 00:20:00]:  E é por isso que esta semana o Renault até que assume a pasta do...
[00:20:00 - 00:22:48]:  há sempre lugar para mais um...
[00:22:48 - 00:26:16]:  um conceito bem familiar a todos nós,
[00:26:16 - 00:31:04]:  visto que todos os meses nos é relembrado no telas jornal,
[00:31:04 - 00:37:48]:  que há sempre lugar para mais um primo, irmão, marido ou mulher,
[00:37:48 - 00:43:00]:  né gestão de certas e determinadas entidades.
[00:43:00 - 00:46:56]:  O que na verdade é misteriosamente semelhante,
[00:46:56 - 00:50:48]:  ao novo Renault é espaço etec,
[00:50:48 - 00:53:36]:  onde também cabe sempre mais um primo,
[00:53:36 - 00:56:36]:  ir bem, avou, avou,
[00:56:36 - 00:58:36]:  ou até amigo,
[00:58:36 - 01:03:36]:  deste canol te repasse o seu enorme limite de lugares, claro,
[01:03:36 - 01:06:36]:  até poderá tentar me ter uma cunha,
[01:06:36 - 01:10:28]:  mas só há mesmo sete lugares,
[01:10:28 - 01:13:36]:  não queremos cascándolos.
[01:13:36 - 01:18:00]:  E agora que está comprido um momento policitário,
[01:18:00 - 01:22:24]:  há sempre lugar para mais um episódio.
[01:22:24 - 01:26:48]:  E assim escandalosamente interessante,
[01:26:48 - 01:29:16]:  bom programa, né?
[01:34:12 - 01:41:24]:  Esta semana, Ricardo Raújo Pereira sente-se vulcánico.
[01:41:24 - 01:49:04]:  João Miguel Taváres confessa-se um jovem de linko-ente
[01:49:04 - 01:57:00]:  e peda-me-se-se de clara-se de pressa de vagar.
[01:57:00 - 01:58:40]:  Está reunido o programa,
[01:58:40 - 02:05:48]:  que o joenom estámos legalmente impedidos de dizer.
[02:06:24 - 02:35:32]:  [Música]
[02:35:32 - 02:39:56]:  Para viver vocês, amem-vindos no final da semana,
[02:39:56 - 02:44:28]:  encarulou mais uma cabeça do Governo desta vez
[02:44:28 - 02:51:04]:  com admissão do secretário de Estado da Defesa.
[02:51:04 - 02:56:04]:  E a semana em que foi conhecido aquilo que consta
[02:56:04 - 03:00:44]:  e o que não consta do relatório preliminar
[03:00:44 - 03:05:40]:  da comissão de inquérito à justão política da TAP.
[03:05:40 - 03:08:40]:  Vamos falar disso daqui a pouco,
[03:08:40 - 03:11:28]:  disso e de outros assuntos, naturalmente,
[03:11:28 - 03:15:28]:  mas antes, com os olhos postos em França,
[03:15:28 - 03:23:36]:  o Ricardo Raújo Pereira quer ser ministro das execuções
[03:23:36 - 03:27:08]:  para falar do modo como foi o muro de polícia
[03:27:08 - 03:30:08]:  e um jovem negro de região de Paris,
[03:30:08 - 03:36:40]:  ou para falar dos seis dias de violência de rua
[03:36:40 - 03:39:44]:  que essa tragédia provocou.
[03:39:44 - 03:44:04]:  Para falar das bremas de tudo por essa ordem.
[03:44:04 - 03:51:56]:  E, com o sample morto do jovem,
[03:51:56 - 03:55:16]:  de Namcer, a descrição do que aconteceu,
[03:55:16 - 03:57:32]:  não deixe a margem para dúvidas
[03:57:32 - 03:59:44]:  que foi contido a um crime de polícia.
[03:59:44 - 04:01:04]:  Exatamente.
[04:01:04 - 04:03:36]:  Mas os carerantes dizem um preâmbul,
[04:03:36 - 04:09:00]:  que, como eu ouviu já por estas palavras iniciais,
[04:09:00 - 04:11:04]:  este tema não tem graça nenhum.
[04:11:04 - 04:13:48]:  É claro que eu por favor ia dar aqui a falar sobre
[04:13:48 - 04:16:52]:  os presidentes que ministro dão fortimélec,
[04:16:52 - 04:18:00]:  como escatéle.
[04:18:00 - 04:19:44]:  É muito mais giro.
[04:19:44 - 04:21:12]:  É muito mais giro.
[04:21:12 - 04:23:28]:  Até por que reiberem, até saber,
[04:23:28 - 04:34:36]:  que isto não atinge, digamos, o prestígio de um escatel.
[04:34:36 - 04:37:56]:  O que não merece, não merece.
[04:37:56 - 04:41:56]:  Mas há muito o empenho do presidente
[04:41:56 - 04:45:48]:  em publicidade aquela marca.
[04:45:48 - 04:49:08]:  Pois há, já não é a primeira vez que ele fala
[04:49:08 - 04:51:28]:  no fortimelo desta vez.
[04:51:28 - 04:53:48]:  Só quero dar uma função de inquéria.
[04:53:48 - 05:00:36]:  Da primeira vez que correu, digamos relativamente bem,
[05:00:36 - 05:05:48]:  porque ele falou da marca muito ilogiosamente.
[05:05:48 - 05:09:08]:  Até um programa, ou até um programa.
[05:09:08 - 05:11:28]:  Isso, abundantemente.
[05:11:28 - 05:16:48]:  O vergonho assalmente, como é a panagem desse programa.
[05:16:48 - 05:21:48]:  Mas desta vez, eu fui bem...
[05:21:48 - 05:25:08]:  Talvez deixe-se de como estacionar os milhares.
[05:25:08 - 05:32:08]:  Mas além disso, o presidente não põe as culpas do primaco.
[05:32:08 - 05:33:48]:  Não põe.
[05:33:48 - 05:35:28]:  Sobre o fortimelo.
[05:35:28 - 05:37:48]:  Não põe sobre um escatel.
[05:37:48 - 05:39:28]:  O exilamento.
[05:39:28 - 05:44:48]:  E é este que o lamento, eu lamento acho que um escatel,
[05:44:48 - 05:46:28]:  não merece.
[05:46:28 - 05:49:48]:  Não merece esse...
[05:49:48 - 05:51:28]:  Sim.
[05:51:28 - 05:54:48]:  Mas também não tudo dizer que o corpo é do fortimelo.
[05:54:48 - 05:59:48]:  Mas enfim, ninguém sai bem nesta fotografia, digamos assim.
[05:59:48 - 06:01:28]:  E é pena, porque são...
[06:01:28 - 06:04:48]:  É bem como um bíblis como está desvretas.
[06:04:48 - 06:06:28]:  É pensar.
[06:06:28 - 06:14:48]:  Ele é a recomendação que o médico dá ao protagonista do livro "Tres Homens"
[06:14:48 - 06:19:48]:  num boto, quando ele acha que tem todas as doenças do mundo,
[06:19:48 - 06:24:48]:  que foi do leiro, que se imposi em formació de tecna e biblioteca.
[06:24:48 - 06:33:08]:  E o formació de tecna e o médico dá-lo uma receita.
[06:33:08 - 06:39:48]:  E ele vai receta a formació de tecna e o isto aqui não é que consegue servir,
[06:39:48 - 06:41:28]:  porque receta é exatamente esta.
[06:41:28 - 06:46:28]:  É um bíblir e uma elitça armeja todas as noces.
[06:46:28 - 06:49:48]:  Mas, França.
[06:49:48 - 06:51:28]:  França.
[06:51:28 - 06:53:08]:  É um...
[06:53:08 - 06:54:48]:  Foi como tido um crime.
[06:54:48 - 06:56:28]:  Foi como tido um crime.
[06:56:28 - 06:58:08]:  Isso não há dovidas nenhuma.
[06:58:08 - 07:01:28]:  Não há dovidas nenhuma. Foi como tido um crime.
[07:01:28 - 07:04:48]:  E é arrepiante por várias razões.
[07:04:48 - 07:13:08]:  Primeiro, porque não é e da gente sente que não é um acidente,
[07:13:08 - 07:14:48]:  ou seja, não é...
[07:14:48 - 07:18:08]:  Não é propriamente a primeira vez que acontece.
[07:18:08 - 07:29:48]:  Este tipo de coisa acontece com uma frequência perturbadora.
[07:29:48 - 07:36:28]:  E depois, há outras coisas perturbadoras no caso,
[07:36:28 - 07:49:48]:  que são o facto de um grupinho ter feito uma recolha de fumes.
[07:49:48 - 07:53:08]:  Então, vamos falar disso mais de tempo.
[07:53:08 - 07:54:48]:  Vamos falar para já.
[07:54:48 - 07:56:28]:  Então, da violência.
[07:56:28 - 07:58:08]:  Da violência aqui.
[07:58:08 - 08:01:28]:  A explosão de violência.
[08:01:28 - 08:04:48]:  É várias cidades francesas, né?
[08:04:48 - 08:08:08]:  Falando preambularmente apenas.
[08:08:08 - 08:13:08]:  Ah, aqui duas coisas outras que são...
[08:13:08 - 08:21:28]:  Parece um pouco inquietante.
[08:21:28 - 08:23:08]:  O que eu gostava de falar?
[08:23:08 - 08:26:28]:  Que são o facto de...
[08:26:28 - 08:33:08]:  O homicídio.
[08:33:08 - 08:36:28]:  E isso são somária daquilo.
[08:36:28 - 08:38:08]:  Rapaz.
[08:38:08 - 08:48:08]:  E os tumultos que se seguem,
[08:48:08 - 08:51:28]:  sendo que as pessoas envolvidas nos tumultos,
[08:51:28 - 08:56:28]:  ao que parece que têm mediatidades de 17 anos.
[08:56:28 - 09:01:28]:  Por isso, ao contrário de alguns textos
[09:01:28 - 09:08:08]:  que ali não parece que a gente possa atribuir,
[09:08:08 - 09:18:08]:  digamos, um sofisticado pensamento ideológico aos mutinhos.
[09:18:08 - 09:24:48]:  Sempre sentos primor, pela sofisticação ideológica
[09:24:48 - 09:31:28]:  dos adolescentes de 17 anos, mas não parece.
[09:31:28 - 09:43:08]:  A questão aqui é que ele é de facto um problema difícil de solucionar.
[09:43:08 - 09:48:08]:  Porque se percebe que é uma raiva...
[09:48:08 - 09:51:28]:  Que é exatamente uma raiva.
[09:51:28 - 09:53:08]:  Lávar muito...
[09:53:08 - 09:54:48]:  Exato.
[09:54:48 - 09:58:08]:  Muito prestes a expulsar qualquer...
[09:58:08 - 10:01:28]:  Porque não é que a circunstância fosse pequena.
[10:01:28 - 10:03:08]:  Não.
[10:03:08 - 10:06:28]:  Mas muito disponível para...
[10:06:28 - 10:11:28]:  Raiva, e tendo a encontrar a circunstância,
[10:11:28 - 10:18:08]:  que é a execução somária de um desgraçado que vai acontecer um carro.
[10:18:08 - 10:23:08]:  Procebe-se que é...
[10:23:08 - 10:26:28]:  Procebe-se a raiva, não.
[10:26:28 - 10:28:08]:  Procebe-se a raiva.
[10:28:08 - 10:34:48]:  Agora, tanto do lado
[10:34:48 - 10:39:48]:  da polícia,
