[00:00:00 - 00:06:44]:  Esta semana, Ricardo Oroespreira confessa-se ilegal.
[00:06:44 - 00:18:16]:  João Miguel Tavares senta a porta e pedra-me-se-se de Clara um burbão.
[00:18:16 - 00:28:16]:  Está reunido o programa com o joenom, estamos legalmente impedidos de dizer.
[00:28:16 - 01:13:12]:  Olá, Olá! Castamos nós para mais um episódio da nossa rebriga. O tempo passa rave, né? E é exatamente sobre isso que vamos falar hoje.
[01:13:12 - 01:28:12]:  O que o reno até caça-me ir a pasta da rapidez. E por que? Porque é impressionante como o tempo passa cada vez mais rápido.
[01:28:12 - 01:41:32]:  E isto é um facto. Os cientistas descobriram que a terra está a girar cada vez mais depressa. O que faz com que tudo dure menos tempo.
[01:41:32 - 01:58:12]:  Não reporou que o período entre cada polêmica do governo é cada vez mais curto. Então a culpa não é da incompetência. A culpa é da rotação do planeta.
[01:58:12 - 02:11:32]:  Já podem juntar estas restantes justificações. E por isso é que os veículos reno-eteque carregam com corrental treinada a 22kWh.
[02:11:32 - 02:26:32]:  Porque é muito mais rápido para aproveitarmos cada mil e segundo de nosso dia. E agora uma despedida também ela muito rápida.
[02:26:32 - 02:29:52]:  Adeus e bom programa.
[02:33:12 - 02:48:12]:  Viva-se a João Benvinhos no final da semana em que classe política passou o país por Reius X, primeiro no debate do Estado de Minasção.
[02:48:12 - 03:08:12]:  E esta sexta-feira na reunião, ou pelo menos na primeira parte da reunião, com o céu de Estado, vamos fazer o balenço do que foi o debate no Parlamento, que toda a gente pode acompanhar.
[03:08:12 - 03:31:32]:  E aquilo também se sabe, ou melhor, aquilo que não se sabe sobre a discussão em blém, a porta fechada. Mas antes do dia que nós temos geral, um esclarecimento particular,
[03:31:32 - 03:51:32]:  há cerca de um assunto de que falamos aqui na semana passada e que levam o Ricardo Aospreira a querer ser esta semana, precisamente nisso do esclarecimento e o esclarecimento esclareceu.
[03:51:32 - 03:59:52]:  Ah, Carlos? Não, porque eu já estava esclarecido, hoje estou esclarecido há mais de uma semana.
[03:59:52 - 04:23:12]:  Estamos a falar do Cartoon, ex-BDNRTP, que mutivou uma ameaça de queixa crime por parte da PSP e um pulso-funema do Ministro da Administração Interna, a Administração da RTP.
[04:23:12 - 04:43:12]:  O Ministro, com a tutela da comunicação social, se tivesse uma semana do Parlamento, defendeu a autonomia, do humor, mas também sei o entefeza do colega do Governo,
[04:43:12 - 05:06:32]:  a peda da domensilva foi dizer aos deputados que Júélio Escarneiro só telefonou para ser esclarecido, que não houve qualquer tentativa de condicionamento editorial e que este telefonema até foi útil.
[05:06:32 - 05:29:52]:  O contacto não foi para pressionar, nem para mostrar nenhum desagrado, foi apenas para ser informado e essa informação foi útil para esclarecer as forças de segurança.
