[00:00:00 - 00:11:48]:  Esta semana Ricardo Borús Pereira sente-se cativado. João Miguel Taváres confessa-se
[00:11:48 - 00:25:32]:  obviamente preocupado e pedre-me-se de clara "eu também não". Está reunido o programa
[00:25:32 - 00:56:52]:  com o joenome ainda estamos localmente impedidos de dizer.
[00:56:52 - 01:07:04]:  Olá! Chegou aquela altura do ano em que começa tudo a ficar com saudades ou não
[01:07:04 - 01:18:02]:  de futebol. E é por isso que esta semana o renô até que assume a pasta do espírito
[01:18:02 - 01:25:36]:  de sportivo. Ou falta dele, visto que agora não há jogos. Não que o bom espírito de
[01:25:36 - 01:31:52]:  sportivo seja presente durante o ano, mas eu não vou discutir isso. Para tal já
[01:31:52 - 01:43:52]:  existem os 343 programas em que médicos, advogados, agronos e tudo o menos especialistas na
[01:43:52 - 01:54:08]:  matéria, discutem profundezas táticas. Podiam antes meter o espiritual pímino, um
[01:54:08 - 02:03:28]:  verdadeiro especialista no tema de sportivo que traz o verdadeiro espírito de sportivo
[02:03:28 - 02:16:24]:  a toda a gama renau até que fica dica ou atática para mais emoção de condição. Agora
[02:16:24 - 02:25:56]:  com todo o expor, eu não sei. Pergunte aos médicos e advogados. E pronto! A pítio final
[02:25:56 - 02:42:28]:  nos anuncios por hoje. Que comece o próximo fantástico episódio. Bom programa!
[02:42:28 - 02:49:08]:  A viva seja um bem-vindos neste que é o nosso último encontro antes de uma pausem
[02:49:08 - 02:57:56]:  agosto. E no final de uma semana, em que os resultados das eleições em espanha deram
[02:57:56 - 03:05:28]:  pão de pramangas e reflexões também do âmbito da política portuguesa. Vamos falar
[03:05:28 - 03:16:52]:  daqui a pouco da vitória amarga da direita espanhola. Mas começamos pela política nacional.
[03:16:52 - 03:26:28]:  Com o Ricardo Raús Pereira, como ministro do Veto. Esperado ou surpreendente?
[03:26:28 - 03:36:28]:  Já não sei, Carlos. Já não sei bem. Eu não sei o que havia de estar a espera.
[03:36:28 - 03:38:08]:  Acho que foi surpreendente.
[03:38:08 - 03:41:28]:  Ninguém estava a esperar. É isso.
[03:41:28 - 03:49:48]:  É o presidente, tal vez, do tom do Veto. Não. Pois.
[03:49:48 - 03:53:08]:  Não, vai ter ninguém. Talvez.
[03:53:08 - 04:01:28]:  O presidente da República devolveu ao governo de plama sobre a provisão dos professores
[04:01:28 - 04:12:28]:  na carreira. Já se pode atribuir a Marcelo Rebello de Sosa, o título de presidente mais
[04:12:28 - 04:17:28]:  popular de sempre entre classe do centro.
[04:17:28 - 04:32:28]:  Por que? Quer dizer, teria de pensar que as pessoas gostaram.
[04:32:28 - 04:42:28]:  Estou a revetar um dos professores e eu acho que, sem o que eles gostaram.
[04:42:28 - 04:55:48]:  Primeiro, a outra parte de fazer uma coisa que é muito cara a este governo do PS, que é virada
[04:55:48 - 05:02:28]:  para a página da austeridade. É, disse que se trata. É, disse que estamos a falar.
[05:02:28 - 05:05:48]:  Não, porque eles não querem. Mas venha ius e abas.
[05:05:48 - 05:12:28]:  Mas venha ius e abas. É cara. É cara. É cara.
[05:12:28 - 05:15:48]:  Mas eu não é virada a página da austeridade.
[05:15:48 - 05:22:28]:  Sim, sim. O problema é que o Costa andua diz que virou a página da austeridade.
[05:22:28 - 05:29:08]:  Só que algumas páginas estavam pegadas. E este é uma das que tinha ido.
[05:29:08 - 05:34:08]:  Sim. Esta é a esta tinha ido.
[05:34:08 - 05:37:28]:  O que sem calça o facto de uma arte de ação.
[05:37:28 - 05:50:48]:  O governo deu, porém, serrada a questão dos seis anos, seis meses e 23 dias.
[05:50:48 - 06:04:08]:  O tempo de serviço congelado e o que o governo dizia não ser possível restituir aos professores
[06:04:08 - 06:12:28]:  para não se criar um precedente, faça outros setores da denigração pública.
[06:12:28 - 06:20:48]:  Setores esses que têm também direito a aquilo que os professores estão a pedir.
[06:20:48 - 06:34:08]:  A questão é, talvez por causa do entusiasmo sobre a mudança da página, as páginas estavam coladas.
[06:34:08 - 06:40:48]:  É, é um Marcelo, por a peça que isso é um cuidado.
[06:40:48 - 06:44:08]:  E eslovar mais longe é sempre estar por a peça.
[06:44:08 - 06:50:48]:  Continua ser muito delicado. E o Marcelo foi lá descuada.
[06:50:48 - 06:54:08]:  E o que é que ele viu? Viu que...
[06:54:08 - 07:00:48]:  E ex-escuragem. Viu ex-escuragem. Espero que ele te estivesse de louvas.
[07:00:48 - 07:14:08]:  O que é que ele viu? Viu que há aqui uns problemas e de que ele identificou o primeiro é a desigualdade entre os professores das recogigienas autónimas e do continente.
[07:14:08 - 07:20:48]:  Os das recogigienas autónimas recebem aquilo que tem direito.
[07:20:48 - 07:30:48]:  Não sei, quando vou as palavras, vim também recebem. Olha o que foi posso ações e a mim não pagaram o voo com o quanto de ponto.
[07:30:48 - 07:34:08]:  Mas se passaram a viver lá?
[07:34:08 - 07:39:08]:  E depois, e depois ela é...
[07:39:08 - 07:52:28]:  Ah, que ela que está um governo preparávaz para dizer "pronto" e fica então encerrada a questão da recuperação do tempo de serviço.
[07:52:28 - 07:57:28]:  E o Marcelo disse "eu acho que não é boa ideia fazer isso para..."
[07:57:28 - 08:14:08]:  Não é boa ideia. É uma questão de justiça básica, não é? Não é encerrada uma questão que é obviamente injusta.
[08:14:08 - 08:27:28]:  É a educação, vamos lá ver. Se há sitio em que Portugal devia investir...
[08:27:28 - 08:34:08]:  Eu acho que a educação está orgumento do poder da República.
[08:34:08 - 08:35:48]:  Dois.
[08:35:48 - 08:37:28]:  Ela é no top 1.
[08:37:28 - 08:39:08]:  Soblinhara.
[08:39:08 - 08:47:28]:  E nos bombas não acontecem se filmes, policias nos militares, nos juízos e as justiças.
[08:47:28 - 08:49:08]:  Sendo o vida mais política.
[08:49:08 - 08:52:28]:  O que o presidente repulir o melhor arquia.
[08:52:28 - 09:02:28]:  O que o presidente repulica diz é que o Bernar é fazer escolhas e as curiosidades, mas isso são as curiosidades do presidente.
[09:02:28 - 09:09:08]:  São devem ser a educação na saúde.
[09:09:08 - 09:10:48]:  Também parece.
[09:10:48 - 09:30:48]:  E na saúde também já se perfigora um problema porque também é um setor que tem alguma conflito de utilidade social...
[09:30:48 - 09:32:28]:  Sim.
[09:32:28 - 09:34:08]:  ...permetida.
[09:34:08 - 09:35:48]:  Essas outras outras.
[09:35:48 - 09:44:08]:  É, mas são tudo pessoas que estão a espera devirada página do austral. Foi isso que foi prometido, não é?
[09:44:08 - 09:45:48]:  Mas acredita-se.
[09:45:48 - 09:50:48]:  É que isso foi prometido em 2015.
[09:50:48 - 09:52:28]:  E ainda oito anos depois.
[09:52:28 - 09:54:08]:  Mas foi prometido.
[09:54:08 - 09:55:48]:  E ainda acreditas não vai na tal.
[09:55:48 - 10:00:48]:  Foi celebrado, com o tanto si descootado.
[10:00:48 - 10:04:08]:  E, entre tantos, estamos em 2023.
[10:04:08 - 10:07:28]:  Desculpa que este comentário costa de 28 anos de pronta.
[10:07:28 - 10:14:08]:  Então, acho que ele é um lema lentamente a virar a página da austeridade.
[10:14:08 - 10:15:48]:  Nunca mais conseguimos ler a próxima.
[10:15:48 - 10:25:48]:  Entretanto, o PS e o Governo num primeiro momento disse a nossos perplexos com a argumentação de Belaim,
[10:25:48 - 10:45:48]:  mas o Conselho de Ministros alterou, de mediato, o diploma, dizendo que houve uma grande articulação entre o primeiro ministro e o presidente da República para revisão do Cráclama,
[10:45:48 - 11:02:28]:  mas se se explicar, em que aquilo terá sido alterado, ainda estamos por saber, como é que interpreta toda esta curiografia política, João Miguel Taváres?
[11:02:28 - 11:14:08]:  Não, o problema está encer realmente se fosse uma curiografia política. Então, era de evitar a gente que olha a país, te pensa, realmente,
[11:14:08 - 11:34:08]:  o Marcel tinha que irritar o Governo antes de te fegas. Não tinha conseguido irritar o Conselho de Estado, porque António Costa tinha fugido para a Nova Zelândia para ver a F2W.
[11:34:08 - 11:52:28]:  Então, agora, decidiu, ao ultimador, a vetar com uma argumentação bem esquisita, um diploma, que o Vale ainda, por cima, 60 mil por sessões estão à espera.
[11:52:28 - 12:07:28]:  É que bom, é bom notar isso, não é, porque se a gente invigorar, 60 mil por sessões que ficam pior, não avançar assim do que ficando com o gelado.
[12:07:28 - 12:12:28]:  Então, já tinha os carregas com os lados, ficam guardas também com este diploma com o gelado.
[12:12:28 - 12:29:08]:  Já agora, como é que entende o argumentação contundente? Contundente? Acho que é consensual. Esquisita, já é uma observação particular.
[12:29:08 - 12:35:48]:  A argumentação de Marcelo do Vale de Sosa na nota, hein, que explicou o veto.
[12:35:48 - 12:50:48]:  Eu entendi muito mal, eu tenho soldados do tempo, em que é golpe-esque, que é muito gastadora, e que é que algumas pessoas do PSD que se preocupavam com as contas certas.
[12:50:48 - 13:04:08]:  É porque não estava na oposição. Não, não, não, assim era quando estava na oposição, mas como ao longo dos ultimais décadas, teve lá quase sempre.
[13:04:08 - 13:17:28]:  E mesmo quando não estava preocupado com as contas certas também, vamos ver uma coisa.
[13:17:28 - 13:47:28]:  O António Costa tem muitos defeitos, muitos, e tem governado muito mal. Mas, aquilo que tem sido esta Aldarabisse que o Ricardo da Gosparega assinalou, é a Aldarabisse que impediu o diabo de vir.
[13:47:28 - 14:05:48]:  Quando o António Costa gosta muito de falar do diabo, quando as pessoas da Digaeta falavam do diabo, intensamente, 2015, 2016, e falavam do diabo.
[14:05:48 - 14:14:08]:  Era porque, porque, em geral, a mente acreditava o naquilo que o PSD estava a dizer.
[14:14:08 - 14:24:08]:  Mas, felizmente, para amando das contas públicas, aquilo que o PSD estava a dizer era, substencialmente mentira.
[14:24:08 - 14:39:08]:  Nós, aqui vamos falar das cativações, mas seja cativações, seja em postos indiretos o António Costa, e o Mario Centeno, uma pergunta é, faz mentira onde durante este santo estouros.
[14:39:08 - 15:02:28]:  A mentira é má, em termos políticos, em termos económicos, tem provado eficaz, no sentido de que já apresou o ter passado, na dimensão da d'Avida pública, os nossos justentados mais ou menos contregulados.
[15:02:28 - 15:20:48]:  Foi por causa disso. Viga Marcelo, como quase que desvalugizar isso? Faz-me imessa confusão. A argumentação dos Aços e da Mandara a meu ver é totalmente absurda.
[15:20:48 - 15:35:48]:  Em primeiro lugar, porque as pessoas que vivem no outro, é por isso que existem autonomias. As pessoas que vivem nos Aços e da Mandara têm imprivilais dos cotas, não vivem no continente, não têm.
[15:35:48 - 15:40:48]:  Exatamente, são países... Não, é isto. São regiões periféricas.
[15:40:48 - 15:47:28]:  Como? Tem as preenhas, com as ilasões, tem a ver com a perifria. Não é isto?
[15:47:28 - 16:05:48]:  Não, não é isto. Não é isto. É começar a perceber o racicínio, porque o racicínio de Marcelo colhece, então a política no continente ficava, está dependente daquilo que os Aços e da Mandara se lembravam de fazer.
[16:05:48 - 16:17:28]:  Cada vez que eu se lembravam, de ser criativos, então nós a seguir tínhamos que fazer o mesmo, que se faz no Sozinha da Mandara, que era para não haver uma desigualdade.
[16:17:28 - 16:35:48]:  Parece uma argumentação absurda. E outra coisa é... É tipo... É um preângulo. Eu clico o preângulo de Incesso outra coisa. É tipo como o preângulo da Constituição nos manda caminhar posicionismo.
[16:35:48 - 16:42:28]:  E o indivinado de Césso que estava terminado a ilusiação e que estava terminado o assunto.
[16:42:28 - 17:02:28]:  Deixa-me só dizer hoje, Miguel, deixa-me só dizer que nós estamos chamadas. Quero uma referência. Você está se chamando. Aquilo que a Madarius a suas fizeram, que é cumprir o que está estipulado, ser criativo.
[17:02:28 - 17:14:08]:  Eles limitaram-se a cumprir. Comparir. O Estado deve dinheiro aquelas pessoas e eles pagaram. Não é isso.
[17:14:08 - 17:29:08]:  É isso, não é criatividade, é de ciência. Talvez, por que as nebem não é pagaram, é incorporar o tempo de serviço.
[17:29:08 - 17:47:28]:  O que está que foi congelado, mas ninguém vai ter que saber não vai ser ressercido retroativamente. Nem se quer ter em vez de isso.
[17:47:28 - 18:10:48]:  Mas isso é um momento. Mas todos nós, custado em metir quando veio o Atroika e isso significa que o Estado assumiu uma quantidade absurda de compromissos, para as quais não tinha dinheiro para pagar. É difícil lá de metir isso.
[18:10:48 - 18:22:28]:  Ou seja, a Atroika viu, veio, porque o Estado não tinha dinheiro para fazer faça aquilo que é com os seus obrigações.
