[00:00:00 - 00:03:20]:  "Tochamos alterados livros".
[00:03:20 - 00:10:00]:  Os livros da Semana têm o Patrocínio, Renou É Tech.
[00:10:00 - 00:18:20]:  E eu trago esta Semana no último programa
[00:18:20 - 00:25:00]:  desta temporada um livro sobre como as coisas acabam,
[00:25:00 - 00:28:20]:  apareceu uma propriedade.
[00:28:20 - 00:31:40]:  Tudo tem um fim, mesmo que o fim seja,
[00:31:40 - 00:38:20]:  pelo menos neste caso, será apenas a antipação de um novo começo.
[00:38:20 - 00:45:00]:  E este livro é sobre isso, o título pode induzir
[00:45:00 - 00:51:40]:  muita gente em erro, pensando que se trata de um ensai sobre tênis
[00:51:40 - 00:55:00]:  ou de biografia de um tênista,
[00:55:00 - 00:56:40]:  mas não é nada disso,
[00:56:40 - 01:01:40]:  chama-se os últimos dias de Roger Federer
[01:01:40 - 01:03:20]:  e outros finais.
[01:03:20 - 01:08:20]:  E é uma de ambulação literária,
[01:08:20 - 01:15:00]:  bastante original, bastante desorganizada,
[01:15:00 - 01:18:20]:  mas também por isso surpreendente
[01:18:20 - 01:25:00]:  dos criatores inglês, Joffi Daier,
[01:25:00 - 01:33:20]:  um inglês que se mudou para a California e criou naquí,
[01:33:20 - 01:36:40]:  histórias umas atrás das outras,
[01:36:40 - 01:40:00]:  em que o el de ligação é o fim,
[01:40:00 - 01:43:20]:  o fim das carreiras artísticas,
[01:43:20 - 01:48:20]:  de carreiras deportivas, de carreiras públicas,
[01:48:20 - 01:51:40]:  nos mais diversos domínios,
[01:51:40 - 01:56:40]:  no fundo é uma reflexão sobre o modo de fazer com que a vida seja
[01:56:40 - 02:01:40]:  de uma forma cotidiana,
[02:01:40 - 02:05:00]:  uma maneira de adiar o fim,
[02:05:00 - 02:10:00]:  o resultado, apesar de poder ser, em certos momentos,
[02:10:00 - 02:15:00]:  melancólico, é também bastante divertido
[02:15:00 - 02:20:00]:  e cheio de pequenos episódios superlheantes,
[02:20:00 - 02:25:00]:  entre os muitos casos e as muitas histórias que o autor conta,
[02:25:00 - 02:28:20]:  gosto muito, em particular,
[02:28:20 - 02:33:20]:  da explicação do escritório e criticdade John Berger,
[02:33:20 - 02:40:00]:  quando o autor ele perguntou, já no fim da vida,
[02:40:00 - 02:45:00]:  como tinha conseguido escrever tanto durante tanto tempo,
[02:45:00 - 02:48:20]:  John Berger fez uma pausa e respondeu,
[02:48:20 - 02:55:00]:  porque acreditava que cada livro seria o último.
[02:55:00 - 03:01:40]:  Os últimos dias de Roger Federer e outros finais de Joffi Daier,
[03:01:40 - 03:05:00]:  edição Ketsal,
[03:05:00 - 03:11:40]:  e o Pedro Machia traz "volter" a um Lisboa, por acitizar.
[03:11:40 - 03:18:20]:  Sim, na verdade, é um problema, mas não é provavelmente uma obra
[03:18:20 - 03:23:20]:  muito relevante enquanto presia,
[03:23:20 - 03:31:40]:  tem ver com o facto de muitos dos estábios daquele tempo,
[03:31:40 - 03:36:40]:  como caso do "volter",
[03:36:40 - 03:40:00]:  caso do "cante" e do "dobido" outros figuras,
[03:40:00 - 03:53:20]:  terem levado muito a ser informante, livoa, não apenas como um fenómeno natural, mas como...
[03:53:20 - 03:56:40]:  Um fenómeno filosófico, um fenómeno filosófico,
[03:56:40 - 04:01:40]:  um fenómeno filosófico, não só sobre a fragilidade humana,
[04:01:40 - 04:05:00]:  sobre o papel de providência e divina,
[04:05:00 - 04:10:00]:  mas também, e é isso que interessa a particularmente a "volter",
[04:10:00 - 04:15:00]:  como forma de demonstrar que os filósefos,
[04:15:00 - 04:20:00]:  que acham que tudo está bem, estão profundamente enganados
[04:20:00 - 04:25:00]:  e é muito interessante que este edição,
[04:25:00 - 04:30:00]:  inclua uma carta do russô,
[04:30:00 - 04:35:00]:  que sente um pouco ofendido,
[04:35:00 - 04:40:00]:  pelo atacar as pessoas, para quem tudo está bem,
[04:40:00 - 04:43:20]:  e tenta defender a sua dama.
[04:43:20 - 04:48:20]:  Os homenial está a vários, atrás, uma novela gráfica.
[04:48:20 - 04:50:00]:  Sim, muito bem, Carlos.
[04:50:00 - 04:55:00]:  Chamam-se, "magnigo", e é...
[04:55:00 - 05:03:20]:  Não, eu ouvi o termo novela gráfica está aqui muito bem aplicado,
[05:03:20 - 05:06:40]:  porque é um livro magnífico, é do "Bregnáxica-Valho",
[05:06:40 - 05:11:40]:  é ilustração e da "na pessoa", o argumento.
[05:11:40 - 05:16:40]:  Eles já tinham feito, junto, um livro chamado "viu",
[05:16:40 - 05:20:00]:  e eu continuo até que a minha filha mais nova,
[05:20:00 - 05:23:20]:  a pesada ela já sabia ler o hábito de nós,
[05:23:20 - 05:28:20]:  lembre-nos um livro em conjunto, ao final de dia.
[05:28:20 - 05:31:40]:  E foi uma surpresa magnífica,
[05:31:40 - 05:36:40]:  é um livro realmente muito bom,
[05:36:40 - 05:41:40]:  para a adolescente, ela é apontada aí, para quem tem 15 anos,
[05:41:40 - 05:45:00]:  mas pode ser lido, um bocadinho antes,
[05:45:00 - 05:48:20]:  e certamente um bocadinho depois.
[05:48:20 - 05:53:20]:  E o "Bregnáxica-Valho" é muito inventivo,
[05:53:20 - 05:56:40]:  como "designador e ilustrador",
[05:56:40 - 06:00:00]:  e toda esta planificação,
[06:00:00 - 06:03:20]:  é que o que chama de culpaz,
[06:03:20 - 06:06:40]:  é realmente muita exneosa,
[06:06:40 - 06:13:20]:  e ela é ótima nos diálogos,
[06:13:20 - 06:18:20]:  e na construção de personagens,
[06:18:20 - 06:21:40]:  é realmente agora que se aproxima assim com as fegas,
[06:21:40 - 06:26:40]:  e é também um livro sobre o Varão,
[06:26:40 - 06:30:00]:  aqui está este "Blysim Magnigo".
[06:30:00 - 06:33:20]:  - Mar Negro. - Mar Negro, que está a planeta, tantas vezes.
[06:33:20 - 06:40:00]:  O Ricardo Arospreda traz um clássico de alitratura para a deloca.
[06:40:00 - 06:43:20]:  E só também tocar também também a preparar a prova,
[06:43:20 - 06:45:00]:  - a verão. - As fegas.
[06:45:00 - 06:46:40]:  - Também bom para adolescentes,
[06:46:40 - 06:53:20]:  os adolescentes têm muito interesse na matéria aqui tratada.
[06:53:20 - 06:56:40]:  - Bom para o Brão. - É só o Brão.
[06:56:40 - 07:01:40]:  - É para o Brão. - Não sei se fica desipontado com estas estatísticas.
[07:01:40 - 07:05:00]:  Mas é bom para o Varão, o calor,
[07:05:00 - 07:06:40]:  porque o aliprovoca,
[07:06:40 - 07:10:00]:  digamos, não tem nada de as corbidas,
[07:10:00 - 07:13:20]:  de latações, de latações,
[07:13:20 - 07:16:40]:  de latações, de ases, de as duas juntas.
[07:16:40 - 07:21:40]:  E são os versos de eretino,
[07:21:40 - 07:26:40]:  sonetos luxuriosos, chamas,
[07:26:40 - 07:30:00]:  - Fuleno. - Que voleiro, voleiro,
[07:30:00 - 07:33:20]:  até porque aí diz, são "Ebilingue".
[07:33:20 - 07:36:40]:  E portanto, eu posso...
[07:36:40 - 07:40:00]:  A versão portuguesa é que a parte ser um bocadinho pesada,
[07:40:00 - 07:43:20]:  mesmo para esta hora, noito.
[07:43:20 - 07:46:40]:  - Mas aí diz o Italián. - Eu não sabes que a peteça.
[07:46:40 - 07:48:20]:  - É a peteça. - É a peteça.
[07:48:20 - 07:50:00]:  - Pra ter sido uma pessoa que não sabe,
[07:50:00 - 07:53:20]:  nem te clamar, nem falar Italián,
[07:53:20 - 07:56:40]:  mas tem tudo para correr bem.
[07:56:40 - 07:58:20]:  Fotear, miti.
[07:58:20 - 08:03:20]:  Vita a minha, fotear, miti, presto.
[08:03:20 - 08:08:20]:  Porque perfotear, tu te nati se amo.
[08:08:20 - 08:11:40]:  E sei o catso, amitu,
[08:11:40 - 08:15:00]:  la pota e o bramo,
[08:15:00 - 08:20:00]:  que o mundo seria nulo, sem os acostos.
[08:20:00 - 08:23:20]:  - Perfotear. - Perfotear, miti.
[08:23:20 - 08:26:40]:  - Perfotear, miti. - Tu te nati se amo.
[08:26:40 - 08:28:20]:  - Tu te nati se amo. - Com o mil-catso,
[08:28:20 - 08:31:40]:  ela pota.
[08:31:40 - 08:35:00]:  E eu preciso concluir mais uma rinéu-semanal.
[08:35:00 - 08:38:20]:  É o último desta temporada.
[08:38:20 - 08:41:40]:  Vamos dar-vos descanso durante o mês de agosto.
[08:41:40 - 08:45:00]:  Voltamos em setembro,
[08:45:00 - 08:48:20]:  debaterias recarregadas.
[08:48:20 - 08:51:40]:  E com os mesmos sempre vão...
[08:51:40 - 08:53:20]:  Pedro Messias, João Miguel Tavárez
[08:53:20 - 08:55:00]:  e Ricardo Arospreira.
[08:55:00 - 08:58:20]:  Boas férias para quem força férias.
[08:58:20 - 09:06:40]:  ♪
[09:06:40 - 09:15:00]:  ♪
[09:15:00 - 09:23:20]:  ♪
[09:23:20 - 09:31:40]:  ♪
[09:31:40 - 09:40:00]:  ♪
[09:40:00 - 09:48:20]:  ♪
[09:48:20 - 09:56:40]:  ♪
