[00:00:00 - 00:10:00]:  Esta semana a Pedermescia, desta vez a distância, quer ter acente no Polite Buro.
[00:10:00 - 00:21:40]:  Ricardo Barulho, Pereira, acente se banalizado e João Miguel Tavarges identifica-se com São Jorge,
[00:21:40 - 00:26:40]:  o Santo que tinha um problema com dragões.
[00:26:40 - 00:35:00]:  Está reunido o programa, cujo nome estamos legalmente impedidos de dizer.
[00:35:00 - 01:21:40]:  Olá, bem vindos! Esta é a semana em que errinou a sua pasta das "novidades", uma pasta dedicada a falar sobre temas da atualidade
[01:21:40 - 01:30:00]:  e estimular o seu espírito de jornalista que adora saber uma boa novidade.
[01:30:00 - 01:38:20]:  E a nova clitorar a questa semana é que errinou foi eleita super brand pelos portugueses.
[01:38:20 - 01:43:20]:  É verdade! Super brand! E o que é isto?
[01:43:20 - 01:55:00]:  Se não trabalha em marketing provavelmente não faz ideia, mas deve ter reparado que esta distinção utiliza o perfixo super.
[01:55:00 - 02:10:00]:  Por isso, só pode ser uma coisa grande, superior como o super herói, super lua, o super economia, algo que também nunca deve ter ouvido falar.
[02:10:00 - 02:21:40]:  Uma vez que é um fenômeno raro na realidade portuguesa, mas sem vos aborrecer como um de promenores super brand,
[02:21:40 - 02:30:00]:  distingue as marcas de silência que se destaco no país e errinou, é uma delas.
[02:30:00 - 02:40:00]:  Não é super fizesse, eu acho! E agora, para isto não ser super aborcido, terminamos!
[02:40:00 - 02:43:20]:  Super bom programa!
[02:46:40 - 03:00:00]:  Para a Viva, seja um bem-vindos depois de uma semana marcada pela reantre socialista, que falaremos mais adiante,
[03:00:00 - 03:10:00]:  semana em que o primeiro ministro voltou de férias, entre o Múdiceio Calado da Segunda Parta de Marrignão do Conselho de Estado,
[03:10:00 - 03:20:00]:  rodeada de muita intriga e escreveu uma carta apresente de comissão europeia.
[03:20:00 - 03:33:20]:  E é por aqui que começamos com o Ricardo Arosbrera a querer ser ministro de epístula, aprecia o gênero epístular Ricardo Arosbrera.
[03:33:20 - 03:43:20]:  É por si, o senhor, aprecia o epístula, em geral, embora neste caso, parece bem neste caso,
[03:43:20 - 03:53:20]:  se ciance de vir a sim público correspondência de costa com o Úrgula.
[03:53:20 - 03:55:00]:  Cóstola?
[03:55:00 - 04:00:00]:  Cóstola com o õgula, né, epístola, não é?
[04:00:00 - 04:03:20]:  Foi o que aconteceu.
[04:03:20 - 04:18:20]:  Acho que podemos discutir avantada correspondência dele, porque esta daquelas cartas que não envia com a Viva de Recessão,
[04:18:20 - 04:25:00]:  envia com a Viva de Envio, ele quis que todos nós soubessemos.
[04:25:00 - 04:28:20]:  De ser que a cara mais cara tinha seguido, exatamente.
[04:28:20 - 04:35:00]:  No fundo, é uma carta aberta, não é? Como aquelas que às vezes aparecem nos jornaus?
[04:35:00 - 04:45:00]:  No baixo assim, nada, acho que realmente era preciso, mais do sistema de saúde, mais investimento.
[04:45:00 - 04:55:00]:  E é o que está fazendo só que, em vez de subinterrar um jornau, subinteu a Úrgula, por isso é que é...
[04:55:00 - 04:58:20]:  -Ela subinterna, é simultânea?
[04:58:20 - 05:21:40]:  Talvez, é um aspecto que faz com que, neste caso, o mais importante da palavra epístola, seja a parte da Tola, faz parte da palavra epístola, a palavra Tola, como refriu e bem.
[05:21:40 - 05:23:20]:  -Um certo pronista.
[05:23:20 - 05:23:20]:  -Unista.
[05:23:20 - 05:25:00]:  -Unista, sim, muito bem.
[05:25:00 - 05:30:00]:  O que costa propõe a Comissão Europeia?
[05:30:00 - 05:46:40]:  Que questão da habitação, que não há um problema exclusivamente português, desde o governo socialista, seja discutido a nível comunitário.
[05:46:40 - 05:55:00]:  -Ve a viabilidade no iniciativa conjuntava 27 sobre esta questão, Ricardo Arrozqueda.
[05:55:00 - 06:16:40]:  -Acho imperovável, até tendo enquanto a resposta que o Lobtevo, que foi, a gente já te deu-mezada para isso, foi o que eles disseram, se é o estudante, o estudante escreviu aos pais a dizer assim.
[06:16:40 - 06:25:00]:  Eu às vezes gostava de ir almoçar e os pais disseram, então, mas é para isso que serve a amizada.
[06:25:00 - 06:35:00]:  -E o que fica se coessa a questão do ponto de vista do pai ou do ponto de vista da memória do filho?
[06:35:00 - 06:43:20]:  -A minha agora, é a tania as duas, não é? A tania as duas, tenho lembas as experiências.
[06:43:20 - 06:53:20]:  Por isso, se percebe muito bem a posição do costa, também percebe a da Ursula.
[06:53:20 - 07:08:20]:  -A carta do costa, mereceu críticas por parte da oposição, mas o presidente republica está convencido de que ela é já um sinal de qualquer coisa.
[07:08:20 - 07:23:20]:  E, num papel de grandes explicador nacional, Marcelo decidiu ser o próprio Marcelo, a trocar por meio do que está em causa.
[07:23:20 - 07:48:20]:  -O似 trata de sensibilizar a comissão europeia para dar um tratamento que parece o justo, flexibilidade, quanto a dinheiro que possam ser utilizados no domínio da habitação.
[07:48:20 - 08:06:40]:  -Tocando o seu primeiro listo, manda a carta, é porque tem a sensação de que a comissão está disponível ao postular o problema, senão não mandava a carta.
[08:06:40 - 08:13:20]:  -Estou hoje na diplomacia, a nossa humana da carta, mas mandava a carta.
[08:13:20 - 08:26:40]:  - Marcelo Rebello de Sosa convencido de que antes da carta já houve conversas sobre o assunto com a comissão europeia,
[08:26:40 - 08:38:20]:  vem na declaração do presidente João Miguel Taváres, uma expressa genuina, ou uma farpa pro governo?
[08:38:20 - 08:43:20]:  -Não, não, não veja aqui nenhuma farpa.
[08:43:20 - 08:50:00]:  -Todas eles estão... -Nando diplomacia não se mandam cartas por mandar cartas.
[08:50:00 - 09:00:00]:  -Quese parece ser a carta, acho que é uma carta normal que seque todos os anos apeticoises.
[09:00:00 - 09:20:00]:  -Todas as integrações sobre a Europa, Dantónio Costa deviam sempre ter como prólgo a famosa declaração da coisa da Nimaio, que é o JAPO-CIG-O-BANCO.
[09:20:00 - 09:30:00]:  -Foculso-la, não é? Que é o que chegaram os fundes, finalmente os fundes da famosa...
[09:30:00 - 09:36:40]:  -O checam da vazuca dos PRRs, já posso ir ao banco?
[09:36:40 - 09:45:00]:  -E este espiga, na altura, foi uma piada, mas é aquela espiada muito significativa.
[09:45:00 - 09:53:20]:  -A gente não pode alias nesta programa estar devaluisado as piadas, então, um assunto muito central e central.
[09:53:20 - 10:06:40]:  -E, portanto, é sempre essa postura em Europa, tornou-se porque em mim ele é o Portugal, tornou-se o 10m de Portugal.
[10:06:40 - 10:15:00]:  -É o Europa, ele é o 10m de Portugal e sem dúvida ele é o 10m de Dantónio Costa.
[10:15:00 - 10:30:00]:  -No sentido de que o Dantónio, o Dantónio, o Dantónio, o 12m de Portugal, é capaz de produzir o seu próprio PIB, vai para pagar as contas, as contas do Estado,
[10:30:00 - 10:40:00]:  -Muitas rascinhas, as reformas, as coisas social, e depois, quando é preciso ser lá, fazer obras na caixa de terria,
[10:40:00 - 10:48:20]:  -Então, vem o 10m de que segue o mês, vai o subsídio de ferro, e então, de Natal da Europa.
[10:48:20 - 10:51:40]:  -E atitude é sempre essa.
[10:51:40 - 11:00:00]:  -E, portanto, eu aqui não acho que, como se ela estivesse ser mal, sou contra a sua brinta de apagatação.
[11:00:00 - 11:06:40]:  Neste programa, já vamos ter gotos momentos em que...
[11:06:40 - 11:10:00]:  -Mas tem faltado em ter uma interpretação.
[11:10:00 - 11:13:20]:  -Não tem faltado a interpretação.
[11:13:20 - 11:15:00]:  -Então, tem a interpretação.
[11:15:00 - 11:16:40]:  -Tem a interpretação.
[11:16:40 - 11:18:20]:  -Tem a interpretação.
[11:18:20 - 11:33:20]:  -E, portanto, eu convido os nossos ouvintes e espectadores a aguardarem por momentos em que, de facto, ali um...
[11:33:20 - 11:36:40]:  -A um lástere próprio...
[11:36:40 - 11:38:20]:  -A principais espectulação.
[11:38:20 - 11:41:40]:  -Exato, a perspectivação de índice.
[11:41:40 - 11:45:00]:  -Tocando as intenções de cada um, os intervenidos.
[11:45:00 - 11:46:40]:  -E, facto, as vergadas, é que...
[11:46:40 - 11:50:00]:  -Vamos já recordou...
[11:50:00 - 12:01:40]:  -Não sei se o João Miguel Taváceo, o Ricardo Arospreira, a Comissão Europeia veio, entretanto, lembrar, por intermédio de uma porta voz,
[12:01:40 - 12:11:40]:  -que a habitação já está recontemplada, foi o Ricardo, com uma verba generosa no PRR,
[12:11:40 - 12:20:00]:  -em que, medida que a divulgação da carta pedramxia,
[12:20:00 - 12:31:40]:  -podrá ser entendida, como uma forma de tentar alijar responsabilidades, ou, pelo menos, repartir responsabilidades,
[12:31:40 - 12:36:40]:  -a cerca deste problema com a Comissão Europeia.
[12:36:40 - 12:45:00]:  -Todas que isso passou dentro dos termos habituais.
[12:45:00 - 12:53:20]:  -Avis o que não seja habitual, estamos a discutir um assunto a sério, e este...
[12:53:20 - 13:01:40]:  -Não, não programa, mas o país, que é o assunto da habitação, que é um assunto de Camento Sério.
[13:01:40 - 13:16:40]:  -Mas é verdade que a questão europeia, aliás, não é por acaso que tivemos uma crise
[13:16:40 - 13:26:40]:  -compersosais mundiais, comissão de imobiliário e até fora da Europa.
[13:26:40 - 13:40:00]:  -Petando questões como esta, e não apenas esta, tem uma componente europeia, e é bom que é a aquelas harmonizações,
[13:40:00 - 13:51:40]:  -politicas conjuntas integradas, e as respeladoras de todos, eurocráticos, mas, mas, julgamento, existentes e sérios.
[13:51:40 - 14:16:40]:  -Também é verdade que esta carta permitiu a Comissão Europeia responder, como se responde nos peditórios nos gujos que já dá isso.
[14:16:40 - 14:21:40]:  -O que também é verdade.
[14:21:40 - 14:31:40]:  -E também é infelizmente habitual o último ponto, que é a possibilidade de que com esta carta,
[14:31:40 - 14:46:40]:  -não tanto com a carta, mas com o anúncio da carta, o governo fazer uma das suas atividades favoritas que é alijar responsabilidades.
[14:46:40 - 14:56:40]:  -A lesa responsibilizar uma das coisas especialisas, não há muitas coisas que peçam a severbo.
[14:56:40 - 15:16:40]:  -E, de facto, a quantidade de problemas sérios, e até às vezes alguns não sérios, em que a resposta final do governo é passar o outro,
[15:16:40 - 15:31:40]:  -a mesma, é aflitiva, há sempre uma força de bloqueio, uns interessos corporativos,
[15:31:40 - 15:43:20]:  -mapandem-me, que não beija a trabalhar, agora tivemos o governo em modo que a guerra entima semana, como?
[15:43:20 - 16:03:20]:  -Há sempre uma pandemia, uma guerra, uma pandemia, a Europa, e portanto, vem muito aquelhar e é muito dentro do modo de operandi do governo,
[16:03:20 - 16:16:40]:  -que, ao fim de, que são 7 ou 8 anos já nem sei, do governo, este com outros problemas,
[16:16:40 - 16:25:00]:  -comece a ser tratados como se tivesse a ser pensado pela primeira vez.
[16:25:00 - 16:36:40]:  -E este problema, não pode isso representar a República, ainda para concluir havia aí mais uma reflexão final?
[16:36:40 - 16:40:00]:  -Não, não, pode que eu digo.
[16:40:00 - 16:50:00]:  -Como o lembrou o Presidente República, este assunto é este dossier da habitação, ainda não está encerrado,
[16:50:00 - 17:10:00]:  -fés que estão Marcelo avisar o governo, porque ainda vai ter a ver a regulamentação, e aí se calhar já as passem para alguma sobre a interpretação,
[17:10:00 - 17:20:00]:  -fique para outra altura, portanto entregamos ao Ricardo Aújo Pereira, a Pasta de Ministro de Pistula,
[17:20:00 - 17:31:40]:  -quanto a João Miguel Tavares quer ser desta vez ministro do Amú, a expressão foi usada a Poludio da Rdo PSC,
[17:31:40 - 17:41:40]:  -se depois de ter vindo a público, que António Costa não abriu a boca na reunião do Conselho de Estado.
[17:41:40 - 17:58:20]:  -Se o primeiro ministro não tem fére-pelei democrático para conviver com o equilíbrio de poderes em Portugal,
[17:58:20 - 18:20:00]:  -se o primeiro ministro fica amoado, se o primeiro ministro quer acrescentar a crise sócio-oiconomica que já temos,
[18:20:00 - 18:28:20]:  -também uma crise institucional vai provar o caminho.
[18:28:20 - 18:43:20]:  -Um Lisbon de Negro no Distrito de Porto Alegre, acusando António Costa, ter amoado e dando arrasturras com o presidente da República,
[18:43:20 - 19:00:00]:  -a costação que o primeiro ministro desmente forma categórica, contrate a que aquilo que acontece no Conselho de Estado devia ficar no Conselho de Estado.
[19:00:00 - 19:18:20]:  -Nunca ninguém me ouviu falar, nem nunca ninguém me ouviu falar, sobre o que acontece no Conselho de Estado, quem fala e não fala, quem dissiste o que andiça aquilo,
[19:18:20 - 19:33:20]:  -por uma razão fundamental porque nós temos respeitadas em fredições, e o Conselho de Estado assenta numa regra fundamental de confidencialidade,
[19:33:20 - 19:48:20]:  -queim nas últimas reuniões, têm decidido fazer fuga-seletivas, ou contado mentiras sobre o que acontece no Conselho de Estado,
[19:48:20 - 19:56:40]:  -presta um péssimo serviço às instituições, ademocarcia e algum Conselho de Estado.
[19:56:40 - 20:10:00]:  -O contrato António Costa depois de ter vindo a público que o primeiro ministro entrou-me, e saiu-lo calado de reunião do Conselho de Estado,
[20:10:00 - 20:23:20]:  -se depois de Luís Montenegro ter acusado de Moar, isto é só fumaça, João Miguel Tavar, nós estamos prontos em um episódio politicamente significativo.
[20:23:20 - 20:35:00]:  -Quê segue? Ela acaba se politicamente significativo, não por aqui, não por famosa silêncio, mas depois por aquilo que acabou de ser dito.
[20:35:00 - 20:45:00]:  Mas a história do silêncio em si é muito engraçada, nós gostamos muito deste programa dos águas que são escansão,
[20:45:00 - 20:51:40]:  -e aqui nós do ganta semana, toda assistimos aos escansões do silêncio.
[20:51:40 - 21:06:40]:  -O que quer dizer o silêncio do António Costa? E eu vou se dias, a disto do silêncio do António Costa, Luís Montenegro vai dizer, é mu,
[21:06:40 - 21:20:00]:  -pós vem António Costa e diz, não é mu, depois vem Marcelo Lee diz, fica isto, o facto, em molindrado se tivesse sido mu.
[21:20:00 - 21:30:00]:  -Mas isso disso ainda é o fato de alguém ter feito questão de por...
[21:30:00 - 21:43:20]:  -Nas notícias, por acroreir na comunicação social, que António Costa não falou do ano que o Conselho está.
[21:43:20 - 21:48:20]:  -Claro, é isso. -E isso tem evidentemente significado.
[21:48:20 - 21:56:40]:  -Certo, e o próprio António Costa responda isso, que diz, não, eu realmente tinha eras razões para ficar amoado,
[21:56:40 - 22:05:00]:  -que os senhores conselhas de Estado que andaram a redolar o meu um, e andou o sininho, que esta semana inteira.
[22:05:00 - 22:18:20]:  António Costa tem substancialmente de razão, não se entendem que é suposta, aliás, parece que as atras do Conselho de Estado só 30 anos depois de ter acontecido,
[22:18:20 - 22:28:20]:  é que estão disponíveis, tipo, segredo de Estado, mas quer dizer, foi só desta vez que a gente soube o classe passou.
[22:28:20 - 22:38:20]:  -Já ouve algum Conselho de Estado que não soubesse o que é classe tinha passado, eu quer dizer, se calhar há muitos anos,
[22:38:20 - 22:46:40]:  mas quer dizer, na éga, mais selo, eu acho que sempre soubemos, o que estava se discorrigo no Conselho de Estado.
[22:46:40 - 22:56:40]:  -Aquí, a coisa, como o ambiente está mais de cortar a faca, a coisa torna-se mais sensível.
[22:56:40 - 23:11:40]:  Mas ao mesmo tempo, existe aqui uma espécie de divertimento político, assim, de relativas inutilidades.
[23:11:40 - 23:30:00]:  A discussão mais interessante foi uma facpa que essa sim, me deu macacos, pelo menos em protépticos macacos, e que foi o Prozilei.
[23:30:00 - 23:43:20]:  -Já não deu, essa se é, os álabas dela, mas de acordo com o relatos para essa reunião, que aconteceu na segunda parte de Conselho de Estado,
