[00:00:00 - 00:08:20]:  Os livros da Semana têm o Patrocínio, Renault Atec.
[00:08:20 - 00:18:20]:  Está a altura dos livros e eu trago esta semana um livro aqui.
[00:18:20 - 00:28:20]:  O autor chama uma autóviografia fragmentada em completa e um pouco crítica.
[00:28:20 - 00:36:40]:  Trata-se com o conjunto de uma dúzia de testos, os escritos no registro híbrido,
[00:36:40 - 00:45:00]:  entre ficção e uma espécie de memorialismo mais ou menos sobre desfarça.
[00:45:00 - 00:56:40]:  O autor, o sinistro espalhão Pedro Almodóvar, conta na introdução que estes testos andaram a maior parte deles,
[00:56:40 - 01:05:00]:  pedidos em Gaveta durante anos, sem que eles lembrassem já de estes escritos.
[01:05:00 - 01:20:00]:  E aquele que dá título ao livro é provavelmente o mais pessoal destes 12 escritos que encontramos neste fulom.
[01:20:00 - 01:33:20]:  É também, parece, o mais curto, chama-se o último sonho e é uma breve crônica do primeiro dia do orfandado de Almodóvar.
[01:33:20 - 01:45:00]:  Depois de morro também, neste conjunto de histórias é assim que eles chamam o autor, que diz que chamam histórias a tudo,
[01:45:00 - 02:05:00]:  ementemento do gênero. Nesta história, reconhecemos uma certa melancolia festiva que é também imagem de marca que tornou Almodóvar famoso em quando se eniesta.
[02:05:00 - 02:16:40]:  Almodóvar confessa no perfácio, sem qualquer tipo de rodeios, que este livro demonstra,
[02:16:40 - 02:26:40]:  diz-lo, a relação estreita entre o que escrevo, o que filmo e o que vivo.
[02:26:40 - 02:33:20]:  O último sonho de Pedro Almodóvar, edição alfa Guara.
[02:33:20 - 02:43:20]:  O João Miguel Taraváres propõe um livro de grafismo.
[02:43:20 - 02:46:40]:  - De design, né? - De design grafismo.
[02:46:40 - 02:51:40]:  Aliás, eu fuiço do design, também exemplificada por esse livro.
[02:51:40 - 02:53:20]:  É uma vela capa.
[02:53:20 - 02:56:40]:  É, é uma vela capa, é absolutamente maravilhosa.
[02:56:40 - 03:00:00]:  E essa é a força do design.
[03:00:00 - 03:06:40]:  E isto, basicamente, é um livro que se chama o mundo, vai continuar, não ser como era.
[03:06:40 - 03:13:20]:  Seis anos de design grafico na coleção Carlos Rocha.
[03:13:20 - 03:26:40]:  O Carlos Rocha, além de ter uma coleção de design, ele também provene de uma família de design, sobretudo o teu delo, chamado José Rocha,
[03:26:40 - 03:31:40]:  foi um dos fundadores do design de comunicação em Portugal.
[03:31:40 - 03:41:40]:  E portanto, isto é um blissim, que ele amasse, que foi adetado pelo mundo, pelo Museu do Design e da Moda,
[03:41:40 - 03:48:20]:  a outra vez, aquilo que é a história do design de comunicação em Portugal.
[03:48:20 - 04:03:20]:  E isto são 100 anos, porque, basicamente, há que tudo desde exemplos da década de 30 até ao presente.
[04:03:20 - 04:15:00]:  E temos embalagens, ou seja, não é, não é só o clássico poster, não.
[04:15:00 - 04:33:20]:  Tem exemplos de uma material, além que nas bandejas da tapa e uma material em que as pessoas antigamente me lham nos aviões.
