[00:00:00 - 00:05:52]:  Os livros da Semana, Tainho Patrocínio, Renou Etek.
[00:07:32 - 00:27:32]:  Está a altura das livros e eu trago esta semana um livro que é uma biografia coletiva de um grupo de intelectuais que, segundo a altura deste livro, em certe sentido, nos inventou a todos, tal como somos atualmente.
[00:27:32 - 00:52:32]:  O livro chama-se rebeldes magníficos e logo no subtítulos ficamos a perceber um pouco melhor quem são os protagonistas desta rebeldea com dos Ante Sitálanos, iniciada no final do século 18, explica o subtítulo os primeiros românticos
[00:54:12 - 00:57:32]:  e a invenção do eu.
[00:57:32 - 01:17:32]:  Palavra romantismo pré-staça são muitos equívocos, mas aqui estamos a falar de uma tradição intelectual que revolucionou a cultura no acidente e não de romances em um estilicó do acidente em tudo.
[01:17:32 - 01:42:32]:  O que a esturiedora André e a voce relata de forma fascinante neste livro é que a revolução romântica com o eu, com o motor decisivo, tantos tentemos literários, comentemos de costumas, surgiu numa pequena cidade almas, cidadia de hena,
[01:42:32 - 02:24:12]:  onde de repente se reuniram a volta da Universidade local, não nos importantes como casal de legal, gata, novelis, chila e vários outros, o que ficou conhecido como o círculo de hena e isto e, de assim, pode parecer um bocadinho árido, uma coisa de enciclopédia, mas o grande mérito deste livro, não só o de ser uma excelente introdução ao romantismo
[02:25:52 - 02:50:52]:  a escola romântica, mas também o de nos dar um retrato vivo que se lecou imenso parazer deste conjunto de figuras notáveis, uma constlação de gênios, autenticamente.
[02:50:52 - 03:02:32]:  A rebeldes magníficos, os primeiros românticos e a invenção do eu, de André e a voce, edição temas e debates.
[03:04:12 - 03:15:52]:  E o treinamento de um bar estrás com tudo o respeito, uma vez um livro de bonecos.
[03:15:52 - 03:29:12]:  Eu terei sempre um projo visto bastante livros de bonecos, porque quando vocês não começarem a ter mais livros de bonecos, que assim eu posso ter que ter que ter de prolifos.
[03:29:12 - 03:52:32]:  A vantagem destes livros de bonecos coole é que os livros de bonecos pocogregatiram artísticamente de forma e gigantesca, a partiga lida década de 80, supere que o hospital maniu mal se inventou aquilo que fica maravilhosamente neste livro, que é a narrativa biográfica ou biográfica.
[03:52:32 - 04:04:12]:  E essa é a narrativa de automográfica, que nós vimos no Maus ou no Percepoli, de Marge Antsatrapi.
[04:04:12 - 04:27:32]:  E aqui vemos uma filha a contar a história de uma mãe na Corueia, na Corueia do Sul, neste caso, mas que é uma mãe que foi separada de um dos filhos e do seu marido.
[04:29:12 - 04:45:52]:  E os livros de bonitos na multidão quando tiveram que fugir no início da década de 50 do norte pro Sul e depois a Corueia ficou dividida no famoso paralelo de 1838.
[04:45:52 - 05:09:12]:  E esta mulher, em 20 anos, procura desesperadamente de encontrar, enfim, uma gidentes que tanto já teríamos rido, mas nunca perdeu a esperança de ver esse filho que ela perdeu na multidão e que nunca mais encontrou.
[05:10:52 - 05:30:52]:  E esta é muito bem contado, é uma história ótima, esta que é um sul-gendrick Kim, é su-cugiana, ela viveu muito tempo em França e que tanto tem uma maneira de contar esta história de uma forma.
[05:30:52 - 05:47:32]:  E hoje em dia é uma das autogas mais prestigiadas, este é o encontro que foi editado pela iguana, um outro livro fundamental chamado "Erva", que vai ser publicado em 2020.
[05:47:32 - 05:52:32]:  E não se lou contrário, essa é daqueles que se lê como nós.
[05:54:12 - 06:02:32]:  O Pedro Machia traz um importante romance grego.
[06:02:32 - 06:32:32]:  Sim, é do mundo dos autores gregos, mais conhecidos, que os casantes aquies, e que fica também muito conhecido porque dois dos seus livros, particularmente esses dois, foram adaptados a cinemas, Orba, o grego, e a última editação de Cristo, que é o nome do filme, do Cicarcesa, o livro chamou a sua última editação.
[06:34:12 - 06:50:52]:  Uma história, ele era um grego de Gregor Tódoque, que não é questionado deste livro, faz topos, o livro no index, etc.
[06:50:52 - 06:54:12]:  E ele é grega tólica também.
[06:54:12 - 07:12:32]:  No fundo é uma história alternativa de Cristo, mas é não alternativa quanto isso, porque o que vai buscar é na ideia de dupla natureza, de Cristo igual,
[07:14:12 - 07:39:12]:  dos outros homens menos no pecado, e portanto vai buscar essa última editação, que é a tentação de ser, não Deus, de ter a última da hora, a última hora decidir que afinal recusava aquilo que estava para ante ele,
[07:39:12 - 08:02:32]:  e portanto, essa a tentação aquilo não serve, mas que ele passa a frente dos olhos, isso tem um metabolismo que também, com o filme do Cicarcesa, mas é um livro religioso muito sério, e que sobretudo como ele diz no profácio.
[08:02:32 - 08:12:32]:  Mostra que esse lá dentro, esse show que é de Rodiveniu e o Mano, onde é os predições dos Cristo.
[08:12:32 - 08:50:52]:  Um Ricardo Raúse Pereira traz uma condicimenta editorial, Carlos sabe que é isto, isto é uma condicimenta editorial, eu tinha assim na lá daqui, o início desta condicimenta editorial, quando sei o primeiro volume que contém o garganto, o pantagruel e o livro terceiro, e agora é o final com o livro 4 e o livro 5, continuá a ser a tradução do Monelo de Freitas, é obra e morredoira de...
[08:50:52 - 08:59:12]:  de François Rabley, e, pronto, e, afelizmente, só tem dois lumes, não, só tem...
[08:59:12 - 09:02:32]:  E eu continuo ali atrás dele, hoje.
[09:02:32 - 09:20:52]:  Aliás, já tenho trazido vários toanciosos pelo volume da Bíblia do Pentateuco, e é o trazer-lo para cá, quando o pessoas foderiam colorence, que agora está entretido com o orácio, depois há de ser entretido através de isto.
[09:20:52 - 09:35:52]:  E isso é como que lui mais uma reina em um semanal, dois ou oito dias, a mesma hora, os mesmos de sempre, também em podcast, Pedro Messias, o Miguel Tavárez, Ricardo Raúse Pereira.
[09:35:52 - 10:24:12]:  [música]
