[00:00:00 - 00:06:40]:  Os livros da Semana têm o Patrocínio Renault ATEC.
[00:06:40 - 00:20:00]:  Está a altura dos livros e outra é a semana um livro com um título difícil.
[00:20:00 - 00:31:40]:  A partida chama-se Regénesis, o objetivo. Neste termo parece um pouco pomposo.
[00:31:40 - 00:40:00]:  A ideia de pormos em prática é um novo genesis, ou seja, um recomeço absoluto.
[00:41:40 - 00:51:40]:  Aquele que está em causa aqui não é exatamente isso. São os danos que a industrial alimentar,
[00:51:40 - 01:05:00]:  está a causar nos ecossistemas e neste ensaio, a propostas para encontrarmos novos modos de alimentar a população mundial,
[01:05:00 - 01:13:20]:  sem um impacto tão devastador no meio ambiente como aquilo que está hoje em curso.
[01:13:20 - 01:26:40]:  Dita assim, e é portanto um ensaio de um ativista aparentemente, mas é bem mais do que isso que explica
[01:28:20 - 01:35:00]:  distingções que o livro tem sentido deste fabricado no ano passado em GLa Terra,
[01:35:00 - 01:45:00]:  ou autorão jornalistas especializados nas questões ambientais que consegue fazer o leitor
[01:45:00 - 01:58:20]:  a entender a complexidade do que está em causa, e mais do que as soluções que propõem,
[01:58:20 - 02:08:20]:  ou que a volta no ensaio que tem como soltivo alimentar o mundo sem desvorar o planeta,
[02:10:00 - 02:20:00]:  é mais mágico, a capacidade de nos fazer perceber que temos um problema pela frente.
[02:20:00 - 02:30:00]:  Metado da superficie habitável, da sua terra, do planeta Terra, está já dedicada à produção de alimentação,
[02:30:00 - 02:40:00]:  agrou a agricultura, está a colonizar o mundo natural, dizimando espécies e, por lindo, os habitados naturais,
[02:40:00 - 02:51:40]:  um problema que os escala têm aumentado de forma exponencial e que explica o autor,
[02:53:20 - 03:01:40]:  tem de ser encarado de frente. Regénos, isto alimentar o mundo sem desvorar o planeta,
[03:01:40 - 03:13:20]:  da Jorge Móbio, a edição da presença. O João Miguel Tavares traz uma história dos portugueses la longe.
[03:13:20 - 03:25:00]:  Sim, é mais um livro do Luis Flipe Más, e sempre que são um livro de Luis Flipe Más vale a pena atracer ele para aqui,
[03:25:00 - 03:35:00]:  ele é um grande estúguido português, e este texto já tinha sido publicado dos notícios,
[03:36:40 - 03:50:00]:  em um caso de espérsios, e o livro Rion dois sensais, um sobre a expansão portuguesa, até o aliente,
[03:50:00 - 04:03:20]:  e o outro propriamente texto Nambanjin, que da titular livro, que já tinha sido uma monografia publicada nos CTT,
[04:03:20 - 04:13:20]:  e que a história da presença portuguesa no Japão é absolutamente fascinante, que durou há 100 anos,
[04:13:20 - 04:21:40]:  até o Japão, o Telefície de Nancria, lá que eles estão, e tem sido uma repressão gigantesca,
[04:23:20 - 04:33:20]:  um extreminho, verilheramente, aliás, se também está no filme Silêncio, para quem quiser ver o filme ou no livro do José.
[04:33:20 - 04:50:00]:  No livro do Endo, depois no filme do Cicorceza, e este Nambanjin também conta aqui numa escrita sempre muito curiosa,
[04:50:00 - 05:03:20]:  e em sais curtos, o que é que é a presença portuguesa no Japão durante esses 100 anos, ali desde 1543, quando nós chegamos,
[05:05:00 - 05:13:20]:  em jende somos nossos portuguesa, e significa barbagos do Sul, e é do Sul, porque é o devinho de Macau,
[05:13:20 - 05:26:40]:  e é uma história absolutamente fascinante de coragem, e para quem acha que os discurbilhamentos foram só aquelas maldades,
[05:26:40 - 05:40:00]:  dos brens ocidentais, para um para lá, aqui tem uma boa oportunidade para corrigir essa impressão, porque não é nada assim.
[05:40:00 - 05:53:20]:  O Permixia traz um autor um pouco conhecido, um pequen editora cheio de puxança.
[05:53:20 - 06:03:20]:  Na verdade, há um dos poetas que tem sido mais fortuna crítica nos últimos anos, e ali há Camínseque,
[06:03:20 - 06:18:20]:  este livro já de 2004, é chamada de Tassar e Odessa, e ele, se é da Omericana, hoje, mas não se chama Ocrania,
[06:18:20 - 06:41:40]:  e este livro é um livro sobre o seu contexto familiar e nacional, que é sobre sua família muito animada e muito movimental,
[06:41:40 - 07:00:00]:  mas também sobre a questão do antísmetismo, e a questão dos poetas e dos escritores que, naquelas partes do mundo, foram sempre, ou quase sempre,
[07:00:00 - 07:20:00]:  pessoas corajosas, falam do Mandelstam, no Brótis, que, em outros poetas. E é um livro, e eu publico com aquele livro depois de ser chamado de Fora Public,
[07:21:40 - 07:35:00]:  também muito recomendável, e é muito curioso que seja uma pequena editora, chamada Coutelo, a publicar isso.
[07:35:00 - 07:48:20]:  Porque, no outro estêmio, seria uma candidatura a pegar num dos poetas mais conhecidos, de linda inglesa dos últimos tempos,
[07:48:20 - 07:55:00]:  por um lado, um momento, mas foi acelado, e foram as pequenas e editoras.
[07:56:40 - 08:13:20]:  Recada-nos para ir atrás, um novo livro de Elia Correia, em que uma parte dos contos que estão publicados, já foram publicados previamente,
[08:13:20 - 08:16:40]:  é um recolhado...
[08:16:40 - 08:35:00]:  É um novo livro de Elia Correia, e um novo livro de Elia Correia é sempre o que é, Carlos, uma condiciment editorial, porque Elia Correia é uma das maiores criatores portuguesas,
[08:36:40 - 08:48:20]:  e a parte dos contos chama "Certas Reis", de facto, alguns já foram publicados no outros sítios, e é já agora,
[08:48:20 - 08:58:20]:  se quer, há jovens que é a primeira vez que contactam com Elia Correia, que é que pode ser um bom, uma boa porta de entrada,
[08:58:20 - 09:05:00]:  através dos contos e depois passar para os romances.
[09:05:00 - 09:13:20]:  Com Elia Correia e com a sua gestão de Ricardo Arroz Pereira, se concluiu mais uma regineira humanal,
