[00:00:00 - 00:08:20]:  Os livros da semana são patrocinados por Cupraléon e Bredo Plaghan.
[00:08:20 - 00:24:10]:  Se está na altura dos livros e eu trago esta semana um livro na sede da Mória da Pandemia,
[00:24:10 - 00:35:00]:  a COVID-19 foi um facto social petal, planetário, ou que quem afirmasse que transformaria a humanidade,
[00:35:00 - 00:43:20]:  que tornaria os seres humanos melhores, acho que já podemos concluir na comunidade de se aconteceu.
[00:43:20 - 00:56:40]:  Agora, tem sido muitas das histórias de grande solidariedade e dedicação que permitiram o combate à doença,
[00:56:40 - 01:05:00]:  nomeadamente por via da vacinação. Aliás, há as as milhaças e outros episódios históricos do mesmo tipo,
[01:05:00 - 01:15:00]:  e é sobre esses episódios históricos que o historiador Britannik Simon Schama se debrouça neste livro.
[01:15:00 - 01:30:00]:  O livro chama corpos humanos, pandemias, vacinas e assaúdidas nações, e o enfoque do autor é o modo como ouve quem se mobilizaça
[01:30:00 - 01:43:20]:  ao longo da história para combater as epidemias, epidemias de peste, colher ou de varila, numa saga científica,
[01:43:20 - 01:55:00]:  nem sempre plenamente reconhecida. É por isso que o nome de Val de Mar afkin é praticamente desconhecido,
[01:55:00 - 02:05:00]:  ela é um dos protagonistas deste livro, e foi ele um heroe esquecido, segundo Simon Schama,
[02:05:00 - 02:18:20]:  o responsável pela primeira campanha de vacinação em massa, uma iniciativa que salvo milhões de pessoas na índia britânica,
[02:18:20 - 02:33:20]:  e que não foi totalmente reconhecida, mas essa é uma das muitas histórias deste livro fascinante.
[02:33:20 - 02:45:00]:  Corpos estranhos, pandemias, vacinas e assaúdidas nações de Simon Schama, edição temas e debates.
[02:45:00 - 02:48:20]:  O João Miguel Tavares traz Mangá.
[02:48:20 - 02:58:20]:  Sim, Mangá, que é a nível da Mangá, ou seja, quem gosta de banda desenhada da japonesa, isto é um acontecimento editorial,
[02:58:20 - 03:13:20]:  para não ser só ouvir. Este não é o que eu gasau, é um dos grandes autores de BD japonesa, e como os melhores autores de BD japonesa,
[03:13:20 - 03:28:20]:  constrói estas obras que são seguis longíssimas, que desdobram por milhares de páginas, mas conseguinte sempre manter o interesse
[03:28:20 - 03:40:00]:  com um grande víctuismo narrativo. Isto é um thriller, é a história do serial killer e do sigur de ang,
[03:40:00 - 03:51:40]:  que não salva na mesa de operações, mas está a descobrir que ela é responsável pela morte de imensas pessoas.
[03:51:40 - 04:06:40]:  E é realmente uma grande história que depois foi adaptada também à animação, e que pela primeira vez está a ser publicada em Portugal,
[04:06:40 - 04:16:40]:  e começa a ser publicada, chama Simon Stur, e é uma edição da devirgo do nao que eu gasau avalim essa pena.
[04:16:40 - 04:35:00]:  - O Pedro M. Cetra Cinema? - Sim, é um livro de uma cineasta, jornalista, feminista, produtor, cineclobista, etc.
[04:35:00 - 04:51:40]:  Ativa nos anos 10 a 30, dos séculos 20, de gemana de Olaque, o livro chama-se o que é o cinema, o Stur, de Chabacetti e Marte,
[04:51:40 - 05:08:20]:  e é um livro muito, que tem aquilo que tinha os textos dessa altura, era o Marte 9, estava toda a gente atiorizado sobre a parte dessa,
[05:08:20 - 05:26:40]:  do grupo de cineastas, Francesa Vanguardista, então discute coisas fascinantes sobre cinema puri, impuro, a liberdade artística, as convenções morais e as convenções energativas,
[05:26:40 - 05:40:00]:  e é mal alguém que está a fazer cinema novo, no Marte 9, e a produzir ideias novas, isso é a fascinante seguir.
[05:40:00 - 05:50:00]:  Agora, o tempo da dana que segue a disclusive responsabilidade do interveniente, que não tem nada a ver com isso.
[05:50:00 - 05:58:20]:  - Espaço agora para mais repugnante falta déticas, é isso? - É muito gente, confiando.
[05:58:20 - 06:10:00]:  - Não tem gente que não tem orgônia de recomendar livros que são editados pelo muderador do programa que tu estás.
[06:10:00 - 06:18:20]:  - Não, não tem orgônia, não tem a faz parte da minha profissão, eu não tenho orgônia nenhuma.
[06:18:20 - 06:31:40]:  - Eu quero recomendar livros, recomendar livros, e portanto, trouxe tudo o catalo da editora, não, não tem um friso, tem um friso.
[06:31:40 - 06:45:00]:  São três livros que venha por pósito desta versão, lá está foram editados, claramente, para fazer em parte do mesmo, da mesma vaga edição,
[06:45:00 - 06:58:20]:  chamo-se na cabeça de repetiramente, na cabeça de Pedro Nuno, na cabeça de Monte Negro, na cabeça de Vento Durel, que vai na cabeça destes três cabecinhas.
[06:58:20 - 07:11:40]:  - E é sobre, basicamente, é sobre o que está na cabeça deles, o que coisas estão na cabeça deles e como é que elas lá foram parar.
[07:11:40 - 07:25:00]:  - Os livros são inscritos do Pedro Nuno pela Ana Salopes, de quem apresou o primeiro ministro de António Costa, gosta muito.
[07:25:00 - 07:31:40]:  - E certo, o farmíso do Palamiquismo, porque tu também tá trabalhando as confiadas. - É, também, trabalho com o filho da Ana Salopes.
[07:31:40 - 07:38:20]:  - É importante, é uma coisa é inacreditável. - Fala da Mavera.
[07:38:20 - 07:50:00]:  - O Victor Matos, indereci, mas creve-nos preços, que é do grupo onde nós estamos. - É o autor do livro sobre a Londra e a aventura.
[07:50:00 - 08:01:40]:  - E o Miguel Santos Carre Patoso, realmente não conhece-se, porque é o único que safa aqui. Não está numa obsessão de Carre Patoso.
[08:01:40 - 08:13:20]:  - Mas gosta de ouvir naqueles podcasts que o observador tem, dá muito jeito. Às vezes os nossos descobrem coisas que me dão jeito.
[08:13:20 - 08:28:20]:  - E é isso, são livros do Teixe até para formar opiniões na esta altura que o venho fazê-lo. - E é uma vergonha.
[08:28:20 - 08:33:20]:  - Acho que vai ver. E é uma vergonha. - E como diga-nos, a gente está lendo a vergonha.
[08:33:20 - 08:41:40]:  - É um escandal de uma vergonha. - E é um escandal e as pessoas não sabem da comissão que eu recebo de fazer este tipo.
[08:41:40 - 08:46:40]:  - Diamante de sintet. - É isso, peraí, peraí, peraí. - É, peraí.
[08:46:40 - 08:53:20]:  - Adiamante, adiamante, adiamante. - Adiamante, adiamante. - Como é que é? Até lá!
[08:53:20 - 09:01:40]:  - Muito obrigado. Fica aqui. - Mano, a gente de vinte, faquem a gente está ouvir que lá em casa.
[09:03:20 - 09:11:40]:  - Está concluída mais de marrinho ao semanal, dois oitias a mesmo hora. - Está para ser saio!
[09:11:40 - 09:23:20]:  - Está com o que é isso? - Está concluída mais de marrinho ao semanal, dois oitias a mesmo hora.
[09:23:20 - 09:35:00]:  E sempre, qualquer hora em podcast, os mesmos sempre, pelo mexia João Miguel Tavázio e Ricardo Rojo Pereira.
[09:35:00 - 10:21:40]:  [risos]
