[00:00:00 - 00:03:20]:  Essescamos aos livros.
[00:03:20 - 00:13:20]:  Os livros da semana são patrocinados por CUPRA LEON e IBRIDO PLAGAN.
[00:13:20 - 00:25:00]:  Creio que muito para o propósito de isto que estávamos a falar
[00:25:00 - 00:35:00]:  outra gasta semana, um livro notável é um livro que eu quis editar, mas que previu para a concorrência.
[00:35:00 - 00:46:40]:  Chamas nesta edição portuguesa, a ditadura adaptada ao século 21, no original inglês,
[00:46:40 - 01:00:00]:  spin-doctor, perdão, spin-dictators, uma pressão difícil de traduzir, mas que quer dizer
[01:00:00 - 01:06:40]:  qualquer coisa como ditadores da manipulação, os autores são dois acadêmicos,
[01:06:40 - 01:15:00]:  um russo, outro norte-americano e numa síntese breve até a central do livro,
[01:15:00 - 01:20:00]:  é de que temos hoje no mundo um novo tipo de autoritarismo.
[01:20:00 - 01:28:20]:  Os velhos ditadores eram sanguinários e não os condião, Hitler, Stalin,
[01:28:20 - 01:35:00]:  Polpoth, Matávon e mandavam matar sem qualquer tipo de subtrefúgio.
[01:35:00 - 01:43:20]:  Entretanto, desde que entramos no século 21, embora ainda há já casos desses,
[01:43:20 - 01:51:40]:  mas no torio é o da dinastia comunista do esquim na Correia de Norte,
[01:51:40 - 02:00:00]:  assistimos ao parecimento de um novo tipo de líder autoritário, o ditador que ganha eleições
[02:00:00 - 02:10:00]:  e que passa a manipular os médios, os temas judicial e a vida pública, em geral,
[02:10:00 - 02:20:00]:  a seu belo prazer. Os casos mais evidentes e mais próximos são os de Putin,
[02:20:00 - 02:30:00]:  lá está na Rússia, Victor Orbán, não em gria, mas há outros, em vários pontos do mundo.
[02:30:00 - 02:38:20]:  E muitos mais em gestação, aspera de vez, é uma nova geração de ditadores
[02:38:20 - 02:46:40]:  que já não chegam ao poder com botas cardadas, mas com pedinhos de lã,
[02:46:40 - 02:55:00]:  para evocar uma velha canção de ser jubidinho. A ditadura adaptada ao século 21,
[02:55:00 - 03:01:40]:  de Sergei Guriev e Daniel Trasmann, edição de Zassocego.
[03:01:40 - 03:10:00]:  O João Miguel Tavarres também traz um fascínura, mas há uma antiga.
[03:10:00 - 03:18:20]:  Sim, sim, um de aqueles fascinos que ainda, porque sema, não pagou em vida por toda a maldade que fez,
[03:18:20 - 03:25:00]:  falo de José Femingela, foi o famoso médico nazido, a usted,
[03:25:00 - 03:33:20]:  famoso por mais razões com as preências horríveis de congemios e pessoas com deficiência
[03:33:20 - 03:38:20]:  e a verdade é que depois de segunda guerra mundial eu reconso que o fugir.
[03:38:20 - 03:46:40]:  E viveu os últimos 20 anos da sua vida no Brasil, onde morreu,
[03:46:40 - 03:55:00]:  pacificamente com o ataque deia que enquanto nadava no margatelântico,
[03:55:00 - 03:58:20]:  numa cidade de Inno State São Paulo.
[03:58:20 - 04:05:00]:  E esta é a história desses 20 anos no Brasil, como é que ele se escondeu,
[04:05:00 - 04:11:40]:  como é que ele conseguiu sobreviver e também depois o que aconteceu depois de sua morte,
[04:11:40 - 04:16:40]:  até ele se identificado. É um livro de uma jornalista brasileira,
[04:16:40 - 04:23:20]:  um bagadilagre chamado Abetin Anton e é editado pela casa das letras,
[04:23:20 - 04:26:40]:  vale-me essa espéia, apenas é uma grande história.
[04:26:40 - 04:35:00]:  O Pedro mecia atrás ideias políticas, com o crédito conservadorismo?
[04:35:00 - 04:40:00]:  Sim, é um livro de uma intrusão ao conservadorismo,
[04:40:00 - 04:45:00]:  Miguel Morgado, Miguel Morgado é muito conhecido pela sua vigimência,
[04:45:00 - 04:50:00]:  nas suas opiniões, mas há muitas pessoas que são vehimentos em serem.
[04:50:00 - 04:56:40]:  Tem vigimência à essa edência da vida, e ele também tem essa dimensão,
[04:56:40 - 05:03:20]:  tem publicado muitos livros, incluindo um anterior sobre conservadorismo.
[05:03:20 - 05:08:20]:  E este livro, na verdade, é um bocadinho mais ambicioso do que o seu título,
[05:08:20 - 05:15:00]:  da Chédendere, é mais do que uma história abreviada ao conservadorismo,
[05:15:00 - 05:21:40]:  mais do que uma intrusão ao conservadorismo, e essa tradição intelectual,
[05:21:40 - 05:26:40]:  é uma discussão sobre três tipos de conservadorismo,
[05:26:40 - 05:35:00]:  é que Miguel Morgado chama o conservadorismo do passado, do presente e do futuro,
[05:35:00 - 05:43:20]:  e que no fundo são o conservadorismo da tradição,
[05:43:20 - 05:48:20]:  que aqui, no mais ou menos, acho que é o conservadorismo,
[05:48:20 - 06:01:40]:  é liberal, individualista, e o conservadorismo, que se pode chamar o conservadorismo do bem como,
[06:01:40 - 06:06:40]:  que é que ele está em a chenção em todo o lado,
[06:06:40 - 06:13:20]:  e ele estuda essas tradições intelectuais, claramente,
[06:13:20 - 06:18:20]:  o Miguel Morgado está mais perto do segundo,
[06:18:20 - 06:23:20]:  eu estou mais perto, na verdade, eu estou mais perto do segundo,
[06:23:20 - 06:28:20]:  mas é o ótimo que as discussões sobre todo o que a galera já não feitas em livros
[06:28:20 - 06:31:40]:  e antes que suas intelectuais.
[06:31:40 - 06:38:20]:  Eu e o João Miguel Tavástros, temos fascínulas, Ricardo Roussperer,
[06:38:20 - 06:45:00]:  traz a memória de uma drogada heroica.
[06:45:00 - 06:51:40]:  Exatamente, este ano se levem os seus 500 anos do Camões
[06:51:40 - 07:00:00]:  e os 50 anos de 25 de abril, aparentemente não há grande interesse em celebrar os 500 anos do Camões,
[07:00:00 - 07:03:20]:  acho que ele é o que se diz agora problemático,
[07:03:20 - 07:06:40]:  mas sim, aguento 500 anos, nada mal,
[07:06:40 - 07:11:40]:  o 25 de abril, os 50 anos de 25 de abril,
[07:11:40 - 07:16:40]:  não sei se a partir de 10 de março, não entemos a vontade de celebrar,
[07:16:40 - 07:23:20]:  espero que sim, este livro, incerce, digamos,
[07:23:20 - 07:28:20]:  nesses espíritos de celebrações, são as fotografias do Alfred Cunho,
[07:28:20 - 07:33:20]:  o grande fotógrafo da revolução, com textos do grande reporte da revolução
[07:33:20 - 07:36:40]:  a de Linn Gomes, mas também de caos de matugomos,
[07:36:40 - 07:41:40]:  matugomos Fernando Roses, e para a face de Luis Pedro Nunes
[07:41:40 - 07:45:00]:  e ainda gravuras de El Chandra Farto,
[07:45:00 - 07:50:00]:  o artista mais conhecido por Víls.
[07:50:00 - 07:53:20]:  E, portanto, é isto, é um grande...
[07:53:20 - 08:11:40]:  - O que é o grande sinta-bril, quinta feira. - Exato, exato.
[08:11:40 - 08:13:20]:  - O quinta feira no domingo que seguinte aconteceram outros ocorrenças que a história não registrou com o mesmo dia.
