[00:00:00 - 00:06:44]:  Esta semana, Ricardo Oro-O-Esperer declara-se fraude o lento.
[00:06:44 - 00:22:20]:  João Miguel Taváres confessa-se "Flor de Lis" e Pedro Mexia sente-se coligado ou desligado.
[00:22:20 - 00:31:20]:  Está reunido o programa que o João Nómo está no legalmente impedido de dizer.
[00:31:20 - 01:02:40]:  [Música]
[01:02:40 - 01:08:10]:  Não sabemos se está a científicamente comprovada.
[01:08:10 - 01:18:30]:  Mas acreditamos que o debate sobralidade em registro satírico impulsionar a mudança de mentalidades
[01:18:30 - 01:23:24]:  e possuá-se a mudança no mundo.
[01:23:24 - 01:32:50]:  Também na Cobra impulsionamos as pessoas a não seguir a multindão e questionar o convencional,
[01:32:50 - 01:41:30]:  a conduzir rumo à ambição, a acelerar ao encontro dos objetivos e cruzar metas,
[01:41:30 - 01:46:50]:  agarrar o futuro com as próprias mãos.
[01:46:50 - 01:55:10]:  Afinal, o que mais nos inquieta é sempre o mais emocionante.
[01:55:10 - 02:07:20]:  Ah, está a científicamente comprovado pelo menos pela Cobra que esta será uma imissão e incrível.
[02:07:20 - 02:10:40]:  Bom programa!
[02:10:40 - 02:16:30]:  [Música]
[02:16:30 - 02:27:20]:  A revive vocês vão bem-vindos no final de primeira semana oficial de campanha para as eleições do Dia de Es.
[02:27:20 - 02:39:00]:  Uma semana em que houve tinta verde, tempo d'antena, um regresso que deu falar e declarações polêmicas.
[02:39:00 - 02:50:40]:  Começamos pelas declarações polêmicas com o Ricardo Raúspera a crescer nisto de 2007.
[02:50:40 - 02:54:00]:  Por causa disso.
[02:54:00 - 03:09:00]:  A forma de nós revertirmos a liberdadeção do lego aborto passará por um referente, por um novo referente,
[03:09:00 - 03:17:20]:  para conseguirmos ganhar com ganhamos em 1998.
[03:17:20 - 03:34:00]:  Devemos ter a capacidade de tomar iniciativas no sentido de limitar o acesso ao aborto e loque seja possível
[03:34:00 - 03:42:20]:  procurar convocar um novo referente no sentido de inverter esta leg.
[03:42:20 - 03:59:00]:  O tema do aborto trazido para a campanha pelo número 2 do CDS e número 4 de AD, Paul Núncio, na sua qualidade nisto de 2007.
[03:59:00 - 04:05:40]:  Ricardo Raúspera sentiu a viajar no tempo.
[04:05:40 - 04:20:40]:  Senti, senti mais novo para doqueçalmente enquanto eu rejuveneço, cresço, um aroma, na fetalina, bastante intenso.
[04:20:40 - 04:32:20]:  Isto é um direto porque ele não diz apenas, vamos tentar revertir a lei do aborto através do novo referente,
[04:32:20 - 04:40:40]:  dizem enquanto não conseguimos fazê-lo, vamos tentar limitar o acesso ao aborto, ou seja, vamos refar nos na lei que já existe,
[04:40:40 - 04:55:40]:  tentando controlá-la fazer dela outra coisa, porque é o que nós queremos, isto é, isto é, basicamente, o Paul Núncio te fez,
[04:55:40 - 05:04:00]:  foi por a bola saltar a frente da baliza aberta, por causa de versar e chutar em lá perdendo.
[05:04:00 - 05:07:20]:  Este é daqueles debates facilitos.
[05:07:20 - 05:20:40]:  É claro que o assunto causou embarasse nas ortidades e esta reação, por parte do líder do CDS no Numelo.
[05:20:40 - 05:35:40]:  Por contar-lo que é que pensa da decoração do seu visto presidente, Paul Núncio, sobre a ansiedade de voltar a fazer um referente sobre o aborto.
