[00:00:00 - 00:10:00]:  Os livros da semana são patrocinados por Cupralenho e Bredo Plaghan.
[00:10:00 - 00:20:00]:  E assim, chegamos aos livros e outra é a sexta semana, um relato na primeira pessoa
[00:20:00 - 00:28:20]:  sobre o que é o regime da dinastia Kim na Coreia do Norte.
[00:28:20 - 00:33:20]:  O autor é japonês, chama-se Massache e Chicaua.
[00:33:20 - 00:41:40]:  Tem agora 76 anos, vive no Japão, mas tem também um nome coreano, do Axan-Sun.
[00:41:40 - 00:51:40]:  Eu teve de fugir e neste livro, fugir da Coreia do Norte, e neste livro explica como e por quê?
[00:51:40 - 01:00:00]:  O pai era coreano, a Mais japonesa, Massache na São no Japão, na esta família
[01:00:00 - 01:11:40]:  e a Mista coreano, a japonesa, e no ambiente pobre, quando tinha 13 anos, o pai de Massache
[01:11:40 - 01:20:00]:  descrito como bruto e alcoólico, obrigou a família a mudar-se para a Coreia do Norte,
[01:20:00 - 01:28:20]:  na expectativa de poderes usufruir do paraíso na Terra, que Kim e o Sons prometia.
[01:28:20 - 01:38:20]:  Estava sem 1960. A vez do prometido para este resto, o que foram encontrar,
[01:38:20 - 01:48:20]:  foi uma pobreza extrema que o autor descreve impidosamente com abundantes relatos
[01:48:20 - 01:58:20]:  dos efeitos da fome e da estáticas para sobreviver a falta de comida, o sufrimento de Massache
[01:58:20 - 02:08:20]:  e quase o levar ao suicídio, mas ao fim de 13 anos, quando já tinha quase 50, riúneos forças
[02:08:20 - 02:16:40]:  e coragem para fugir da Coreia do Norte, e para voltar ao Japão, é essa, fuga
[02:16:40 - 02:26:40]:  em 16 anos que viveu no terível paraíso dos Kim, que este livro relato,
[02:26:40 - 02:38:20]:  ele chama-se um rio na escuridão, a fuga de um homem da Coreia do Norte, Massache e Chicaua,
[02:38:20 - 02:50:00]:  a edição catártica. Os homenagautavares da inicio às cumpurações dos 50 anos de 25 de abril.
[02:50:00 - 03:00:00]:  Já começou antes que esteja o quinto volume de uma coleção chamada o 25 de abril visto de fora.
[03:00:00 - 03:10:00]:  A parte de boa destas comissões de comemorativas de qualquer coisa, neste caso os 50 anos de 25 de abril,
[03:10:00 - 03:20:00]:  é que produzem a obra e deixam limos publicados e através de elas, aprendemos muita coisa.
