[00:00:00 - 00:11:12]:  Esta semana João Miguel Tavarres confessa-se "Lele da Cuca", recardo para os preracentes
[00:11:12 - 00:20:44]:  oulandês, e pedra-mexia de clara-se "mortinho" por perder.
[00:20:44 - 00:30:24]:  Está reunido o programa com os nomes, estamos legalmente impetidos de dizer.
[00:30:24 - 01:10:56]:  [Música]
[01:10:56 - 01:16:04]:  Pode não estar científicamente comprovado.
[01:16:04 - 01:27:28]:  Mas sabemos que a performance faz parte de todas as conversas, seja aqui, é debatir atualidade,
[01:27:28 - 01:31:32]:  ou entre amigos a falar de carros.
[01:31:32 - 01:42:28]:  E quando a cúpria entra na discussão, só se fala no performance fora de série.
[01:42:28 - 01:51:48]:  Então se as mantem todos os estinos e pronta para desafiar qualquer instinto.
[01:51:48 - 01:54:44]:  É adrenalina total.
[01:54:44 - 01:59:52]:  Ah, é típico da performance de um cúpria.
[01:59:52 - 02:07:20]:  Sinta-se, vivo e acelera para onde quiser, seja, ir em do ou elétrico.
[02:07:20 - 02:10:16]:  É sempre iletrizante.
[02:10:16 - 02:19:56]:  Ah, só falta dizer que o episódio que se segue, mantém a performance habitual carregada
[02:19:56 - 02:27:36]:  de bom... bom programa.
[02:27:36 - 02:32:36]:  [Música]
[02:32:36 - 02:42:00]:  Para a viva, sejam bem-vindos no final da semana em que a política portuguesa ficou virada
[02:42:00 - 02:52:04]:  de pantanas, com resultados das eleições de domingo, a AD ganhou a tangente, o PS perdeu
[02:52:04 - 03:02:00]:  mais de 40 deputados e quase meio milhão de votos e o chega coadruplico a representação
[03:02:00 - 03:09:40]:  parlamentária, com este pando de fundo, que o Ricardo Raus Pereira quer ser ministro
[03:09:40 - 03:11:20]:  de tradução.
[03:11:20 - 03:15:00]:  Isso traduz sem que é exatamente.
[03:15:00 - 03:16:40]:  Ricardo Raus Pereira?
[03:16:40 - 03:28:08]:  Ah, é traduz-se no facto de os resultados ileturais estar em aceralvo de interpretação.
[03:28:08 - 03:33:56]:  E essas interpretações são bastante lhes para de vários pontos de vista.
[03:33:56 - 03:40:12]:  E como é que interpreta a descarpância de interpretações, na interpretação?
[03:40:12 - 03:48:32]:  Até porque... mas isso falaremos um pouco mais à frente, eu acho isso também fascinante.
[03:48:32 - 04:06:20]:  Mas, a primeira eu vejo alguma euforia e algum desespero que eu acho que são largamente injustificados
[04:06:20 - 04:08:00]:  ambos.
[04:08:00 - 04:09:40]:  Portanto, vamos lá ver.
[04:09:40 - 04:16:40]:  Em termos de interpretações, há pessoas que dizem assim, olham para este resultado
[04:16:40 - 04:24:24]:  e eleiturais e dizem, nós temos um povo fortemente inclinado post-termismo.
[04:24:24 - 04:35:40]:  É o mesmo povo que há dois anos estava fortemente inclinado para votar no partido socialista
[04:35:40 - 04:39:52]:  a tal ponto que lhe deu uma meréaflote.
[04:39:52 - 04:46:16]:  É exatamente o mesmo povo, de quer dizer, nesses dois anos escalaram pessoas que fizeram
[04:46:16 - 04:50:08]:  18 e algumas que morreram.
[04:50:08 - 04:53:00]:  Os meus dois filhos estavam pela primeira vez.
[04:53:00 - 04:54:40]:  Estaram a ver, ela primeira vez.
[04:54:40 - 04:56:20]:  E a que está explicado.
[04:56:20 - 05:00:28]:  Escalar-se que lá tem um forte inclinação post-termismo.
[05:00:28 - 05:02:08]:  Não, não está a enanar.
[05:02:08 - 05:03:48]:  Não, não, não.
[05:03:48 - 05:20:24]:  Depois, outras coisas giras, por exemplo, uma coisa que tem sido muito dita, e é um
[05:20:24 - 05:26:08]:  virgelão um milhões de votantes, tende-se respeitados.
[05:26:08 - 05:31:16]:  Eu acho que tem, toda a gente tende-se respeitada, né?
[05:31:16 - 05:40:00]:  Um virgelão um milhões de votantes do chega, tenho ouvido dizer, tende-se respeitados.
[05:40:00 - 05:48:32]:  E cinco milhões de votantes que não votaram no chega, se calhar também de entrese respeitados.
[05:48:32 - 05:59:28]:  Portanto, a ideia é que, por ter obtido um virgelão milhões de votos, o chega tem direito
[05:59:28 - 06:01:08]:  a mandar.
[06:01:08 - 06:04:36]:  Ora, não é verdade.
[06:04:36 - 06:12:16]:  Eu acho normal que os dirigentes do chega achem que é assim que a democracia funcionam.
[06:12:16 - 06:16:28]:  Um, 80% dos votantes que não votaram no chega.
[06:16:28 - 06:19:08]:  100% dos votantes não votaram no chega.
[06:19:08 - 06:23:08]:  Rejeitaram aliás, ostensivamente, o chega.
[06:23:08 - 06:31:24]:  Não houve nenhum dos partidos, que não são o chega, que não tivesse dito que rejeitava
[06:31:24 - 06:33:36]:  ostensivamente o chega.
[06:33:36 - 06:40:00]:  Uma das forças políticas da concursa até disse várias vezes.
[06:40:00 - 06:41:40]:  Não é não.
[06:41:40 - 06:45:20]:  O chega parece não compreender isso.
[06:45:20 - 06:52:52]:  Eu ainda não atro de aqui nas circunstências, viu o leitão amaro, com a estado pacientemente
[06:52:52 - 07:00:16]:  a explicar aquele senhor que está ao lado de aventura no Parlamento de Sãoofas X5, que
[07:00:16 - 07:04:32]:  é vencer a dizer, "Zá, tu vai!"
[07:04:32 - 07:12:56]:  Esse senhor que tinha essas funções apenas até agora, vai na televisão dizer que eu também
[07:12:56 - 07:14:36]:  quer governar.
[07:14:36 - 07:23:24]:  E o leitão amaro estava pacientemente a explicar que não é assim que as coisas funcionam.
[07:23:24 - 07:32:52]:  Porque respeitaram, se respeitaram 1,1 milhões de leitões do chega, significa isso.
[07:32:52 - 07:42:04]:  Isso também significa, de respeitar os milhões de votantes, nada, que votaram porque o
[07:42:04 - 07:46:52]:  líder, da a a a a a a a a a, e eles disse, não é não.
[07:46:52 - 07:58:24]:  E, portanto, só faltando essa promessa, é que podia levar o chega pro governo.
[07:58:24 - 08:06:04]:  E depois há outras interpretações também para mim fascinantes, sobre quem compõe os
[08:06:04 - 08:09:16]:  18% do votante no chega.
[08:09:16 - 08:20:12]:  Por exemplo, há pessoas que estão convencidas, de que 100% dos votantes no chega aderem
[08:20:12 - 08:30:12]:  plenamente ao ideário do chega, ao vocabulario do seu líder e ao discurso do seu líder.
[08:30:12 - 08:38:52]:  Ou seja, não concebem que há já quem tenha votado no chega apesar do que o ventura diz,
[08:38:52 - 08:47:40]:  mas toda a gente votou, não entender, destas pessoas votou no chega por causa do que o ventura
[08:47:40 - 08:49:20]:  diz.
[08:49:20 - 09:02:08]:  É a gente apocalíptica, que acha que é uma espécie de variação do básca top de plorables,
[09:02:08 - 09:11:40]:  que faz com que os 18% que chega a agorobotêve, que os de pluráveis, que os de pluráveis e faz
[09:11:40 - 09:22:40]:  com que os de delas entram, que os chega agorobotêve são vitalícios, são votos vitalícios, nos
[09:22:40 - 09:34:00]:  chega e o sistema democrático não pode, não conseguirá nunca reconquestá-los ao contrário
[09:34:00 - 09:43:40]:  do que diz, por exemplo, de hoje, não se sente, que era que estava disponível para o zir, para ir reconquestar,
[09:43:40 - 09:54:24]:  que é como isso funciona, o eleiturado está a espera que as pessoas, os líderes partidários,
[09:54:24 - 10:07:52]:  o persuável, o vocabulario de Miguel Pintelus que diz que é preciso acarignar esses eleitores
[10:07:52 - 10:09:32]:  que votaram nos chega.
[10:09:32 - 10:11:12]:  Que estão a unir.
[10:11:12 - 10:16:08]:  Que é que é que é que é que é que é que é que estão a um bel verbo.
[10:16:08 - 10:21:20]:  Que é que é que é a espécie de falar do vocabulario ou do que ele quer dizer?
[10:21:20 - 10:29:12]:  O que ele quer dizer é que aqueles votantes não estão perdidos, aqueles eleitores não estão
[10:29:12 - 10:30:52]:  perdidos.
[10:30:52 - 10:32:32]:  E escolha de palavras.
[10:32:32 - 10:34:12]:  Espeitar a que é a melhor.
[10:34:12 - 10:39:32]:  É, escolha de palavras sem olhar que ela assim acredito, a que é a melhor.
[10:39:32 - 10:41:32]:  Agora, parece que estão pantalinalistas.
