[00:00:00 - 00:14:00]:  Esta semana João Miguel Tavares declarasse-se meiestro, Ricardo Braux Pereira-Sente-Scanalizador
[00:14:00 - 00:21:32]:  e Pedro Mexia declarasse uma força viva.
[00:21:32 - 00:29:44]:  Está reunido o programa de que toda a gente sabe o verdade da nome.
[00:29:44 - 01:06:24]:  [Música]
[01:06:24 - 01:11:36]:  Pode não estar científicamente comprovado.
[01:11:36 - 01:23:16]:  Mas sabemos que a performance faz parte de todas as conversas, seja aqui, é debatir atualidade,
[01:23:16 - 01:27:24]:  ou entre amigos a falar de carros.
[01:27:24 - 01:38:16]:  E quando a cúpula entra na discussão, só se fala no performance fora de série.
[01:38:16 - 01:46:36]:  Então se as mantem todos os estinos e pronta para desafiar a qualquer instinto.
[01:46:36 - 01:49:56]:  É adrenalina total.
[01:49:56 - 01:54:56]:  Ah, é típico da performance de um cúpula.
[01:54:56 - 02:06:36]:  Sinta-se vivo e acelera para onde quiser, seja irido ou elétrico, é sempre iletrizante.
[02:06:36 - 02:18:16]:  Ah, só falta dizer que o episódio que se segue, mantém a performance habitual carregada de...
[02:18:16 - 02:21:36]:  bom, bom programa.
[02:21:36 - 02:24:56]:  [Música]
[02:24:56 - 02:36:36]:  Para viva vocês vão bem-vindos no final da semana em que se confirmou a indigitação de Luís Montenegro
[02:36:36 - 02:46:36]:  como próximo primeiro ministro, uma decisão para qual foi preciso esperar pela contagem dos votos da emigração,
[02:46:36 - 02:54:56]:  a diferença entre as duas forças políticas mais votadas, a ADI-UPS foi mínima,
[02:54:56 - 03:04:56]:  e entre os imigrantes quem ganhou foi o chega, que ficou com uma bancada parlamentar de 50 deputados.
[03:04:56 - 03:16:36]:  A ADT-80, o PS tem 78, e entre 68 não está o até agora Presidenta Açaembleia da República,
[03:16:36 - 03:33:16]:  o que leva o Pedro Mexia a crescer esta semana ministro do Santos da Casa, que lações retira de rota de Santos Silva,
[03:33:16 - 03:39:56]:  de rota tanto pessoal como política como o próprio admiteiro.
[03:39:56 - 03:49:56]:  Sem dizer, isso é um pouco adundente, toda a toda a gente, uma novela, isso é uma droga de política para natureza.
[03:49:56 - 04:01:36]:  Quanto é pessoal, depende do que quer dizer, porque a gente proteção em sobre as causas da droga?
[04:01:36 - 04:11:36]:  Desde logo foi, sendo que ele vai ter se se voltado, a candidata era um círculo aportado.
[04:11:36 - 04:21:36]:  Por tanto, ele podia ter ido num círculo mais confortável onde a eleição era garantida,
[04:21:36 - 04:28:16]:  mas talvez proteção do ministro de Goaça Estrangeiros,
[04:28:16 - 04:38:16]:  deve ter achado que a sua notoria de junto das comunidades era suficiente para...
[04:38:16 - 04:44:56]:  Foi essa razão para o qual foi a candidata para que o círculo...
[04:44:56 - 04:49:56]:  A prima vez, e dessa vez funcionou.
[04:49:56 - 05:04:56]:  Só que neste momento como força insurgente era um risco, depois atribuiu-se isso a uma vingança dos eleitores do chega,
[05:04:56 - 05:11:36]:  que o desalugaram para o causa da relação.
[05:11:36 - 05:18:16]:  Justamente, a questão da rota pessoal será esta,
