[00:00:00 - 00:08:20]:  Os livros da semana são patrocinados por CUPRA LEO e IBRIDO PLAGEN.
[00:08:20 - 00:21:40]:  Está a altura dos livros e eu trago esta semana um ensai relativamente breve.
[00:21:40 - 00:33:20]:  O Pedro Mexia conhece bem, é o autor do profácio, um livro que é a adaptação de matéz, acadêmico, onde se procuram explicações,
[00:33:20 - 00:41:40]:  pro crescimento fulgurante a direita radical nos últimos anos. O autor é um cientista político português,
[00:41:40 - 00:51:40]:  da Universidade de Óscar de chama-se Vicente Valentin e o livro teve uma primeira versão publicada em língua inglesa,
[00:51:40 - 01:03:20]:  uma versão mais técnica, digamos assim, chamava a normalização da direita radical, mas na esta adaptação português,
[01:03:20 - 01:13:20]:  tem um título que explica bem melhor e de um modo mais claro a tese que nos é proposta aqui pelo autor.
[01:13:20 - 01:33:20]:  O fim da vergonha, ou seja, o argumento central de Vicente Valentin, é que certas ideias e certas oputões políticas não surgiram de repente nos últimos tempos,
[01:33:20 - 01:51:40]:  sem mais nem menos, andam em circulação há muito tempo só que estavam recalcadas, estavam até fora de um diálogo político civilizado até há bem pouco tempo.
[01:51:40 - 02:06:40]:  Com o fim da vergonha, que falou o título, passou a ser possível, exprimir publicamente sem receio de sensores social, opiniões e por suporte políticos,
[02:06:40 - 02:25:00]:  que normalizaram a direita radical. O fim da vergonha de Vicente Valentin, edição gradiva. O João Miguel Tavares traz a versão BD de um grande romance.
[02:25:00 - 02:38:20]:  Sim, sim. Eu tenho que dizer que há muitos livros de BD porque, de facto, vivemos numa altura neste momento, em que a edição em Portugal tem que ter agasido, felizmente,
[02:38:20 - 03:16:40]:  algumas das minhas obras tem necessidade a produzir neste momento. E esta é a adaptação da estrada, o clássico do Cormac MacArthur, pelo Manular Sni, que é um extraordinário e muito político, autor francês, e que, em por exemplo, conheço o trabalho de alguns combates quotidianos, parece simples, você vai ser a mesma pessoa que adapta este livro, ou eles já tinham também adaptado o relatório de Brodac do Flip Clodel.
[03:16:40 - 03:36:40]:  E é uma maravilha, não só, em termos narrativos, como também em termos gráficos, e é um dos certamente mandas grandes edições deste ano, vale-me essa pena, estrada de um LARS-Sni e uma edição da aula dos livros.
[03:36:40 - 03:41:40]:  O Pedro Messia traz uma chave de assist, em temporal.
[03:41:40 - 04:01:40]:  Sim, é um... é o primeiro de quatro volumes dos pontos completos, uma chave de assist, que eu descobri agora que é a primeira edição integral em Portugal, organizado por Amanda Eureis,
[04:01:40 - 04:20:00]:  e já pelo embremato, e que são contos nos conhecidos, mas que eu testar aqui, neste primeiro volume, um dos que eu gosto mais, que você é uma missa do gal,
[04:20:00 - 04:50:00]:  é um escritor imacilmente subtil, e que consegue ser várias coisas ao mesmo tempo, porque completamente carioca, completamente cosmopolita, um pouco britânico, muito pessimista, mas com muito sentido do humor, os contos parecem crónicas, como as crónicas parecem contos,
[04:50:00 - 04:55:00]:  é um dos mais fãs e escritores de língua portuguesa.
[04:55:00 - 05:08:20]:  O Ricardo Raus-Pereira traz dois livros e não apenas um, de dois protagonistas que explica onde é que estavam no fim de 5 de abril.
[05:08:20 - 05:36:40]:  E, escadamente, é isso mesmo, exatamente, são memórias, o Lung chamam-se memórias no evolucionário, do Carlos Antunes, é Isabel Lindin, que era na hora dela, cheio, são duas longíssimas entrevistas transcritas,
[05:36:40 - 06:08:20]:  e por isso está aqui muitas marcas da realidade com a mena natural, as duma não alegre, não, são escritas, há alguns pontos de contacto, por exemplo, o alegre que contactam, para saber quais eram as minhas intenções e hoje pleiquei, tem a ver com a RGL e tal, e, portanto, falam quantos dias?
[06:08:20 - 06:35:00]:  - A partir de uma semana, tem uma próxima quinta-feira, então, assim se concluiu mais uma reunião se semana, de hoje de dia, a mesma hora, já depois de 25 de abril, os mesmos de sempre, Pedro Muxiejo, Miguel Tavars e Ricardo Raus-Pereira, 25 de abril, sempre.
[06:35:00 - 07:21:40]:  [Música]
[07:21:40 - 07:25:50]:  [Música]
