[00:00:00 - 00:07:48]:  Esta semana João Miguel Taváres declara-se de linkwente.
[00:07:48 - 00:20:12]:  Ricardo Brauos Pereira considera-se puro e pedram-mecia do outro lado do Atlântico Centro.
[00:20:12 - 00:30:48]:  Na bolha está reunido o programa que os os nomes estamos legalmente impedidos de dizer.
[00:30:48 - 01:03:16]:  [Música]
[01:03:16 - 01:08:08]:  Não sabemos se está a científicamente comprovada.
[01:08:08 - 01:23:08]:  Mas acreditamos que o debate sobralitado em registro satírico impulsionar mudança de mentalidades e possuávérs a mudança no mundo.
[01:23:08 - 01:36:28]:  Também na compra e impulsionamos as pessoas a não seguir a multidão e questionar o convencional a conduzir rumo à ambição,
[01:36:28 - 01:46:28]:  a acelerar ao encontro dos objetivos e cruzar metas, agarrar o futuro com as próprias mãos.
[01:46:28 - 02:06:28]:  Afinal o que mais nos inquieta é sempre o mais emocionante. Ah, está a científicamente comprovado por menos para culpa que esta será uma emissão incrível.
[02:06:28 - 02:09:48]:  Bom programa.
[02:09:48 - 02:29:48]:  Agora viva vocês um bem-vindos no final de uma semana que voltou a ouvir-se a expressão Jobs for the Boys, com a Santa Casa da Mervila Correta de Lisboa na Berlinda.
[02:29:48 - 02:58:08]:  A semana também no numelo agora ministro da tropa voltou a ter de dar o dito por não dito e foi também esta semana que os partidos entregaram oficialmente as listas de candidatos ao Parlamento europeu, o que faz com que o Ricardo Araús Pereira quer ser desta vez ministro
[02:58:08 - 03:13:08]:  da tática, comprei a ideia de que a nova de junho teremos a segunda volta das legislativas do dia 10 de março.
[03:13:08 - 03:24:48]:  Não compro a ideia de nem uma psicotivéssima, não acho que não há razão para isso, foram há pouco tempo quando há uns paz.
[03:24:48 - 03:34:48]:  Você estava querendo, porque estava cara, mas era um bairro com a expressão comprei a ideia.
[03:34:48 - 03:48:08]:  É certo, isso também, acho que as coisas estão caras de facto, eles nunca fazem para casa naqueles, quando fazem aquilo que acabas.
[03:48:08 - 04:03:08]:  Para ir lá, isto de europeias seria uma segunda volta das legislativas, mas desculpa então, constipado.
[04:03:08 - 04:19:48]:  Obrigado, mas isto é ademaziado, para já são outras eleições, não são outras eleições, não sei se os eleitor já se fizeram a pensar em quem é como um votar.
[04:19:48 - 04:23:08]:  Para se que sim, já sei uma sondagem.
[04:23:08 - 04:38:08]:  É uma sondagem, mas será, as pessoas que votaram, tiveram determinado sentido de votar nas últimas, terão o mesmo nestas, não tem a sustência ou de candidatos, é o que também não vala os mesmos.
[04:38:08 - 04:49:48]:  São outras coisas que estão em causa, se querer não valar os mesmos, as europeias são uma coisa só para a perciadores normalmente.
[04:49:48 - 05:03:08]:  Até há um momento com o que é que se oferece dizer na qualidade de ministro da tática, sobre as movimentações táticas em curso.
[05:03:08 - 05:09:48]:  Eu refiro não tanto das movimentações táticas sobrevamos por um jovem.
[05:09:48 - 05:16:28]:  Aí, aí, põe um jovem e nós vemos por figuras com um curriculum grande.
[05:16:28 - 05:28:08]:  Ah sim, mas nós vamos por uma personalidade de prestigio que é uma espécie de figura totalar do nosso partido.
[05:28:08 - 05:46:28]:  Não tanto é essa tática, isto parece menor mal, mas há uma espécie de pré-interpretação de eventuais resultados que ainda não existem.
[05:46:28 - 06:03:08]:  Se ganharmos e significa que o governo, porém, se o governo ganhar, significa que os portugueses validam os 30 viéis, em que estivemos muito bem a mudar o logótipo.
[06:03:08 - 06:06:28]:  Não tenho certeza.
[06:06:28 - 06:13:08]:  De que isto seja... Acho que é esta ideia.
[06:13:08 - 06:16:28]:  Mas que ele vai funcionar assim.
[06:16:28 - 06:23:08]:  A vejada vontade de arranjá-lo já uma narrativa de internação dos resultados.
[06:23:08 - 06:28:08]:  É isso, e esta ideia de que umas eleições...
[06:28:08 - 06:44:48]:  Mesmo sendo das eleições europeias, são uma espécie de sondagem oficial para a gente ir atomando o pulso à sociedade.
[06:44:48 - 06:53:08]:  Não parece boa ideia. Não parece como extrema.
[06:53:08 - 06:58:08]:  Recebemos o raci-cinio sólido.
[06:58:08 - 07:04:48]:  Esta semana tivemos notícia do primeiro estudo de opinião relativo às europeias.
[07:04:48 - 07:09:48]:  Realizado de planos intercamos para o redor de amanhã.
[07:09:48 - 07:23:08]:  Atribui João Miguel Tavarres, algum significado político ao facto do PSA para ser com 4 pontos percentuais de vantagem em relação a AD?
[07:23:08 - 07:33:08]:  Tem 4 pontos percentuais em uma sondagem e não parece nada muito significativo.
[07:33:08 - 07:44:48]:  É evidente que quando nós colocamos a Marta Temido de um lado, e se você tem um bugalho do outro,
[07:44:48 - 07:53:08]:  se você tem um bugalho, tem que fazer um esforço de reconhecimento muito superior.
[07:53:08 - 08:04:48]:  A Marta Temido é uma figura de dimensão nacional enquanto nesta saúde, sobretudo, na época da pandemia.
[08:04:48 - 08:13:08]:  E foi por isso que ela subiu para o primeiro lugar da lista, quando outras pessoas atrás dela tenham,
[08:13:08 - 08:19:48]:  muito melhor o rico do que ela para este carro específico.
[08:19:48 - 08:23:08]:  Falei se esqueci.
[08:23:08 - 08:33:08]:  Falei se esqueci, por exemplo, o PS também foi atrás da notoria da edade, não foi só o PSC,
[08:33:08 - 08:38:08]:  mas o subasté é um bugalho que tem um caminho ao fazer.
[08:38:08 - 08:41:28]:  É evidente.
