[00:00:00 - 00:06:40]:  [MÚSICA]
[00:06:40 - 00:13:00]:  As administrações dos bancos, maiores ou menores,
[00:13:00 - 00:16:20]:  têm que ter contácticos com o governo.
[00:16:20 - 00:21:40]:  Não podem deixar ter contácticos com o governo.
[00:21:40 - 00:30:00]:  E desses contácticos não têm que sair de relações para o Misco.
[00:30:00 - 00:38:20]:  A agenda de Ricardo Salgado é uma espécie de manual de influência política.
[00:38:20 - 00:45:00]:  Os alicerces da história são construídos ainda na década de 80,
[00:45:00 - 00:53:20]:  quando Mario Suar, convida a família Espírito Santo, a regresar a Portugal.
[00:53:20 - 01:01:40]:  Em 1986, os Espíritos Santo criam um pequeno banco,
[01:01:40 - 01:05:00]:  o Banco Internacional de Cédito.
[01:05:00 - 01:10:00]:  Em 1991 sou beêgida de Cavaco Silva,
[01:10:00 - 01:18:20]:  e depois da alteração legislativa, que permitem reprimir as ações,
[01:18:20 - 01:28:20]:  a família recompra sem oposição o Banco Nacionalizado em 1975.
[01:28:20 - 01:35:00]:  Ricardo Salgado assume o comando do beêg.
[01:35:00 - 01:40:00]:  A dimensão do grupo contribuiu
[01:40:00 - 01:45:00]:  para o aumento número de empresas Portugal,
[01:45:00 - 01:50:00]:  a pesar do grupo ter susobrado,
[01:50:00 - 01:56:40]:  de empresas que seguem a sua vida e estão a evoluir
[01:56:40 - 02:01:40]:  no sentido positivo da economia.
[02:01:40 - 02:06:40]:  Neste podcast, para lá do Relato Fiel,
[02:06:40 - 02:13:20]:  do objeto agenda e das suas causas e consequências,
[02:13:20 - 02:20:00]:  trazemos-lhe pedaços da extraordinária Meta História,
[02:20:00 - 02:25:00]:  que foi esta investigação jornalística.
[02:25:00 - 02:31:40]:  Em seis episódios, vamos desbravar igualmente os sinais
[02:31:40 - 02:41:40]:  que dão contornos ao oculto que fomos encontrar nas trevas de Ricardo Salgado.
[02:41:40 - 02:48:20]:  Eu sou o Pedro Coelho e esta é a agenda de Ricardo Salgado,
[02:48:20 - 03:01:40]:  um podcast sobre 2.268 dias de vida do velho bancário.
[03:01:40 - 03:18:20]:  [Música]
