[00:00:00 - 00:08:20]:  Os livros da semana são patrocinados por Cupralenho e Ibrido-Pleguenho.
[00:08:20 - 00:23:20]:  Bom, vamos aos livros. Eu trago esta semana um livro sobre uma pobre planta perseguida,
[00:23:20 - 00:30:00]:  apesar do consumo já estar parcialmente legalizada, a planta continua a ser...
[00:30:00 - 00:41:40]:  E legal, tal como cultivo, a planta continua a ser ilegal para o recreativo da título da obra,
[00:41:40 - 00:51:40]:  cannabis, maldita e maravilhosa, é um livro de caráter informativo, uma pequena encyclpédia
[00:51:40 - 01:05:00]:  dedicada a... pequena, pelear tudo quase quatrocentas de páginas, dedicadas a o cânimo sobre o qual
[01:05:00 - 01:15:00]:  prevalecem receios infundados e, frequentemente, falta de informação, a jornalista Margarita
[01:15:00 - 01:25:00]:  quer doze de menezes estudar muitos anos este tema, assumem como ativista pela legalização
[01:25:00 - 01:35:00]:  da cannabis e este livro que não é de modo nenhum panfleta entre fesa da erva mostra as mil e uma
[01:35:00 - 01:43:20]:  propriedades de uma planta arrisinha, os aqui ao lado... Então, está arrivo aqui, está arrivo aqui.
[01:43:20 - 01:48:20]:  Fesa da erva. Fesa da erva.
[01:48:20 - 01:55:00]:  Ah, alguma coisa errada nessa população? É, não é, é a formulação de fesa.
[01:55:00 - 02:13:20]:  É, é, ela mostra... propriedades desta planta que, por exemplo, contribuiu decisivamente
[02:13:20 - 02:23:20]:  para a construção das velas e dos cabos com que os navegadores portuguesa atravessaram osciados,
[02:23:20 - 02:38:20]:  portanto, já vem a importância que tem. Com dizia para selso, um filósofo do século 16, a diferença entre o remédio
[02:38:20 - 02:46:40]:  e o veneno está na dose, uma máxima que faz todo o sentido ao falar-se de uma planta que muita gente
[02:46:40 - 02:56:40]:  tia boliza mesmo não conhecendo. Este livro ajuda a conhecer a melhor cannabis, maldita e maravilhosa
[02:56:40 - 03:11:40]:  de margarita, cardoce de menezes, edição oficina do livro. O João Miguel Taváres traz uma investigação sobre o investigador.
[03:11:40 - 03:20:00]:  Ah, não é uma investigação, é mesmo uma espécie da acompanhamento de aquilo que é o seu procurso
[03:20:00 - 03:28:20]:  ao longo de uma vida. É um livro que é escrito por Eduardo Argdamas e também por Teó Filo Santiága, Eduardo Argdamas.
[03:28:20 - 03:35:00]:  É um famoso jornalista da nossa praça, é um grande especialista em questões de distista.
[03:35:00 - 03:43:20]:  E o Teó Filo Santiágo é um grande, agora, estar reformado, foi um grande inspector da Polícia,
[03:43:20 - 03:53:20]:  a gente disse a área e que a partir da avar, o Teó Filo foi responsável para algumas das maiores opressões que marcaram
[03:53:20 - 04:01:40]:  também, em bióticamente do país, como o apitorado, o avarco-nexion e o façoculta.
[04:01:40 - 04:15:00]:  E em particular, em relação ao façoculta, há aqui um resumo e mais informações que eu acho que são muito importantes para compreender.
[04:15:00 - 04:25:00]:  Lá está um tempo em que as instituições estavam se destruídas em Portugal e pouca gente reparava.
[04:25:00 - 04:33:20]:  O incidente vale-me a essa pena e só chega a ter que se afarar as bancas, mas podem começar a fazer filo.
[04:33:20 - 04:41:40]:  Eu pedi-me-se atrás de contos de um autor americano, relativamente um pouco conhecido, mas...
[04:41:40 - 04:50:00]:  Sim, mas muito conhecido, no contexto americano, o Sherwood Anderson, aos anos tenhacido,
[04:50:00 - 05:05:00]:  e de editar-to-car o nível de contos interligados chamado Wines, Eduardo Raio, que é um livro famosíssimo dos Estados Unidos.
[05:05:00 - 05:20:00]:  E ele foi um como assiste, sobretudo um conto isto muito importante, este livro que se amareta na fuluresta, foi publicada em 1933,
[05:20:00 - 05:36:40]:  e tem uma característica curiosa que as personagens são, ao mesmo tempo, muito confiantes de sentido de autónomas e muito pouco confiáveis.
[05:36:40 - 05:53:20]:  E, portanto, elas sabem o que querem fazer, mas é possível que nos estrangem a enganar a nós leitores, isso é muito estimulante, e que é só detrotor do palfaria.
[05:53:20 - 06:01:40]:  E que ele é só chamar a atenção para este editor, que chama Kotel, que é uma pequena editora com um catalo primoroso.
[06:01:40 - 06:06:40]:  Um recaradrou-os para ele, não trazem um livro, é só ver este trasema exposição.
[06:06:40 - 06:11:40]:  E exatamente, é a proposta da exposição, porque é abro hoje.
[06:11:40 - 06:15:00]:  Abro hoje, e durante sexta-feira.
[06:15:00 - 06:25:00]:  Hoje sexta-feira, durante a dia o 8 de setembro, chama-se a animação de guerrilha, é uma exposição de cartunos de aquele...
[06:25:00 - 06:41:40]:  Sepa-me-cartun, aquela... polêmica, a replica da RTP, porque vários destes desenhos fizeram doidoi, as pessoas são dos anos de André Carril,
[06:41:40 - 06:51:40]:  que estina sampaias vão fazer de Thiago Alboquerque, os prigosos que estina sampaias e Thiago Alboquerque, pelo menos estes dois.
[06:51:40 - 06:56:40]:  A gente vai ver um dos mesos, a que estina sampaias.
[06:56:40 - 07:10:00]:  Eles alejaram, alejaram, agrediram barbaramente pessoas com os seus desenhos, com os seus segmentos de reta,
[07:10:00 - 07:21:40]:  e, portanto, talvez as autoridades que... não sei se lembram, mas houve uma autoridade que sequeixou a RTP, confinou para lá, o ministro.
[07:21:40 - 07:28:20]:  Talvez as autoridades devem ser fumar uma como recomendou para a céu.
[07:28:20 - 07:36:40]:  E a sessão é no Museu Brutal.
[07:36:40 - 07:45:00]:  O Museu Brutal, que está concluído a mais uma regina humanal, dois, oito dias, a mesma hora, os mesmos de sempre,
[07:45:00 - 07:51:40]:  também sempre em podcast, apesar de mexer, a João Miguel Tavarci e Ricardo Varauzpre.
[07:51:40 - 08:26:40]:  [Música]
