[00:00:00 - 00:08:20]:  Os livros da semana são patrocinados por Cupralenho e Bredo Pleguen.
[00:08:20 - 00:21:40]:  Está na altura dos livros e esta semana eu trago um livro apropriado à F. Média Literária
[00:21:40 - 00:31:40]:  e acessiná-la na próxima segunda-feira, dia 3 de junho com o Centenario da Morte de França
[00:31:40 - 00:40:00]:  Cáfrica, a relógio de água público recentemente um volume que ri um de todos os textos curtos,
[00:40:00 - 00:50:00]:  contos parábolas e fragmentos do autor do processo, a obra de Cáfrica está disponível em várias edições
[00:50:00 - 00:56:40]:  e em várias editoras, mas Cáfrica é um daqueles autores indesgutáveis,
[00:56:40 - 01:06:40]:  lidos e analisados de forma incansável no último século, um dos grandes interpites de Cáfrica.
[01:06:40 - 01:15:00]:  É o encerrista italiano Roberto Calaço, é dele este livro que acaba de chegar às livrarias,
[01:15:00 - 01:30:00]:  capa um ensaio onde dois dos três rumantes de Cáfrica são lidos à lupa no contexto geral da obra dos Curitores,
[01:30:00 - 01:36:40]:  os rumantes do processo e sobretudo o último o desaparecido.
[01:36:40 - 01:43:20]:  No primeiro portugno, isso chama José F. Capa, no segundo personagem principal,
[01:43:20 - 01:55:00]:  chama simplesmente Capa, daí a escolha do título deste livro, que é uma excelente aproximação à obra do autor,
[01:55:00 - 02:05:00]:  embora a percepõe naturalmente um conhecimento prévio daqueles que Cáfrica escreveu,
[02:05:00 - 02:15:00]:  ainda assim, um livro de uma enorme clareza, mesmo tendo como objeto de analis,
[02:15:00 - 02:30:00]:  um autor que continua como refério próprio ensaísta, a provocar a Encanho Le desorientação, descon certo, estupfação.
[02:30:00 - 02:38:20]:  Capa de Roberto Calaço, publicação das edições 70.
[02:38:20 - 02:48:20]:  Os homenagautavares propõem o último volume de uma novella gráfica que já falou aqui adriarmente.
[02:48:20 - 02:56:40]:  Sim, eu já falei aqui, mas este sei o finalmente ou o último volume, e portanto tinha que o tercero outra vez.
[02:56:40 - 03:06:40]:  Eu pareço que você ir perbólico, mas é mesmo no inicentido, se me perguntasse.
[03:06:40 - 03:21:40]:  Olha, nos últimos 10 anos dizem qual foi a banda desenhada mais importante que tu leste e achas que aquela que tu recomendaria a quem sequer que tu dizia nesta nobre arte.
[03:21:40 - 03:26:40]:  Eu digui sempre que é o árabe do futuro, do reate Satufe.
[03:26:40 - 03:33:20]:  É uma história absolutamente extraordinária, autobiográfica.
[03:33:20 - 03:43:20]:  O Satufe tem a particularidade de ter pássigo e meio francesa.
