[00:00:00 - 00:05:52]:  Os livros da Semana têm o Patrocínio Renault-Etec.
[00:05:52 - 00:27:20]:  Desta vez aliás, muito camunianamente começamos e vamos terminar com o primeiro meu, ainda estamos no âmbito das cumbrações do quinte centenário de municimento de Luís Vás
[00:27:20 - 00:37:40]:  e tem vinda público vários livros de grande utilidade para quem quiser conhecer um pouco melhor
[00:37:40 - 00:58:24]:  aquela que enxamaram o príncipe dos poetas. As criatores abelriu novo, aventuroso no empreendimento arrujado de biografar um poeta de queim praticamente só se conheçam o obra
[00:58:24 - 01:14:12]:  e mesmo assim no caso da lírica com dúvidas sobre aquilo que é e o que não é da autoria de camões, não alguns casos, não se sabam de nasceu, não se sabe quando nasceu
[01:14:12 - 01:41:32]:  e são mais as conjeturas do que os facto de se encontroversos mesmo assim, esta biografia inditulada fortuna, caso tempo e sorte que muito pouco trapa a oficilar ao especialista de camunianos, provavelmente
[01:41:32 - 01:55:48]:  é uma excelente aproximação ao mistério que envolve a vida de Luís Vás de Camões, leste com prazer e proveito, pelo menos no meu caso
[01:55:48 - 02:22:44]:  e expõe-te forma clara as muitas dúvidas sobre a vida do poeta dando o alheitor um quadro amplo, bem documentado sobre a época em que viveu, fortuna caso tempo e sorte biografia de Luís Vás de Camões de Isabel Rio, novo edição contra ponto
[02:22:44 - 02:30:44]:  O João Miguel Taváres suger uma história de homossexualidade em Portugal
[02:30:44 - 02:47:24]:  Se não é bem uma história, eu sou a próximação à homossexualidade, sim, mas a próximação em uma sexualidade funciona sempre, portanto está bem
[02:47:24 - 03:02:20]:  Mas o tema da homossexualidade ao longo da história é realmente um tema absolutamente fascinante e em Portugal eu acho que falta um livro sobre isso
[03:02:20 - 03:23:08]:  Mas existe até alguma investigação acadêmica que depois muitas vezes tem dificuldade da gastos salto para obras que têm um princípio e um fim e capas à volta
[03:23:08 - 03:29:48]:  Ficam apenas a imperefres nas academias, pontaio do desta vida
[03:29:48 - 03:54:20]:  E este livro que tem essa vantagem, por tanto ele recupera oitenseios e juntam-se aqui e esses ensaios têm este tema comum, se chama-se de incidências e resistências homossexuals no século 20 português
[03:54:20 - 04:13:24]:  Ele é organizado pelo António Fernandes Cascais, que estudou muitos anos este sistemas, e é uma edição da letra livre oitenseios sobre a questão da homossexualidade em Portugal ao longo da XX e também em espanha
[04:13:24 - 04:26:28]:  O Pedro Machia traz uma edição de um gênero que invulgar um guião de um tipo de classe
[04:26:28 - 04:41:40]:  O que tem no garíssimo é um argumento de um filme, não é um filme qualquer, é o que ele dizia de Cain, que foi durante anos o cidrado, um melhor filme da história do cinema, que é que isso quer dizer
[04:41:40 - 05:02:08]:  O filme do Orson Welles, que teve uma importância, em 1941, que teve uma importância que todos conhecem em termos dos passos da fotografia, dos planos e tudo mais, da mistura de gêneros
[05:02:08 - 05:16:56]:  Mas também teve uma crena acerca de quem escreveu o que, na relação entre o Orson Welles e o Hermann Manquevix e o irmão do Sinieste de Joseph Manquevix
[05:16:56 - 05:50:32]:  E este editor que chama Poets & Dragon Society publica o guião com notas e contas do Laura Antônio sobre este filme, e é um objeto invulgar, não é muitas vezes que cidadão de gêneros em Portugal e já agora que se começa pelos grandes filmes da história da cinema, como é o caso
[05:50:32 - 06:06:40]:  O Ricardo Arosperer, eu vou lá para fora, lá para onde ele está, mais um livro sobre o Vaz, com 500 anos
[06:06:40 - 06:19:44]:  Não, ainda não é esse, esse é o programa, esse é o programa de "Prol Moral Ingué e Alitatura" e "Rumor Neumonteiro"
[06:19:44 - 06:33:36]:  E já eu recomendo aqui o livro "Rumor Neumonteiro", que é um linguista muito, muito, muito, quer dizer, minucioso
[06:33:36 - 06:44:44]:  Este livro é interacalho de coisas úteis, como apontar os autográficos gramaticales, que não se devem dar
[06:44:44 - 06:58:04]:  Aquela coisa, o "Rumor Neumonteiro" tem aquela característica engraçada de alguns linguistas que é revogendo e às vezes até para coisas que ele diz
[06:58:04 - 07:10:44]:  Eu não gosto de isto assim, via ser outra maneira, por exemplo, a frase, há construções frásicas que ganham em leveza e elegância, quando, por exemplo, se ele citando
[07:10:44 - 07:31:52]:  O filólogo, e por isso, a brasileira Mel Carvalho, chamava Augusto, uma, uma subinização da linguagem, alregando, se ele uma, a semelha, ao grunido daqueles animais que o jacar nessa brosa
[07:31:52 - 07:46:44]:  Mas que o jacar não deve imitar, e por isso, em vez de, não era um homem de duas caras, não era o homem de duas caras
[07:46:44 - 08:00:00]:  Pronto, um linguista, em vez do vaso, com 500 anos, pra semana virá o vaso, trocou umas voltas, o Ricardo da Roja Pereira
[08:00:00 - 08:15:32]:  E está concluído mais de uma reunião semanal, 2 ou 3 dias, a mesma hora, e a qualquer hora, em podcaço, os mesmos de sempre, pedram de chia, João Miguel da Vars, e Ricardo da Roja Pereira
[08:15:32 - 08:19:24]:  De novo, pra semana, lá fora
[08:19:24 - 08:48:44]:  [Pa こんどめ]
[08:48:44 - 09:16:16]:  [Música]
