[00:00:00 - 00:09:54]:  Essa semana, recarderá-os Pereira desta vez à distância de Clara e nao ditado.
[00:09:54 - 00:25:10]:  João Miguel Taváres sentiu-se escutado e pedre-me-sia considera-se papável.
[00:25:10 - 00:33:50]:  Está reunido o programa que o Jornal mostramos legalmente impedidos de dizer.
[00:33:50 - 01:05:30]:  [Música]
[01:05:30 - 01:12:10]:  Então, muito bom dia! Como foi a sua semana? Boa! Boa!
[01:12:10 - 01:15:30]:  Mais um episódio, mais uma pasta.
[01:15:30 - 01:20:30]:  E desta vez assumimos uma muito carida dos portugueses.
[01:20:30 - 01:25:30]:  A pasta da quantidade.
[01:25:30 - 01:32:10]:  Porque para nós não há limites, queremos sempre mais. Sempre fomos assim.
[01:32:10 - 01:40:30]:  Desde os tempos dos descobrimentos na procura por novas terras, ao Euro, com a construção de 10 novos estádios.
[01:40:30 - 01:47:10]:  Isto para não falar na quantidade de retundas que existem, recorde mundial com certeza.
[01:47:10 - 01:57:10]:  E no número de novos radars que estão sempre a ser instalados nas estradas portuguesas.
[01:57:10 - 02:03:50]:  Parece a raspadinhas. Sempre que alguém raspa ali o limite de velocidade, pimba.
[02:03:50 - 02:10:30]:  Dinheirinho para o estado. Mas somos assim em tudo, não é, potes. Até no que os cuidam portuguesa,
[02:10:30 - 02:13:50]:  quanto mais quantidade na travessa melhor.
[02:13:50 - 02:22:10]:  E é por isso que errinou tem mais de 50 concessionários pelados para o país,
[02:22:10 - 02:28:50]:  para satisfazer esta necessidade dos portugueses, de quantidade,
[02:28:50 - 02:33:50]:  mas acima de tudo da qualidade, claro.
[02:33:50 - 02:40:30]:  O que tem também muita qualidade é o programa que se seca.
[02:40:30 - 02:43:50]:  Por isso, bom programa!
[02:43:50 - 02:53:50]:  [Música]
[02:53:50 - 03:03:50]:  Para viver vocês vão bem-vindos no final de uma semana, em que o António Costa esteve na Berlinda,
[03:03:50 - 03:13:50]:  por o que pode vir a ser e por aquilo que disse e foi escutado e agora tornado público.
[03:13:50 - 03:20:30]:  A vemos de falar disso daqui a pouco, disso e das questões judiciais que o caso levanta.
[03:20:30 - 03:30:30]:  E falaremos também da crise política na madera com as ameaças de novas eleições,
[03:30:30 - 03:38:50]:  as junais no horizonte, as terceiras em menos de um ano se vierem a concretizar.
[03:38:50 - 03:48:50]:  Mas por agora, os João Miguel Tavares quer tomar posso como ministro do filho
[03:48:50 - 03:53:50]:  e ver nisso também em aplicações para o país, João Miguel Tavares.
