[00:00:00 - 00:09:04]:  Esta semana, Ricardo Oroos Pereira ainda ao longe de Clara S. Esclarcedor.
[00:09:04 - 00:16:32]:  Pedro Mexia, Cento, Republi, Cano.
[00:16:32 - 00:23:52]:  E João Miguel Taváres confessa-se por no gráfico.
[00:23:52 - 00:33:52]:  Está reunido o programa que o Juno estamos legalmente impedidos de dizer.
[00:33:52 - 01:04:16]:  [Música]
[01:04:16 - 01:09:28]:  Pode não estar científicamente comprovado.
[01:09:28 - 01:15:56]:  Mas sabemos que a performance faz parte de todas as conversas.
[01:15:56 - 01:24:44]:  Seja aqui, é debatir atualidade o entre amigos a falar de carros.
[01:24:44 - 01:35:40]:  E quando a cupra entra na discussão, só se fala no performance fora de série.
[01:35:40 - 01:45:00]:  Então se as mantem todos os estinos e pronta para desafiar qualquer instinto.
[01:45:00 - 01:52:52]:  É de na linda total, é de típico da performance de um cupra.
[01:52:52 - 01:56:52]:  Sinta-se vivo e acelera para onde quiser.
[01:56:52 - 02:03:40]:  Seja irido ou elétrico, é sempre eletrizante.
[02:03:40 - 02:08:52]:  Ah, só falta dizer que o episódio que se segue,
[02:08:52 - 02:19:56]:  mantém a performance habitual carregada de bom programa.
[02:19:56 - 02:25:48]:  [Música]
[02:25:48 - 02:28:12]:  Para a vivação, sejam bem vindos.
[02:28:12 - 02:33:40]:  No final de uma semana marcada por um certo debate,
[02:33:40 - 02:40:04]:  de que falaremos mais adiante, uma semana também em que o silêncio
[02:40:04 - 02:47:00]:  de procuradoras de raio pública voltou a ser questionado.
[02:47:00 - 02:52:44]:  E em que também foi questionada a forma como decorreu
[02:52:44 - 02:56:36]:  a audição para lamentar a mãe da Gémias,
[02:56:36 - 03:03:24]:  los obrazilairas do antes, na comissão de incérito criada
[03:03:24 - 03:08:20]:  para esclarecer o caso de uma legada cunha no SNS.
[03:08:20 - 03:13:00]:  De que, a pouco falaremos disso e outros assuntos,
[03:13:00 - 03:16:04]:  mas, por adoro João Miguel Taváres,
[03:16:04 - 03:20:36]:  que é ser ministro dos sete meses e meio.
[03:20:36 - 03:27:40]:  Isso parece muito tempo ao um período breve, João Miguel Taváres.
[03:27:40 - 03:34:36]:  Ok, existe depende muito do parecer que nós temos na atividade que estamos a praticar.
[03:34:36 - 03:39:00]:  Chega-se quer a ser período de gestação?
[03:39:00 - 03:43:24]:  Não, não chega, mas na verdade sim.
[03:43:24 - 03:49:00]:  Foi gerado um novo presidente.
[03:49:00 - 03:50:40]:  Sério mesmo, é.
[03:50:40 - 03:53:00]:  O meu peu e ele se está tão feliz.
[03:53:00 - 03:58:28]:  Sério mesmo, foi o tempo que decorreu.
[03:58:28 - 04:03:08]:  As bolistas temporais aqui são a admissão de António Costa,
[04:03:08 - 04:07:32]:  a nível nacional, dizendo que, provavelmente,
[04:07:32 - 04:12:20]:  não voltaria a exercer nenhum cargo público.
[04:12:20 - 04:25:48]:  E a escolha esta semana de Costa para um importante cargo europeu.
[04:25:48 - 04:29:32]:  O que é que mudou no entretanto?
[04:29:32 - 04:36:20]:  O meu lugar deixa-me dizer que esta é uma das histórias mais felizes da política portuguesa
[04:36:20 - 04:40:52]:  que eu tive para fazer de ver ao longo de uma minha vida.
[04:40:52 - 04:46:20]:  Porque a única coisa que fez foi criar felicidade à sua volta.
[04:46:20 - 04:49:40]:  E isso não é habitual.
[04:49:40 - 04:57:24]:  Eu já explico por que mas cria de qualquer forma dizer que se alguém
[04:57:24 - 05:02:24]:  um dia se lembrar da Tegübira, o Oscar de
[05:02:24 - 05:09:32]:  político com o rabo melhor apontado à Lua
[05:09:32 - 05:12:36]:  e ele deve ir para António Costa.
[05:12:36 - 05:15:08]:  Porque isto é realmente extraordinário.
[05:15:08 - 05:17:16]:  Mas ainda bem que foi assim.
[05:17:16 - 05:20:52]:  Mas está a recuperar para mim os aula.
[05:20:52 - 05:22:36]:  Como agora se diz.
[05:22:36 - 05:23:16]:  Sim.
[05:23:16 - 05:24:56]:  Ficou de momento.
[05:24:56 - 05:38:00]:  Ou simplesmente a ser ironico em relação a aquilo que se se deu neste processo?
[05:38:00 - 05:40:28]:  Não, eu não estou nada a ser ironico.
[05:40:28 - 05:43:56]:  Por há um lado de niste que é divertido.
[05:43:56 - 05:48:20]:  Exatamente pela questão que tu começaste por colocar.
[05:48:20 - 05:53:48]:  É bom recordar aos portugueses que ainda não se lembram que
[05:53:48 - 06:03:32]:  acho que há 7 meses e meio António Costa tinha acabado de sair do Governo.
[06:03:32 - 06:15:20]:  Foi uma maioria absoluta e ele disse que com grande probabilidade e deixem
[06:15:20 - 06:22:24]:  sublinhar o grande probabilidade não volta a exagcer.
[06:22:24 - 06:24:04]:  Carres públicos.
[06:24:04 - 06:25:44]:  Por que?
[06:25:44 - 06:29:08]:  Porque ele dizia "bom, a exista aqui uma operação em influência.
[06:29:08 - 06:36:24]:  Já sabe que a justiça é lenta e portanto, primeiro é que este processo de despachar.
[06:36:24 - 06:40:00]:  É uma senhoração, é a entioria de minha razão.
[06:40:00 - 06:42:24]:  Não, ela entioria de minha razão.
[06:42:24 - 06:49:56]:  Mas repara quando nós temos muito a vontade das coisas acontecem.
[06:49:56 - 06:57:08]:  Não é que o caso de António Costa esteja propriamente resolvido, é o simplesmente.
[06:57:08 - 07:00:28]:  - É um livro com o mundo.
[07:00:28 - 07:03:48]:  - E seu segredo não é...
[07:03:48 - 07:05:28]:  - O segredo?
[07:05:28 - 07:11:44]:  - Onde não se escupem e não me vão dizer que depois tudo que aconteceu
[07:11:44 - 07:17:24]:  ao longo deste sete meses e meio que António Costa não esteve alego se
[07:17:24 - 07:24:04]:  segredo e que aquilo não funcionou, porque claramente funcionou e reparem.
[07:24:04 - 07:33:08]:  António Costa fez feliz, a pouco começar, Luís Montenegro, que sem isso não
[07:33:08 - 07:39:48]:  seguiu aos primeiros ministros.
[07:39:48 - 07:46:28]:  Estar guia a penar durante mais de mais de um deze anos, espera de ser...
[07:46:28 - 07:48:08]:  - O grande aventura.
[07:48:08 - 07:55:04]:  - O líder do secretário do PES está mais feliz da aventura.
[07:55:04 - 08:03:56]:  É bem verdade, mas também fez feliz a justiça portuguesa neste momento.
[08:03:56 - 08:10:48]:  Este foi uma ótima notícia para a justiça portuguesa, porque para todos a feites, a
[08:10:48 - 08:19:52]:  que a gente já classificou como o Parágrif mais idiota da história da justiça portuguesa,
[08:19:52 - 08:25:56]:  que faz que ir um governo aquilo tudo despremido e ainda ninguém percebeu se há
[08:25:56 - 08:28:12]:  ali alguma coisa... - Estapuada.
[08:28:12 - 08:29:52]:  - Com a panela de pressão.
[08:29:52 - 08:34:52]:  - Exato, não, contra António Costa, aparentemente.
[08:34:52 - 08:40:36]:  Parece que não ouvir assim mesmo nada de especial e a justiça está...
[08:40:36 - 08:48:52]:  O Popó, ele pômenza, rejou um grande taxa, que até o taxa dos seus chantes está
[08:48:52 - 08:51:48]:  felicíssimo, Marcelo Bélgiosson.
[08:51:48 - 08:59:52]:  Aliás, Marcelo Bélgiosson foi a maior cheir líder da António Costa, o que ele estava
[08:59:52 - 09:08:16]:  cada metesia que ele era um político extraordinário e conseguiu, Aliás, ele disse,
[09:08:16 - 09:15:36]:  "Ele é uma alegria", disse a pouco tempo, Marcelo, e o Popó António Costa não é que
[09:15:36 - 09:24:24]:  se achava, não vai ter mais nada e de repente está na sua cadar de sonho.
[09:24:24 - 09:29:00]:  Isteto, de tão bom, quase parece ser uma tigua da conspiração.
[09:29:00 - 09:37:00]:  Eu não acho que aquilo tenha acontecido, por causa de ter não se admitiu, acho eu,
[09:37:00 - 09:48:40]:  a pensar nesta coisas, mas olha, tudo encaixou e foi uma das histórias mais lindas da política.
[09:48:40 - 09:50:20]:  - Um, bravo.
[09:50:20 - 09:52:48]:  - O arranjo é seducional.
[09:52:48 - 09:55:00]:  - Sim, com as mãos, olha assim.
[09:55:00 - 09:58:20]:  - Pra cá, mardois.
[09:58:20 - 10:07:20]:  O arranjo é seducional, para os mais altos cargos da União Europeia, junto a desta vez,
[10:07:20 - 10:15:52]:  não apenas como era tradicional, até aqui conservadores e sociais democráticas, mas também
[10:15:52 - 10:27:16]:  desta vez liberais,pesar de que o trino de figueiredo ter sido um opolitor declarado, um dos
[10:27:16 - 10:36:20]:  mais vocais contra a admissão da António Costa, mas os liberais europeus apoiaram, no que
[10:36:20 - 10:47:24]:  significada que atribui pedrem que a esta necessidade de aluramento do acordo a mais uma força política.
[10:47:24 - 10:56:16]:  Significa que o arco do governante de São Paulo é cada vez mais estreitinho, por tanto que a tem mais vier a melhor, né?
[10:56:16 - 11:05:46]:  Neste momento não é só os conservadores e os celistas mais orgiosos, né?
[11:05:46 - 11:10:08]:  Não, não é só? E também o que tem a entender é entrar nos vertes, né?
[11:10:08 - 11:12:48]:  Ou seja, basicamente…
[11:12:52 - 11:30:52]:  O comercialmente os conservadores da Meloni, ou os covandarleian, portanto em certo sentido,
[11:30:52 - 11:40:20]:  também acabam por fazer parte um bocadinho da solução.
[11:40:20 - 11:47:58]:  E esses estão com um pé em cada lado, estão com um pé no PPI, com um pé fora, né?
[11:47:58 - 12:00:12]:  Isto é a questão, como se diz em inglês, eu era o sético essofete.
[12:00:14 - 12:01:54]:  É muito.
[12:01:54 - 12:11:56]:  Mas isto não se é a tempo mais complicada na arquitetura europeia?
[12:11:56 - 12:18:34]:  Não se temos complicados na substância de não me donar, ou seja,
[12:18:34 - 12:31:18]:  são os partidos mais votados que fazem um arranjo entre eles, que deviden, que deviden a comissão e o conselho.
[12:31:18 - 12:40:50]:  Portanto, não me donar significativo, então a gente ouviu que a gente foi escolhida pelas casas evidentes
[12:40:50 - 12:47:34]:  dos anos que foi o primeiro ministro, as boas agulações que teve com vários lidas.
[12:47:36 - 12:54:16]:  E porque, por que, por que, o senhor não está tudo normal?
[12:54:16 - 12:57:38]:  Por que você não se desorpeu?
[12:57:38 - 12:59:18]:  Por que você não se desorpeu?
[12:59:18 - 13:12:38]:  Por que as pessoas, sobre todos os celistas, estejam muito contentos, eu não tenho numa objeção substancial,
[13:12:38 - 13:24:18]:  mas convenha dizer que, então, no qual você vai substituir esse culoso que é Charles Michel, portanto,
[13:24:18 - 13:30:58]:  é faz que ir para ser a presenta comissão da educa-seio e da comissão também.
[13:31:00 - 13:41:00]:  Mas, já eu fiquei da presenta comissão, não é muito alta, mas eu acho que, António Costa,
[13:41:00 - 13:51:02]:  naquela lógica de o que ele sabe fazer é negociar, é do Tabi Chirora para uma coisa, mas...
[13:51:02 - 13:57:42]:  Ao longo da semana, há pergunta mais vezes repetir a respeito da escolha de António Costa,
[13:57:42 - 14:01:04]:  foi o que Portugal ganha com este eleição?
[14:01:04 - 14:07:46]:  Será que ganha alguma coisa, chegou alguma conclusão a este respeito que cardera hoje para ele?
[14:07:46 - 14:12:48]:  A sua reflexão a ilestriora?
[14:12:50 - 14:22:50]:  Pois de azacar, eles é facil, em Portugal ganha a prestigious, como sempre Portugal tem prestigious,
[14:22:50 - 14:31:12]:  os outros países da Europa, vou parecer que eles têm qualidade de vida, têm um salário mínimo,
[14:31:12 - 14:41:12]:  que é superior a nosso salário médio, mas prestigious não têm, o prestigious é sempre para nós.
[14:41:12 - 14:54:32]:  Eu acho que nos falta apenas arranjar uma maneira, havia um livro chamado "Milio Marceitas de Bacalhau",
[14:54:34 - 15:04:34]:  eu acho que havia haver um que é milio Marceitas com prestigious, quando não dinha que a gente conseguia comer o prestigious,
[15:04:34 - 15:14:36]:  combatatas, prestigious no forno, como arroz, eu acho que isto melhora bastante.
[15:14:36 - 15:24:36]:  Eu, se deve dizer que fazendo das nêlogias deste caso, eu não queria acreditar,
[15:24:36 - 15:32:58]:  porque, a primeira vez que eu ouvi falar ao ministro, foi o presidente da República,
[15:32:58 - 15:41:18]:  logo a seguida, aceitar a demissão do primeiro ministro,
[15:41:20 - 15:48:00]:  para considerar que não tinha condições políticas para ser primeiro ministro.
[15:48:00 - 15:56:20]:  Eu disse, mas agora tudo se conjugou a campana, por senão do consenio europeu.
[15:56:20 - 16:11:22]:  Portanto, a mesma pessoa tinha aceitado uma demissão, porque o domicionário não tinha condições políticas para ser primeiro ministro,
[16:11:22 - 16:23:02]:  estava entusiasmado com a possibilidade de eu poder ser presidendo do consenio europeu e o perceio, não deve haver algum engenho.
[16:23:04 - 16:29:44]:  É da lógica recarda, para ser daquela lógica, é mal empregada para Portugal.
[16:29:44 - 16:39:46]:  Só sei isso, só sei isso aqui, é mal empregada, incompreender de cá, mas muito valorizado lá fora.
[16:39:46 - 16:48:06]:  Entregamos ao João Miguel Tavares, aposta de ministro dos sete meses e meio,
[16:48:06 - 16:56:28]:  o Pedro Messia, quer ser, desta vez, ministro da carta Lucilia,
[16:56:28 - 17:04:48]:  o filósofo humano Seneca, um estoico, escreveu as famosas cartas a Lucilia,
[17:04:50 - 17:13:12]:  e eu digo no século primeiro antes de Cristo, neste caso de quem é o estoisismo Pedro Messia.
[17:13:12 - 17:23:12]:  É dos portugueses que aguentam impáveres e serem nos, tudo o que acontece, esta...
[17:23:12 - 17:34:52]:  Lucilia Gago, procurador a Já da República, continua a ser desafiada publicamente a dar explicações, nomeadamente,
[17:34:52 - 17:46:32]:  sobre as fugas de informação no caso de influência, fugas até em que o portogomista foi António Costa,
[17:46:34 - 17:53:14]:  poró pelo líder socialista, fez o nome de Santos exigiu esta semana, embora,
[17:53:14 - 17:59:54]:  é já as semanas explicações, é embora o caminete da procurador a taniritar a RTP,
[17:59:54 - 18:09:56]:  que não há nada a crescentar, que responsabilidades para usar as pessoas no peço de nome de Santos,
[18:09:56 - 18:19:56]:  que responsabilidades pode Lucilia Gago virar a assumir, se se descusar a falar.
[18:19:56 - 18:28:16]:  De sua segunda propria já disse nenhuma, ela já teve uma frase, a seguida é um coloque, ou a não sei de quê,
[18:28:18 - 18:38:20]:  dizer que não se senta responsável, é por causa de nenhuma, claro que tinham, quando está isto mais de uma frase fico,
[18:38:20 - 18:50:00]:  eu não consigo perceber que seja quem for que tem um cargo relevante na sociedade portuguesa,
[18:50:00 - 19:03:20]:  ela é tive ou não judicial, clicar ou outros, e saberem as muitos dos casos que nós falamos no programa,
[19:03:20 - 19:15:00]:  e de que se fala na imprensa nos últimos meses e anos, não percebo que uma pessoa que está nesse cargo
[19:15:02 - 19:25:04]:  tenha attitude de não vou dizer nada sobre nada, não tem nada a comentar, processos inicial, não dig nada,
[19:25:04 - 19:30:06]:  medidas do governo, não vou comentar isso,
[19:30:06 - 19:35:06]:  - Com a informação? - Com a informação, não vou tentar,
[19:35:06 - 19:48:24]:  seja que eu for, não percebi attitude de membros da igreja durante a questão dos abusos chequeuais, não percebi
[19:48:24 - 20:00:04]:  parte de silêncio quando o governo não quer nem falar sobre coisas que incomodam,
[20:00:06 - 20:15:08]:  sobre dissenções internas, percebo que estão sejam diplomáticas, ou diplomáticas que escolham onde e com quem falam,
[20:15:08 - 20:30:08]:  que possam preferir falar por escrito, comunicar por escrito agora, que não digam nada sobre um assunto que toda a gente fala,
[20:30:08 - 20:40:08]:  e que no caso português levou, por exemplo, a queda de governos nascionais e regionais,
[20:40:10 - 20:56:52]:  a processos de estadão que, por exemplo, visto que não tem sequência ou não tem conclusão relevante,
[20:56:52 - 21:13:32]:  mas a grande novela das fulgas de informação, que desta vez conseguiu, por nos pássipúblico,
[21:13:32 - 21:21:52]:  uma questão que não tem relevância criminal, mas tem evidentemente muita relevância política,
[21:21:54 - 21:40:16]:  e por tanto, isso é revenena a própria possibilidade de usarmos isso, ou não, não faunaia, a coedade à prova inquinada, não discursou,
