[00:00:00 - 00:06:40]:  Os livros da semana são patrocinados por novo com pra León.
[00:06:40 - 00:25:00]:  Com este canal "Torres dos Livros", eu trago esta semana um romance inquietante que reflete bem o ar do tempo,
[00:25:00 - 00:41:40]:  uma distopia política, o livro chama-se "Cancão do Profeta", o autor Paul Lindes ganhou com ele o prêmio Men Booker do ano passado,
[00:43:20 - 00:53:20]:  de Correneira-Landa, onde um governo autoritário, sobre o que não temos grandes promedores,
[00:53:20 - 01:03:20]:  instaura a Lemarsial, cria uma polícia secreta e começa a aprender todos os que usam protestar.
[01:03:20 - 01:16:40]:  Acompanhamos esse processo, pelos olhos de uma cientista,
[01:18:20 - 01:36:40]:  com quatro filhos depois do desaparecimento do marido dela, um sinicalista que participou na organização de uma manifestação não autorizada.
[01:36:40 - 01:53:20]:  Vamos seguindo o relato do Desmuro Nara, da vida de Alice, a protagonista, e a forma seca, como os é apresentado,
[01:55:00 - 02:13:20]:  o acontecimento é o motor da angustia congseleste, um romance que esperemos que não seja o próprio profético, apesar do título,
[02:13:20 - 02:33:20]:  tudo se passa num futuro próximo, não sabemos ao certo quando, mas a fazer a coar no leitor ameaças muito atuais em vários lugares do mundo,
[02:35:00 - 02:51:40]:  a cânção do profeta de polintes edição relógio de água. O João Miguel Taváres suger um ensaio também com o seu quede de estupia.
[02:51:40 - 03:05:00]:  Bom, infelizmente, é uma de estupia que já chegou. O Jonas Anáite é um importante psicólogo americano,
[03:06:40 - 03:21:40]:  que ele trabalha a psicologia humana numa perspectiva moral e também política, e ele acho que foi muito falado também,
[03:21:40 - 03:31:40]:  está atracado de idade em português chamado Amente Justa. E esta geração ansiosa que saiu agora pela Dom Quichote,
[03:31:40 - 03:55:00]:  aborda com uma profundidade e uma seguida que me parece bastante lovar, aquilo que é um dos temas que mais angustia, sobretudo os papás de adolescentes entre os quais eu,
[03:55:00 - 04:16:40]:  eu incluo os pais da chamada "Jagação Z", ou seja, não é a geração que tem telemóvel, que descobre que telemóvel, mas a geração que chegou à adolescência já com reto sociais e com smartphones.
[04:16:40 - 04:43:20]:  E oite chama isso a grande reconfiguração da infância, ou seja, eu laxe aqui a mesma mudança significativa em alguns aspectos dramática na cabeça dos nossos adolescentes, com causa disso.
[04:43:20 - 05:03:20]:  E que tem um vindo a causar um grande de crescimento na qualidade da saúde mental dos adolescentes. E isto é muito bem analisado e ao mesmo tempo,
[05:03:20 - 05:23:20]:  também tem sustões do que os pais mais ou menos desesperados podem tentar fazer, não sei se é muito praticável, por exemplo, só para dar um exemplo, uma das medidas é reto sociais, só o partido dos 16 anos,
[05:25:00 - 05:43:20]:  mas vale em mença penaleira e é muito fundamentado, está cheio de números e chudes e factos, e eu aconselho a todos os pais preocupados com o máximo de dias, menos de a geração ansiosa.
[05:43:20 - 05:53:20]:  A geração ansiosa, o peso mexido traz um ensaio também bastante adequado ao ar do tempo.
[05:53:20 - 06:01:40]:  O ar do tempo se enxema se sobrania popular, ao nível de diopinzoorealitat, pelo amor, sobre a dia popular.
[06:03:20 - 06:16:40]:  O do preso de além dos outros coisas é tradutor e especialista no maior filósofo quase português, o espinosa.
[06:16:40 - 06:33:20]:  E este livro, que é um livro mais que investiga mais estes conceitos, como o Subaní Popular, o povo, a vontade de gerá-la, etc.,
[06:35:00 - 06:55:00]:  que é o lado da filósofo e a circuncidas, mas curiosas e desenvolvidas, é interessante que estes conceitos são em grande parte teológico,
