[00:00:00 - 00:06:08]:  Agora que estamos na Rantrei e a falar de livros e leitura,
[00:06:08 - 00:14:52]:  pedrem o Sia que é a cinatura de Jornais e jornalistas com a cinatura.
[00:14:52 - 00:20:56]:  João Miguel Tavars andá à procura de bíblia-liografia
[00:20:56 - 00:30:12]:  para tentar perceber por que o país continua frustrado e na cauda da Europa
[00:30:12 - 00:40:52]:  e Ricardo Roas-Pereira descobriu uma obra que explica o que nos faz tremere.
[00:40:52 - 00:50:44]:  Está reunido o programa que os dos nomes estamos legalmente impedidos dizer, mas que vocês sabem qual é.
[00:50:44 - 00:59:24]:  Ao vivo, no Museu do Oriente, em Lisboa, não encontro book2.0.
[01:26:36 - 01:35:40]:  Nem sempre é fácil saber qual é a emoção que nos aceleram por ação
[01:35:40 - 01:43:08]:  e a ligação estão intensas que não nos deixam de ver mais nada.
[01:43:08 - 01:50:12]:  É um apego exagerado, é uma emoção extrema.
[01:50:12 - 02:00:52]:  E é mesmo isso que faz sentir quando o novo cupra fermentor ir passará frente dos olhos.
[02:00:52 - 02:09:32]:  É uma obsessão placer imbeose-prefeita entre design e tecnologia.
[02:09:32 - 02:20:44]:  É gaya frontal renovada e imponente as novas antes, a luz infinita atrasaira.
[02:20:44 - 02:26:24]:  Cada promenor em lupo no seu pensamento.
[02:26:24 - 02:30:44]:  É por obsessão.
[02:30:44 - 02:42:36]:  Quase tão intensa como esta entre si e o podcast, cujo nome já todos sabemos.
[02:42:36 - 02:45:56]:  Bom programa.
[02:49:16 - 03:01:40]:  Para viver vocês são bem vindos, esta é uma sessão especial do programa que os nomes estamos legalmente impedidos dizer,
[03:01:40 - 03:03:40]:  uma emissão ao vivo.
[03:03:40 - 03:08:12]:  Obrigado a todos a nossa presença.
[03:08:12 - 03:17:32]:  Estamos no Museu do Oriente em Lisboa, no ámbito do encontro book2.0.
[03:17:32 - 03:27:32]:  Agora na segunda edição, uma iniciativa da AAPL, a Associação Portuguesa de Torres de Oliveiraeiros,
[03:27:32 - 03:34:12]:  para debater os desafios do livro e da leitura desta vez.
[03:34:12 - 03:44:36]:  A política fica entre parênteses, mas continuamos a termo ministérios e os ministros do costume,
[03:44:36 - 03:50:20]:  permecia João Miguel Tavarze e Ricardo Goura O Espreida.
[03:50:20 - 04:02:20]:  Como sempre, aqui, há mais avantado para falar de livros ou da trica política, Ricardo Goura O Espreida.
[04:02:20 - 04:05:40]:  O Carlos, ela viva.
[04:05:40 - 04:07:20]:  Bom dia.
[04:07:20 - 04:12:20]:  Eu digo que a sério, o que a minha poli-volência é...
[04:12:20 - 04:14:00]:  É conhecida.
[04:14:00 - 04:28:52]:  Eu acho que consegue ser, sobsocientemente, desinteressante em ambas áreas, mas às vezes,
[04:28:52 - 04:38:40]:  os livros e a trica política, juntam-se, como daquela vez, nós a se lembram em que o passos
[04:38:40 - 04:46:40]:  coelho ainda não era a primeira ministra e deu uma entrevista a tentar fingir que era uma pessoa
[04:46:40 - 04:57:12]:  culta e disse que, quando era desde muito cedo, senti só pela reflexão Filho Zófica e lembravasse
[04:57:12 - 05:04:12]:  porque é um desafio de ser, de ser, de ser, de ser.
[05:04:12 - 05:09:52]:  E depois eu achei que pra ele disse assim, se a gente só que esse livro não existe.
[05:09:52 - 05:18:04]:  É o céu, os filinos, o concepto filino...
[05:18:04 - 05:20:52]:  Sim, exatamente, do Chopé.
[05:20:52 - 05:32:24]:  Eu acho que não pouco de livros nos passos públicos, que mesmo que o livro seja inventado,
[05:32:24 - 05:38:44]:  eu acolho com alegria, com o verso.
[05:38:44 - 05:46:04]:  É que a leitura deve ter encarada como um assunto político, Pedro Messia.
[05:46:04 - 05:56:04]:  Quer dizer, a leitura individual não é um assunto político, mas o acesso à leitura é
[05:56:04 - 05:57:44]:  um assunto político.
[05:57:44 - 06:06:16]:  O haver condições para que as liberrinhas existem, não é um assunto político.
[06:06:16 - 06:09:40]:  O preço do livro é um assunto político.
[06:09:40 - 06:14:20]:  O ensino da literatura é um assunto político.
[06:14:20 - 06:20:04]:  Depois há uma parte não política que é a pessoa em casa com um livro alete.
[06:20:04 - 06:25:40]:  Também pode ser político, mas pode não ser.
[06:25:40 - 06:37:20]:  Mas todas as condições que permitam que as pessoas tenham acesso às livros, não
[06:37:20 - 06:49:04]:  sou político como é constitucionalmente vestipulável, para as partes, as atribuições,
[06:49:04 - 06:57:32]:  nos órgãos de soberania que as pessoas tenham acesso à cultura e me tanto ao livro.
[06:57:32 - 07:05:16]:  Não estranha a condição em que temos aqui o Pedro Messia, desta vez, os ouvintes do podcast,
[07:05:16 - 07:13:32]:  não estão a ver, mas, de braço ao peito, o balanceou um liberocentemente e a quantidade
[07:13:32 - 07:21:20]:  de autógrafos que teve de dar, acabou por ilusionar o poeta.
