[00:00:00 - 00:08:20]:  Os livros da semana são patrocinados pelo novo Cooper formentor.
[00:08:20 - 00:20:00]:  Esta semana, Ricardo Raúxpreira declara-se o Líventino.
[00:20:00 - 00:31:40]:  Pedro Mexia senta-se atrasado e João Miguel Taváres confessa-se ilícito.
[00:31:40 - 00:41:40]:  Está reunido o programa, cujos nomes estamos legalmente impedidos de dizer.
[00:43:20 - 01:11:40]:  [Música]
[01:11:40 - 01:21:40]:  Nem sempre é fácil saber qual é a emoção que nos aceleram por ação.
[01:23:20 - 01:33:20]:  A gente tem que as ações tão intensas que não nos deixam viver mais nada.
[01:33:20 - 01:41:40]:  É um apego exagerado, é uma emoção extrema.
[01:41:40 - 01:51:40]:  E é mesmo isso que vai sentir quando o novo Cooper formentor ele passará à frente dos olhos.
[01:51:40 - 02:01:40]:  Ele uma obsessão plasioses perfeita entre design e tecnologia.
[02:03:20 - 02:16:40]:  A luz infinita atrasaira, cada promenor em lube no seu pensamento. É por obsessão.
[02:16:40 - 02:28:20]:  Quase tão intensa como esta entre si o podcast, cujo nome já todos sabemos.
[02:28:20 - 02:33:20]:  Um programa.
[02:33:20 - 02:41:40]:  [Música]
[02:43:20 - 02:58:20]:  Os viva-sejam bem-vindos no final de uma semana trágica em que os incêndios mataram e devastaram uma grande área florestal no norte e no centro do país.
[02:58:20 - 03:05:00]:  A maior área ardida desde a tragédia de 2017.
[03:05:00 - 03:13:20]:  Avem-nos falar disso e da resposta política à situação de calamidade mais adianta.
[03:13:20 - 03:25:00]:  Também passaremos plama-deira com desenvolvimentos nas suspeitas de corrupção que envolvem o governo regional.
[03:26:40 - 03:33:20]:  E vemos a olivência, claro, por uma questão de patriotismo.
[03:33:20 - 03:43:20]:  Mas antes de mais começamos em Lisboa, com Ricardo Raúse Pereira, acreditou-se ser ministro dos painéis.
[03:43:20 - 03:50:00]:  E foi ao fundo da questão, não teve a oportunidade para isso.
[03:50:00 - 03:56:40]:  Foi rápido, porque a questão também não é muito fundo. Não é assim.
[03:56:40 - 04:01:40]:  Não é uma questão de magna que são as ações que eu prefiro.
[04:03:20 - 04:23:20]:  O momento de ser refusca na Assembleia Municipal de Lisboa, um desentendimento, tanto como protagonistas, aportado a municipal Maria Escaja e o presidente da Altarquia Carlos Muedas.
[04:23:20 - 04:38:20]:  Carlos Muedas diz que está refém do contrato assinado pelo Numa Nato Tantrior, mas a localização foi decidida pelo executive dos 9 tempos,
[04:38:20 - 04:48:20]:  tal como foi noticiada ainda ontem pelo Semanário Espresso, que em suspeitos de estar refém das tremas que era radical.
[04:50:00 - 05:03:20]:  Ao culpar, reentradamente, o antiguio escutivo, Carlos Muedas Mente, e mentimos a nós, se idade aos eleitos aqui presentes,
[05:03:20 - 05:21:40]:  momento à população de Lisboa e eu peço de senão presidente, explique-nos do porque é do ter feito, porque que não são as responsabilidades, as suas as do seu escutivo e porque que nos tentem ganar.
[05:21:40 - 05:31:40]:  - Senhor Presidente, eu queria só aqui uma defesa da Wongha. - Quanto respondo, não, eu queria só aqui uma defesa da Wongha.
[05:33:20 - 05:48:20]:  - Senhor, está a chamar um mentiroso, e por que dê o perdido agora não respondrei a mais de Numa pergunta de bloco de esquerda e vou retirar da sala enquanto estiver a bloco de esquerda para lá.
[05:48:20 - 06:13:20]:  - Boa tarde a todos e a toda existe, sem dúvida, também acho que uma boa demonstração da capacidade de responder as festas que foram colocadas, e aquelas que vão surgir também, não é portanto?
[06:18:20 - 06:58:20]:  Vamos ouvir a deputada, senhores e senhores deputados, ou mentem, senhores e senhores deputados, os trabalhos, senhores e senhores deputados, os trabalhos vão suspender por cinco minutos.
[06:58:20 - 07:41:40]:  - Os trabalhos tiveram de ser interrompidos, até porque a Presidente em exercícios, a Assembleia Municipal, este vapeira de Pradeira Vos, os ánimos tiveram de ser calmar, como é que viu Ricardo Aúges para este incidente e a reação de carlos moedas à intervenção da deputada municipal do bloco de esquerda.
[07:43:20 - 08:06:40]:  - Ainda esta semana, a política autarquica brasileira envolve o arremesto de uma cadeira. - E isso são uma educia de bocas que não chegam a produzir estrago nenhum.
[08:08:20 - 08:28:20]:  - O presidente de carlos moedas, apesar do contrato destes painéis ter sido assinado pelo risco de Ivan Trior, foi o risco de carlos moedas que negociou os painéis e tal.
[08:28:20 - 08:41:40]:  - O casmoedas ficou sendo adicido por esse negociado. - O exocutivo anterior, e é assinado por um atual.
[08:43:20 - 09:00:00]:  - O que esteve presente nisso, e depois, o casmoedas sempre teve responsabilidade nisso, e o que ficou os queadíssimo com a presença dos painéis.
[09:00:00 - 09:16:40]:  - Pai-neis que é o próprio tinha. Assinado, depois acontece uma coisa que eu não me lembro de ter visto em política, que é um adversário político e dizer a outro.
[09:18:20 - 10:01:40]:  - Eu fiquei evvarado com este algo que nós chegamos, imagínense. E depois, então, o carlos moedas, provavelmente pelo iniditismo, da acusação de se bom voar, passaram a entrar e sair, que é para não ouvir o que o bloco de esquerda diz, porque as coisas que eles fazem em doido é aos ovidos e eu não quero estar aqui para descutar.
[10:03:20 - 10:21:40]:  - Sisto se acusaram o adversário político que se tem rementido, passa a valer, desculpa quando se eu falar ou saio, eu acho que toda a gente vai falar para salas vazias.
[10:21:40 - 10:31:40]:  - Partidae, a gente vai falar para salas vazias do que o proponho é. E é que este painéis se mantanham onde estão.
[10:31:40 - 10:50:00]:  - Desde que seja só para emitir reuniões da Assembleia Municipal de Lisboa, porque aí não há o prigo dos automoblistas se destrair, e ninguém em princípio traço sobre o desiste de se verificar.
[10:51:40 - 11:01:40]:  - Eu também vou falar para salas vazias e produção é apenas um amphitiatro com cadeiras e uma pessoa a falar...
[11:01:40 - 11:10:00]:  - São amphitiatros com cadeiras, as souvenhaças aqui que aconteceu no Brasil.
[11:10:00 - 11:20:00]:  - Estas estão assim, tão presas que não vão chamar o Roma, não? Não, não saem que eu não saio dele.
[11:20:00 - 11:25:00]:  - Estão presas, eu estou mais já lá estivevo. - Eu já atentei a ir de ir de ir de ir de ir.
[11:26:40 - 11:40:00]:  - Não, não se consegue, a gente calma que a dera chama-se toda a gente já tem que ir. E conseguir tirar ali a sustância desta controversia sobre painéis para visitar em Lisboa, vão caltar vazias.
[11:40:00 - 11:46:40]:  - O Ricardo, os pagadores já expliquem o momento que você tem em causa.
[11:46:40 - 12:13:20]:  - O casmé das coloca uma pós-institucional a dizer realmente isto foi, foi ele colocou assim na turga final, mas de digamos assim um contrato que a JCD coda, que já estava combinado e que já havia ainda anterior a administração.
[12:15:00 - 12:23:20]:  - Mas já como for quanto se coloca uma assinatura, a responsabiliza este lado assinatura que se coloca.
[12:23:20 - 12:36:40]:  - Mas o ponto nem é isso, eu tenho admite que os moedas têm ótimas razões para se indignar, não faça ideia nem que conheço o caso, ou te tale.
[12:36:40 - 12:51:40]:  - Agora é como o Ricardo diz, que a palavra me entira. E depois nós vivemos numa fase de esceva vigilância das palavras.
[12:53:20 - 13:08:20]:  - E quem que estuma seguir percensível é a esquerda, é realmente a esquerda que está sempre a ser ofendida neste momento de 2024.
[13:08:20 - 13:26:40]:  - Comvém que não seja de repente que as moedas que está lá pela mão do PSD entrar também nessa terrível mania.
[13:28:20 - 13:46:40]:  - Mas como diz o Ricardo que é muito pouco democrática de essas palavras agora afeta-me, não é? Que o que se chamou se não flake em língua inglesa, não é?
[13:46:40 - 14:00:00]:  - O bolinha de neve e que derrete maluvo uma palavra feia, que não é isso que a gente quer na política.
[14:01:40 - 14:18:20]:  - O senhor que está colocou gózas com carros moedas bebendo bolões de nele e não se lembre do Inaleno.
[14:18:20 - 14:23:20]:  - Acho que sim.
[14:23:20 - 14:28:20]:  - É pelas vias respiratórias, não é?
