[00:00:00 - 00:13:10]:  Esta semana Ricardo Oro Espreira em serviços terno declara-se secretário João Miguel
[00:13:10 - 00:25:10]:  Tavares sente-se cheio e pedra-me-se com feças rescaldados.
[00:25:10 - 00:33:30]:  Está reunido o programa que os namos estamos parvamente impedidos de dizer.
[00:33:30 - 01:06:50]:  [Música]
[01:06:50 - 01:15:10]:  Nem sempre fácil saber qual é a emoção que nos aceleram por ação.
[01:15:10 - 01:23:30]:  E há ligações tão intensas que não nos deixam ver mais nada.
[01:23:30 - 01:30:10]:  É um apego exagerado, é uma emoção extrema.
[01:30:10 - 01:40:10]:  E é mesmo isso que vai sentir quando o novo cupra formentor ele passará a frente dos olhos.
[01:40:10 - 01:48:30]:  Ele uma obsessão plasimbiose perfeita entre design e tecnologia.
[01:48:30 - 01:53:30]:  É grelha frontal renovada e imponente.
[01:53:30 - 02:10:10]:  As novas jantes alusem infinites da traseira. Cada promenor em loop no seu pensamento. É por obsessão.
[02:10:10 - 02:21:50]:  Quase tão intensa como esta entre si e o podcast, com o juno-me já todos sabemos.
[02:21:50 - 02:26:50]:  Bom programa.
[02:26:50 - 02:33:30]:  [Música]
[02:33:30 - 02:50:10]:  Para a vida, vocês vão bem-vindos no final de uma semana em que ficamos a saber quem será o próximo procurador geral da República.
[02:50:10 - 03:05:10]:  Em que se fez o arsical político dos incêndios, em que o presidente da Câmara de Lisboa pode ter colocado o governo em Apurus.
[03:05:10 - 03:20:10]:  Em que se voltou a falar das presidenciais com, como se dizem bom português, com o outsider na polposition.
[03:20:10 - 03:33:30]:  Mas o assunto da semana faz com que o Ricardo Raújo Pereira crescer ministro do date.
[03:33:30 - 03:41:50]:  Também já adriu o Ricardo a língua de Shakespeare e Taylor Swift.
[03:41:50 - 03:53:30]:  Ou esse date é uma forma verbal o nosso verbo dar.
[03:53:30 - 04:08:30]:  E se é uma mistura das duas coisas, Carlos. Foi um date que podia ter em que alguém podia ter vivido o date e acaba pronundar nada.
[04:08:30 - 04:11:50]:  Mas acho que vamos falar mais sobre isso.
[04:11:50 - 04:50:10]:  Sim. No caso, estamos a falar, a respeito deste date, de um rendezvous para um flirt parece que pode vir resultar em casamento ou que tem condições para mais do que um namorico sem conseguir.
[04:50:10 - 05:01:50]:  Neste momento é difícil dizer, Carlos, e eu estou com essa ficar parte do jogo de solução.
[05:01:50 - 05:26:50]:  O date que estamos a falar é um date que tem a ver com o encontro de que tantos se falou ao longo de toda a semana política, a reunião entre a Lisboa e o Nego.
[05:26:50 - 05:43:30]:  E, peso no no cento, para discutir em uma forma de viabilizar o orçamento do estado para o ano que vem.
[05:43:30 - 06:00:10]:  E a pergunta que se impõe depois de tudo o que se ouviu ao longo da tarde é quem vai ser o banana da sala.
[06:00:10 - 06:08:30]:  A sala nem chega, gosta de ser o banana da sala.
[06:08:30 - 06:18:30]:  A banana es disponível aí onde está para salvar a situação, Ricardo.
[06:18:30 - 06:36:50]:  Eu não parei nenhum, mas eu comprei a relutância em ser o banana da sala, mas o banana em qualquer a sua olhada.
[06:36:50 - 06:55:10]:  Não sei se isso está ao alcohense do André Ventura que parece esta semana e vai votar contra o orçamento.
[06:55:10 - 07:10:10]:  No momento em que falamos, o andré Ventura vai votar contra o orçamento ou traparmos aquela fase em que ele iria votar a força de avesso, refriendo sobre a imigração.
[07:10:10 - 07:30:10]:  E a outra fase em que ele disse que procurava para todos os mais evitar uma clípica, portanto, voltámos ao votar contra irrevigávelmente o orçamento.
[07:30:10 - 07:45:10]:  Por outro lado, o PS diz que o PSD é injusto, desigualmente, da medida do IRC e do IRS.
[07:45:10 - 07:55:10]:  Jovem e o PSD diz que o PS é inflexível e radical.
[07:55:10 - 08:05:10]:  E eu to forte no jogo, Carlos, eu prefrei... Digamo o resultado no fim.
[08:05:10 - 08:23:30]:  Eu nem sei se quer ver o resumelagado porque tem demasiadas peripécias, perforia ver o resumel no fim. Eu também acho que comentadores políticos são uma mal opção para fazer o comentário a isto.
[08:23:30 - 08:38:30]:  Eu gostava de ver críticos de teatro a falar sobre todo este avanço de arco e recursos sobre...
[08:38:30 - 09:10:10]:  Quem é que fez a melhor saída dramática, quem é que disse como é este vivimento, que nunca na vida votaria contra, tão ansioso que no fim, que isto chegou a fim, que a gente sabe o resultado.
[09:10:10 - 09:35:10]:  Não vai votar este orçamento, isto qual?
[09:35:10 - 09:58:30]:  Não sei se sentiu como banana na sala, sentiu excluído da conceção do orçamento, pretendo que o governo vá até este documento fora e ainda esmença-se para a outra.
[09:58:30 - 10:03:30]:  Mas qual documento? A questão que é que não há documento nenhum, né?
[10:03:30 - 10:11:50]:  É, agora não foi entregado. Não quero o orçamento estar feito, não existe.
[10:11:50 - 10:16:50]:  Exatamente. Eu já que for o que está feito, eu não quero.
[10:16:50 - 10:41:50]:  Ainda continua a apostar o João Miguel Davarge de uma forma ou doutra o orçamento acabará a postar aprovado, evitando-se novas eleições, ou já começa a ver no horizonte, o cenário de crise política que andrei aventura promete tudo fazer para evitar.
[10:41:50 - 10:51:50]:  Eu já não apostava o meu dinheiro em que o orçamento vai passar, de todo.
[10:51:50 - 11:10:10]:  Eu sei que a minha parte dos comentadores é garantido que sim, nós aqui também se quer já garantimos, não faça a ideia. Eu já que já era mais entusiasco da ideia.
[11:10:10 - 11:26:50]:  Eu já esqueci-me de uma semana para outra as coisas que eu digo. Não é o único, não faço pública, mudar de opinião de uma semana para outra.
[11:26:50 - 12:06:50]:  E há uns que esforçam para os esconder, mas é os regalmente só me esquece mesmo. E, neste caso, eu não me parece que o que aconteceu hoje seja apenas Business as Geo João. Não, foi apenas uma nova modulação, que é uma palavra que está na moda, uma nova modulação daquilo que já tinha sido definido.
[12:06:50 - 12:40:10]:  Pedra num santo que colocou-se numa posição de tentar claramente empurrar Luís Montenegro, ou pós braços dos chega. Aliás, as pessoas concentraram muito nas medidas que ela riscava e nas medidas que é o propõe, mas antes de, na conferência de imprens antes de falar desses temas,
[12:40:10 - 13:03:30]:  ele deixou claro que havia de facto dos alternativas que era o orçamento do PS, que o PSD podia negociar com o PS, ou o orçamento que o PSD podia negociar com o chega, como quem diz, se não gosta desde este prato, há-lo em um senhor olato que serve diferente.
[13:03:30 - 13:18:30]:  Mas este senhor, pelo nome de sante, não quer de tudo, mas de tudo fazer-lo em uma tentativa da aproximação.
[13:18:30 - 14:00:10]:  A coisa em que ele tem razão, sério que não é a riesce jovem, está cheio de razão, é uma medida que não parece nem de queira da nem de direito, acho que é só uma medida tonta, por que é esse tal lugar acho que até Luís Montenegro já fazem um favor aí acabar com ela, porque é uma medida muito, muito cara e que, pouquíssima gente atifenta, não sei onde é aventura, o que possivelmente não é a bonidade.
[14:00:10 - 14:25:10]:  - E muito pouco a gente vai adoncear dela e depois ninguém, para mim, já falamos disso aqui, porque essa parte de eu procurou, não sei bem o que acontece às pessoas, dos 35-16 anos que passam a te aplicar ou imposto, não.
[14:25:10 - 14:30:10]:  São coisas absurdas, agora, por exemplo, a questão do IRC.
