[00:00:00 - 00:10:50]:  Os livros na semana são patrocinados pelo novo SUV Coupé 100% ilérico, Coupre-Tava-Ascà.
[00:10:50 - 00:24:10]:  De chegarem a uma salta de os livros, eu trago esta semana um livro dedicado a uma das situações
[00:24:10 - 00:35:00]:  mais terríveis dos nossos dias. São como explica o suntito Luençaio sobre Isrelia e a Palestine.
[00:35:00 - 00:45:00]:  O autor é um dos grandes escritores, talvez o mais reconhecido dos escritores realita vivo, David Grossman.
[00:45:00 - 00:52:30]:  E neste conjunto de textos muito recentes, alguns deles escritos já este ano,
[00:52:30 - 01:00:50]:  é que o agrito algo desesperado, um pedido ajuda a comunidade internacional,
[01:00:50 - 01:10:50]:  mas, como é, o SEOS, será que os estados com interesse e participação no conflito de creve de David Grossman.
[01:10:50 - 01:21:40]:  Não veem que Isreel e os polestinianos já não são capazes de salvar-se por si próprios.
[01:21:40 - 01:32:30]:  O livro chama "O curação pensante", é uma expressão retirada do diário de Martyr, Eti e Ele sumo
[01:32:30 - 01:44:10]:  que morreu em Aoshevitz, onde dizia crescer o curação pensante do campo de concentração inteiro,
[01:44:10 - 01:54:10]:  mas o melhor resumo do estado de espírito de David Grossman, que este livro revela em contrâmolo
[01:54:10 - 02:07:30]:  numa anodota, o Judeus e a Comédia, que Ele conta a certa altura a história de um homem que durante a guerra do Vietnam
[02:07:30 - 02:17:30]:  e a todas as sextas feiras sozinho para a frente da Casa Branca, empunhando um cartá de protesto,
[02:17:30 - 02:27:30]:  até que um dia um jornalista repara nela e vai perguntar-lhe, mas acha mesmo que vindo para aqui com esse cartá,
[02:27:30 - 02:37:30]:  todas as semanas vai conseguir mudar o mundo, ao que o manifestante surpreendido responde,
[02:37:30 - 02:50:50]:  mudar o mundo, não, não tenha a menor ilusão de mudar o mundo, que era apenas certificar-me de que o mundo não muda a mim.
[02:50:50 - 03:02:30]:  O curação pensante em saios sobre a polestina e Isreel, a Contrálria e Elias, em saios sobre Isreel e a polestina,
[03:02:30 - 03:15:50]:  David Grossman, edição Don Quixote. O João Miguel Tavar, traz a biografia de um homem que realmente mudou o mundo.
[03:15:50 - 03:24:10]:  Mudou o mundo, nós na semana passada falamos aqui no Home Nivro Macron, e eu disse que já não há napulhões,
[03:24:10 - 03:35:50]:  e, entre tanto, saiu em português, em blísima hora, também pelo Don Quixote, a biografia com Andy Roberts,
[03:35:50 - 03:47:30]:  escreveu um par de anos sobre o napulhão, é uma biografia, absolutamente extraordinária, já tinha uma biografia,
[03:47:30 - 03:57:30]:  também magnífica, soube o Churchill, e, e, e, que dizer, o que dizerem aqui, este tem um daqueles calho maços,
[03:57:30 - 04:10:50]:  que nós lemos como se fosse um romance, nunca é borcido, é sempre divertido, e é realmente uma daquelas personagens que se criou,
[04:10:50 - 04:22:30]:  assim próprio, como se costuma dizer Bigger than Life, e que tinha uma capacidade prodigiosa para dividir
[04:22:30 - 04:37:30]:  a sua assistência em caixas mentais, e ela era capaz de, durante o dia, estar com mandar uma batalha e anoitas julgar,
[04:37:30 - 04:50:50]:  porque, se ele não gostava tanto dele como eu gostava, e isso é um livro magnífico, eu não posso recomendar o mais,
[04:50:50 - 05:02:30]:  e uma biografia mais fiavel que o filme de Ridley Scott, sim, sim, muito mais fiavel, que o PES do filme de Ridley Scott,
[05:02:30 - 05:15:50]:  então, eu pensei atrás um grande poeta polaco, sim. Um grande poeta europeu, um grande poeta de ocurre, um grande poeta polaco,
[05:15:50 - 05:35:50]:  nasceu em 24, por tanto, seria o cento nario dele, é o cento nario dele, onde eu vi em 98, e é a polônica, teve dois poetas permeados, com o Nobel,
[05:35:50 - 05:49:10]:  os simborços que eu me lojo, que são uma poeta importante, mas este, por mim, é o maior dos três, e porque é uma pessoa com,
[05:49:10 - 06:04:10]:  era uma poeta com uma consciência da história da cultura europeia estes fortíssimos, os poemas nunca são triviais, são sempre coisas muito significativas,
[06:04:10 - 06:15:50]:  a polônica, tem uma história levada da breca, passou tudo de mal por lá, ao longo de séculos, de dois séculos, pelo menos,
[06:15:50 - 06:37:30]:  e os poemas têm uma seriedade, um ímpto, quase cheque-sepiriano, a descrever a história, uma poesia muito pouquia e gotista, muito pouquo autobiográfica, do sentido mais rasteiro, e que responde,
[06:37:30 - 06:55:50]:  vai te ler um, qualquer poema deste livro, que responde àquela edem que as pessoas têm, os poesias são palavras à valda, lá em um poema do Harvard-Veroncista são palavras à valda.
[06:55:50 - 07:17:30]:  O Ricardo e o Espírito, para a história trágica dos cristãos novos. Já percebi que só há tempo a um telegrama, é o professor francês que tem a cura, é o traço sempre a pessoas por professor,
[07:17:30 - 07:29:10]:  é uma vez que ela é professor, chama-se estranhas nas suas, estranhas nas suas terra, e é isso, é a história dos cristãos novos, um tema que eu acho,
[07:29:10 - 07:47:30]:  é um chinante entre os séculos que existem, o desuario, sobretudo diz aqui o subtítio de la extensão, e queda da elite mercante, ele cristã nova entre esses séculos, uma coisa curiosa que é a conversão,
[07:47:30 - 08:05:50]:  ou seja, terem deixado de ser judioso e passado a ser cristãos novos, curiosamente nem sempre foi salvadora, a sempre por alguém que diz, mas vamos investigar aqui as questões da pura eza da raça.
[08:05:50 - 08:27:30]:  - Se deixaram-nos a lheira? - Pois é, exacto. Nós, Lucrão, está concluída mais uma reunião semanal, 2 ou 3 dias à mesma hora, os mesmos sempre também em podcast, pedimos dia, o João Miguel da Vars, e Ricardo Oro Espereira.
[08:27:30 - 09:15:50]:  [música]
